Key,Source,Context,Changes,English,Koreana
perkBrawlerRank4LongDesc,progression,perk For,,"You're now good enough to compete in professional boxing, but smashing zombies faces in will have to do. Knuckle weapons deal 40% more damage and attacks on NON-stunned enemies deal 120% more damage. Power attacks to the head have a 30% chance to knock down your opponent. Stamina costs are reduced by 25% and 50% for power attacks. Killing blows grant 20 stamina. Find more knuckle weapons and parts in loot.","You're now good enough to compete in professional boxing, but smashing zombies faces in will have to do. Knuckle weapons deal 40% more damage and attacks on NON-stunned enemies deal 120% more damage. Power attacks to the head have a 30% chance to knock down your opponent. Stamina costs are reduced by 25% and 50% for power attacks. Killing blows grant 20 stamina. Find more knuckle weapons and parts in loot."
perkBrawlerRank5LongDesc,progression,perk For,,You're now a complete mixed martial artist and a registered lethal weapon. Knuckle weapons deal 50% more damage and attacks on NON-stunned enemies deal 150% more damage. Have a higher chance to explode heads with punches. Killing blows grant 30 stamina. Find more knuckle weapons and parts in loot.,You're now a complete mixed martial artist and a registered lethal weapon. Knuckle weapons deal 50% more damage and attacks on NON-stunned enemies deal 150% more damage. Have a higher chance to explode heads with punches. Killing blows grant 30 stamina. Find more knuckle weapons and parts in loot.
pickupPrompt,UI,HUD,,Press {{0}} to [8692FF]pick up[-]: {0},{{0}}을 눌러 [8692FF]픽업[-]: {0}
lootTooltipEmpty,UI,Use Prompt,,[DECEA3]Empty[-] {1},[DECEA3]비어 있음[-] {1}
lootTooltipNew,UI,Use Prompt,,{0} Search {1} [9DEF5D](Untouched)[-],{0} 검색 {1} [9DEF5D](손대지 않음)[-]
buffmodActive,buffs,buff,,Active,활동적인
buffmodMeleeStunBatonRepulsorTooltip,buffs,buff,,Repulsor active,리펄서 활성
buffmodMeleeStunBatonRepulsorIncDesc,buffs,Buff,,The repulsor in the stun baton is active,스턴 배턴의 리펄서가 활성화되어 있습니다.
StunBatonRepulsor,buffs,buff,,Repulsor,리펄서
modMeleeStunBatonRepulsorDesc,item_modifiers,Mod,,Install this mod into a stun baton and send zombies flying on the charged hit.\n\nPress (hold) [DECEA3][ F ][-] to turn on or off.,Install this mod into a stun baton and send zombies flying on the charged hit.\n\nPress (hold) [DECEA3][ F ][-] to turn on or off.
perkLockPickingRank1LongDesc,progression,perk Per,,"You gain experience. You can pick locks [DECEA3]15%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]10%[-]. Damage to safes is increased by [DECEA3]10%[-].","당신은 경험을 얻습니다. 자물쇠를 [DECEA3]15%[-] 더 빠르게 열 수 있으며, 자물쇠가 파손될 확률이 [DECEA3]10%[-]만큼 감소합니다. 금고에 대한 손상이 [DECEA3]10%[-]만큼 증가합니다."
perkLockPickingRank2LongDesc,progression,perk Per,,"You've now become a locksmith. There are few locks in the world that can hold you back. You can pick locks [DECEA3]30%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]20%[-]. If you can find lockpicks in your loot, you'll find one more. Damage to safes is increased by [DECEA3]20%[-].","이제 당신은 자물쇠 제조공이 되었습니다. 세상에 당신을 막을 수 있는 자물쇠는 거의 없습니다. 자물쇠를 [DECEA3]30%[-] 더 빠르게 열 수 있으며, 자물쇠가 파손될 확률이 [DECEA3]20%[-]만큼 감소합니다. 전리품에서 자물쇠따개를 찾으면 하나를 더 찾을 수 있습니다. 금고에 대한 손상이 [DECEA3]20%[-]만큼 증가합니다."
perkLockPickingRank3LongDesc,progression,perk Per,,"You are now a professional safecracker. You can pick locks [DECEA3]45%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]30%[-]. If you can find lockpicks in your loot, you'll find two more. Damage to safes is increased by [DECEA3]30%[-].","이제 당신은 전문 금고털이꾼이 되었습니다. 자물쇠를 [DECEA3]45%[-] 더 빠르게 열 수 있으며, 자물쇠가 파손될 확률이 [DECEA3]30%[-]만큼 감소합니다. 전리품에서 자물쇠따개를 찾으면 두 개를 더 찾을 수 있습니다. 금고에 대한 손상이 [DECEA3]30%[-]만큼 증가합니다."
perkLockPickingRank4Desc,progression,perk Per,,Robber,강도
perkLockPickingRank4LongDesc,progression,perk Per,,"You could rob any bank. You can pick locks [DECEA3]60%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]40%[-]. If you can find lockpicks in your loot, you'll find [DECEA3]3[-] more. Damage to safes is increased by [DECEA3]40%[-].","어떤 은행이라도 털 수 있습니다. 자물쇠 따는 속도가 [DECEA3]60%[-] 빨라지고, 자물쇠 따기가 파손될 확률이 [DECEA3]40%[-]만큼 감소합니다. 전리품에서 자물쇠따개를 찾으면 [DECEA3]3[-]개를 더 찾을 수 있습니다. 금고에 대한 손상이 [DECEA3]40%[-]만큼 증가합니다."
perkLockPickingRank5Desc,progression,perk Per,,Master Safecracker,마스터 금고털이
perkLockPickingRank5LongDesc,progression,perk Per,,"You are now a world-class safecracker. You can pick locks [DECEA3]75%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]50%[-]. If you can find lockpicks in your loot, you'll find [DECEA3]3[-] more. Damage to safes is increased by [DECEA3]50%[-].","이제 당신은 세계 최고의 금고털이꾼이 되었습니다. 자물쇠를 [DECEA3]75%[-] 더 빠르게 열 수 있으며, 자물쇠가 파손될 확률이 [DECEA3]50%[-]만큼 감소합니다. 전리품에서 자물쇠따개를 찾으면 [DECEA3]3[-]개를 더 찾을 수 있습니다. 금고에 대한 손상이 [DECEA3]50%[-]만큼 증가합니다."
perkIntellectMasteryRank3LongDesc,progression,perk Int,,Adds a [DECEA3]25%[-] chance to gain [DECEA3]2[-] skill points when reading magazines.,잡지를 읽을 때 [DECEA3]25%[-] 확률로 [DECEA3]2[-] 스킬 포인트를 얻을 수 있습니다.
MagazineBundleDesc,items,item,,"In the set, you will find [DECEA3]10[-] magazines.",세트에는 [DECEA3]10[-] 잡지가 있습니다.
harvestingToolsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Tools Digest»,[DECEA3]번들:[-] «도구 다이제스트»
repairToolsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Handy Land»,[DECEA3]번들:[-] «핸디 랜드»
salvageToolsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Scrapping 4 Fun»,[DECEA3]번들:[-] «4가지 재미를 스크랩핑»
sledgehammersSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Get Hammered»,[DECEA3]번들:[-] «Hammered»
workstationSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Forge Ahead»,[DECEA3]번들:[-] «Forge Ahead»
bowsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Bow Hunters»,[DECEA3]번들:[-] «활 사냥꾼»
spearsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Sharp Sticks»,[DECEA3]번들:[-] «샤프 스틱»
bladesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Knife Guy»,[DECEA3]번들:[-] «칼 가이»
clubsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Big Hitters»,[DECEA3]번들:[-] «Big Hitters»
handgunsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Handgun Magazine»,[DECEA3]번들:[-] «권총 탄창»
shotgunsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Shotgun Weekly»,[DECEA3]번들:[-] «Shotgun Weekly»
riflesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Rifle World»,[DECEA3]번들:[-] «소총 세계»
machineGunsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Tactical Warfare»,[DECEA3]번들:[-] «전술적 전쟁»
explosivesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Explosive Magazine»,[DECEA3]번들:[-] «폭발성 탄창»
armorSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Armored Up»,[DECEA3]번들:[-] «Armored Up»
medicalSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Medical Journal»,[DECEA3]번들:[-] «의학 저널»
knucklesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Furious Fists»,[DECEA3]번들:[-] «분노한 주먹»
foodSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Home Cooking Weekly»,[DECEA3]번들:[-] «주간 가정 요리»
seedSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Southern Farming»,[DECEA3]번들:[-] «남부 농업»
roboticsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Tech Planet»,[DECEA3]번들:[-] «Tech Planet»
vehiclesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Vehicle Adventures»,[DECEA3]번들:[-] «차량 모험»
electricianSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Wiring 101»,[DECEA3]번들:[-] «배선 101»
trapsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Electrical Traps»,[DECEA3]번들:[-] «전기 트랩»
perkSledgeSagaSavageReaperDesc,progression,perk book,,Killing with power attacks increases your chance to dodge enemy attacks by [DECEA3]10%[-] for [DECEA3]3[-] seconds.,강공격으로 처치하면 적의 공격을 회피할 확률이 [DECEA3]3[-]초 동안 [DECEA3]10%[-] 증가합니다.
perkSledgeSagaSavageReaperLongDesc,progression,perk book,,Armadillo Defense: Killing with power attacks increases your chance to dodge enemy attacks by [DECEA3]10%[-] for [DECEA3]3[-] seconds.,아르마딜로 방어: 강공격으로 처치하면 적의 공격을 회피할 확률이 [DECEA3]3[-]초 동안 [DECEA3]10%[-] 증가합니다.
buffBonusMissChanceName,buffs,buff,,Armadillo Defense,아르마딜로 디펜스
buffBonusMissChanceIncDesc,buffs,Buff,,Chance to dodge the enemy's next attack increased by [DECEA3]10%[-],적의 다음 공격을 회피할 확률이 [DECEA3]10%[-]만큼 증가했습니다.
perkSledgeSagaCompleteDesc,progression,perk book,,Deadly attacks grant [DECEA3]40[-] stamina.,치명적인 공격은 [DECEA3]40[-] 체력을 부여합니다.
perkSledgeSagaCompleteLongDesc,progression,perk book,,Crushing Kills: Deadly attacks grant [DECEA3]40[-] stamina.,압도적인 처치: 치명적인 공격은 [DECEA3]40[-] 체력을 부여합니다.
perkSpearHunter8CompleteDesc,progression,perk book,,Deadly attacks grant [DECEA3]60[-] stamina.,치명적인 공격은 [DECEA3]60[-] 체력을 부여합니다.
perkSpearHunter8CompleteLongDesc,progression,perk book,,Primal Kill: Deadly attacks grant [DECEA3]60[-] stamina.,원시 살해: 치명적인 공격으로 [DECEA3]60[-] 체력을 얻습니다.
perkBatterUpCompleteDesc,progression,perk book,,Deadly attacks grant [DECEA3]50[-] stamina.,치명적인 공격은 [DECEA3]50[-] 체력을 부여합니다.
perkBatterUpCompleteLongDesc,progression,perk book,,Home Run: Deadly attacks grant [DECEA3]50[-] stamina.,홈런: 치명적인 공격으로 [DECEA3]50[-] 체력을 얻습니다.

===
=== Z_Balance_Modifiers ===
===


statDismemberChance,ui_display,Item stat,,Dismember Chance,Dismember Chance
statZombieDamage,ui_display,Item stat,,Damage to zombies (non-elite),Damage to zombies (non-elite)
statAttacksSpeedMelee,ui_display,Item stat,,Melee attack speed,Melee attack speed
modArmorCigarDesc,item_modifiers,Mod,,Look intimidating and get a better deal from traders. Also boosts strength!\n\nThe [DECEA3]Better Barter[-] skill develops the quality of modification.,위협적으로 보이고 거래자로부터 더 나은 거래를 얻으십시오. 힘도 강화됩니다!\n\n[DECEA3]Better Barter[-] 스킬은 개조의 품질을 향상시킵니다.
modArmorBandolierDesc,item_modifiers,Mod,,Reload faster.\n\nThe [DECEA3]Armor[-] crafting skill develops the quality of modification.,재장전 속도가 빨라집니다.\n\n[DECEA3]갑옷[-] 제작 기술은 개조 품질을 향상시킵니다.
modGunShotgunTubeExtenderMagazineDesc,item_modifiers,Mod,,Increases magazine capacity for pump shotguns.\n\nThe [DECEA3]Boomstick[-] skill develops the quality of modification.,펌프 샷건의 탄창 용량을 늘립니다.\n\n[DECEA3]Boomstick[-] 스킬은 개조 품질을 향상시킵니다.
modGunCrippleEmDesc,item_modifiers,Mod,,Each shot has a chance to cripple a leg on a bipedal target.\n\nThe [DECEA3]Boomstick[-] skill develops the quality of modification.,Each shot has a chance to cripple a leg on a bipedal target.\n\nThe [DECEA3]Boomstick[-] skill develops the quality of modification.
modGunDrumMagazineExtenderDesc,item_modifiers,Mod,,"This large drum magazine increases the ammo capacity on machine guns, but is a little slower to reload.\n\nThe [DECEA3]Machine Gunner[-] skill develops the quality of modification.",이 대형 드럼 탄창은 기관총의 탄약 용량을 늘리지만 재장전 속도가 약간 느립니다.\n\n[DECEA3]머신 거너[-] 스킬은 개조의 품질을 향상시킵니다.
modGunMagazineExtenderDesc,item_modifiers,Mod,,Increases magazine capacity.\n\nThe [DECEA3]Gunslinger[-] skill develops the quality of modification.,탄창 용량이 늘어납니다.\n\n[DECEA3]Gunslinger[-] 스킬은 개조의 품질을 향상시킵니다.
modGunBowPolymerStringDesc,item_modifiers,Mod,,Arrows and Bolts fly quicker and further with this modification.\n\nThe [DECEA3]Archery[-] skill develops the quality of modification.,이 수정을 통해 화살과 볼트가 더 빠르고 멀리 날아갑니다.\n\n[DECEA3]Archery[-] 스킬은 수정의 품질을 향상시킵니다.
modGunBowArrowRestDesc,item_modifiers,Mod,,An arrow rest improves the accuracy of a bow.\n\nThe [DECEA3]Archery[-] skill develops the quality of modification.,화살 받침은 활의 정확도를 향상시킵니다.\n\n[DECEA3]Archery[-] 스킬은 수정의 품질을 향상시킵니다.
modGunMeleeRadRemoverDesc,item_modifiers,Mod,,"Temporarily disables the regeneration ability of Radiated, Charged, and Infernal zombies.\n\nThe [DECEA3]The Huntsman[-] skill develops the quality of modification.","Radiated, Charged, Infernal 좀비의 재생 능력을 일시적으로 비활성화합니다.\n\n[DECEA3]The Huntsman[-] 스킬은 변형의 품질을 향상시킵니다."
modGunMeleeTheHunterDesc,item_modifiers,Mod,,Do more damage to all animals and non-elite zombies.\n\nThe [DECEA3]The Huntsman[-] skill develops the quality of modification.,모든 동물에게 더 많은 피해를 줍니다.\n\n[DECEA3]The Huntsman[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeSerratedBladeDesc,item_modifiers,Mod,,Has a chance to cause a Bleeding Wound on a regular attack.\n\nThe [DECEA3]Deep Cuts[-] skill develops the quality of modification.,일반 공격 시 일정 확률로 출혈 상처를 유발할 수 있습니다.\n\n[DECEA3]Deep Cuts[-] 스킬은 변형의 품질을 향상시킵니다.
modMeleeClubBarbedWireDesc,item_modifiers,Mod,,Has a chance to cause bleeding damage with primary attacks.\nCan be installed in clubs.\n\nThe [DECEA3]Pummel Pete[-] skill develops the quality of modification.,1차 공격 시 일정 확률로 출혈 피해를 입힙니다.\n클럽에 장착 가능.\n\n[DECEA3]Pummel Pete[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeClubMetalSpikesDesc,item_modifiers,Mod,,Each successive hit lowers enemies armor rating.\nCan be installed in clubs.\n\nThe [DECEA3]Pummel Pete[-] skill develops the quality of modification.,연속 공격할 때마다 적의 방어구 등급이 낮아집니다.\n클럽에 설치할 수 있습니다.\n\n[DECEA3]Pummel Pete[-] 스킬은 개조 품질을 향상시킵니다.
modMeleeClubMetalChainDesc,item_modifiers,Mod,,Has a chance to knock down opponents.\nCan be installed in clubs.\n\nThe [DECEA3]Pummel Pete[-] skill develops the quality of modification.,상대를 쓰러뜨릴 기회가 있습니다.\n클럽에 장착 가능합니다.\n\n[DECEA3]Pummel Pete[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeWeightedHeadDesc,item_modifiers,Mod,,A modification for all melee weapons and tools.\nAdds a chance to stun and slow victims.\n\nKnives and machetes do not have a head that can be weighted.\n\nThe [DECEA3]Grand Slam[-] skill develops the quality of modification.,모든 근접 무기 및 도구에 대한 개조입니다.\n희생자를 기절시키고 둔화시킬 수 있는 기회를 추가합니다.\n\n칼과 마체테에는 무게를 가할 수 있는 머리가 없습니다.\n\n[DECEA3]그랜드 슬램[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeClubBurningShaftDesc,item_modifiers,Mod,,"A melee item can triple as a light source, set enemies on fire, and used as a source of heat.\n\nCan be installed in melee tools and weapons that have a long shaft or blade.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of modification.","근접 아이템은 광원 역할을 세 배로 하고, 적에게 불을 붙이고, 열원으로 사용할 수 있습니다.\n\n긴 자루나 칼날이 있는 근접 도구 및 무기에 설치할 수 있습니다.\n\n[DECEA3]고급 공학[-] 스킬은 개조 품질을 향상시킵니다."
modMeleeTemperedBladeDesc,item_modifiers,Mod,,This blade modification increases block damage and lowers degradation.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of modification.,이 블레이드 수정은 블록 손상을 증가시키고 성능 저하를 낮춥니다.\n\n[DECEA3]고급 엔지니어링[-] 스킬은 수정의 품질을 향상시킵니다.
modMeleeGraveDiggerDesc,item_modifiers,Mod,,Does more damage against dirt.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,먼지에 대해 더 많은 피해를 줍니다.\n\n[DECEA3]Miner 69'er[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeBunkerBusterDesc,item_modifiers,Mod,,Does more damage against stone.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,돌에 대해 더 많은 피해를 줍니다.\n\n[DECEA3]Miner 69'er[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeIronBreakerDesc,item_modifiers,Mod,,Does more damage against iron.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,철에 대한 피해가 더 커집니다.\n\n[DECEA3]Miner 69'er[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeWoodSplitterDesc,item_modifiers,Mod,,Does more damage against wood.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,나무에 더 많은 피해를 줍니다.\n\n[DECEA3]Miner 69'er[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeFiremansAxeModDesc,item_modifiers,Mod,,"Deal more damage to blocks, but less damage to enemies.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.",블록에는 더 많은 피해를 주지만 적에게는 더 적은 피해를 줍니다.\n\n[DECEA3]Miner 69'er[-] 스킬은 개조 품질을 향상시킵니다.
modMeleeErgonomicGripDesc,item_modifiers,Mod,,"Decreases melee stamina usage, increases melee attack speed and increases weapon handling of bows.\n\nThe [DECEA3]Mother Lode[-] or [DECEA3]Archery[-] skill's develops the quality of modification.",근접 체력 사용량을 줄이고 활의 무기 취급을 증가시킵니다.\n\n[DECEA3]Mother Lode[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeStructuralBraceDesc,item_modifiers,Mod,,"This modification lowers degradation for melee weapons, tools, and bows.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.","이 수정은 근접 무기, 도구 및 활의 성능 저하를 낮춥니다.\n\n[DECEA3]Mother Lode[-] 스킬은 수정의 품질을 향상시킵니다."
modMeleeFortifyingGripDesc,item_modifiers,Mod,,"When below 50% health, regenerate health over time.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.",체력이 50% 미만일 때 시간이 지남에 따라 체력을 재생합니다.\n\n[DECEA3]Mother Lode[-] 스킬은 수정의 품질을 향상시킵니다.
modFuelTankSmallDesc,item_modifiers,Mod,,Moderately increases tank size for chainsaws and augers.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.,전기톱과 송곳의 탱크 크기를 적당히 늘립니다.\n\n[DECEA3]Mother Lode[-] 스킬은 개조의 품질을 향상시킵니다.
modFuelTankLargeDesc,item_modifiers,Mod,,Greatly increases tank size for chainsaws and augers.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.,전기톱과 오거의 탱크 크기가 크게 늘어납니다.\n\n[DECEA3]Mother Lode[-] 스킬은 개조의 품질을 향상시킵니다.
modMeleeDiamondTipDesc,item_modifiers,Mod,,Any hand tool or bladed weapon degrades slower with this modification.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of modification.,이 수정을 사용하면 모든 수공구나 칼날 무기의 성능이 더 느리게 저하됩니다.\n\n[DECEA3]고급 공학[-] 기술은 수정의 품질을 향상시킵니다.
modVehicleReserveFuelTankDesc,item_modifiers,Mod,,Increase your vehicle's fuel storage with this mod.\n\nThe [DECEA3]Grease Monkey[-] skill develops the quality of modification.,이 모드를 사용하면 차량의 연료 저장 공간을 늘릴 수 있습니다.\n\n[DECEA3]Grease Monkey[-] 기술은 개조의 품질을 향상시킵니다.
modVehicleFuelSaverDesc,item_modifiers,Mod,,Vehicles consume less fuel.\n\nThe [DECEA3]Grease Monkey[-] skill develops the quality of modification.,차량은 연료를 덜 소비합니다.\n\n[DECEA3]그리스 원숭이[-] 스킬은 개조의 품질을 향상시킵니다.
toolBellowsDesc,item_modifiers,Mod,,A tool that can be installed in the forge to allow increased airflow and faster smelting speeds.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of item.,공기 흐름을 증가시키고 제련 속도를 더 빠르게 하기 위해 대장간에 설치할 수 있는 도구입니다.\n\n[DECEA3]고급 공학[-] 스킬은 아이템의 품질을 향상시킵니다.
toolAnvilDesc,item_modifiers,Mod,,A tool that can be installed in a forge. It increases the crafting speed of that forge.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of item.,대장간에 설치할 수 있는 도구입니다. 해당 대장간 제작 속도가 증가합니다.\n\n[DECEA3]고급 공학[-] 스킬은 아이템의 품질을 향상시킵니다.
toolCookingPotDesc,item_modifiers,Mod,,A cooking utensil used in the campfire to unlock recipes.\n\nThe [DECEA3]Master Chef[-] skill develops the quality of item.,캠프파이어에서 레시피를 잠금 해제하는 데 사용되는 조리 도구입니다.\n\n[DECEA3]마스터 셰프[-] 스킬은 아이템의 품질을 향상시킵니다.
toolCookingGrillDesc,item_modifiers,Mod,,A cooking utensil used in the campfire to unlock recipes.\n\nThe [DECEA3]Master Chef[-] skill develops the quality of item.,캠프파이어에서 레시피를 잠금 해제하는 데 사용되는 조리 도구입니다.\n\n[DECEA3]마스터 셰프[-] 스킬은 아이템의 품질을 향상시킵니다.

===
=== Z_Better_Quest_Reward ===
===


questRewardSkillMagazineBundleT3,items,item,,Crafting Skill Magazines [DECEA3]Small Bundle[-],제작 기술 탄창 [DECEA3]소형 번들[-]
questRewardSkillMagazineBundleT4,items,item,,Crafting Skill Magazines [DECEA3]Medium Bundle[-],제작 기술 탄창 [DECEA3]중형 번들[-]
questRewardSkillMagazineBundleT5,items,item,,Crafting Skill Magazines [DECEA3]Large Bundle[-],제작 기술 탄창 [DECEA3]대형 번들[-]
questRewardSkillMagazineBundleT6,items,item,,Crafting Skill Magazines [DECEA3]Huge Bundle[-],제작 기술 잡지 [DECEA3]대형 번들[-]
questRewardFoodBundleT3,items,item,,Food and Water [DECEA3]Small Bundle[-],음식과 물 [DECEA3]소형 묶음[-]
questRewardFoodBundleT4,items,item,,Food and Water [DECEA3]Medium Bundle[-],음식과 물 [DECEA3]중간 번들[-]
questRewardFoodBundleT5,items,item,,Food and Water [DECEA3]Large Bundle[-],음식과 물 [DECEA3]대형 묶음[-]
questRewardFoodBundleT6,items,item,,Food and Water [DECEA3]Huge Bundle[-],음식과 물 [DECEA3]대규모 묶음[-]
questRewardVehicleBundleT3,items,item,,Minibike Parts,미니바이크 부품
questRewardVehicleBundleT4,items,item,,Motorcycle Parts,오토바이 부품
questRewardVehicleBundleT5,items,item,,Truck 4x4 Parts,트럭 4x4 부품
questRewardVehicleBundleT6,items,item,,Gyrocopter Parts,자이로콥터 부품
questRewardMagazineBundleT3Desc,items,item,,A small bundle of [DECEA3]3[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]3[-] copies.,[DECEA3]3[-] 무작위 제작 기술 잡지의 작은 묶음.\n각 잡지의 [DECEA3]3[-] 사본을 포함합니다.
questRewardMagazineBundleT4Desc,items,item,,A medium bundle of [DECEA3]3[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]4[-] copies.,[DECEA3]3[-] 무작위 제작 기술 잡지의 중간 번들.\n각 잡지의 [DECEA3]4[-] 사본을 포함합니다.
questRewardMagazineBundleT5Desc,items,item,,A large bundle of [DECEA3]3[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]5[-] copies.,[DECEA3]3[-] 무작위 제작 기술 잡지의 대형 묶음.\n각 잡지의 [DECEA3]5[-] 사본을 포함합니다.
questRewardMagazineBundleT6Desc,items,item,,A huge bundle of [DECEA3]4[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]5[-] copies.,[DECEA3]4[-] 무작위 제작 기술 잡지의 거대한 묶음.\n각 잡지의 [DECEA3]5[-] 사본을 포함합니다.
questRewardFoodBundleT3Desc,items,item,,A small bundle of food and water.,음식과 물이 담긴 작은 묶음.
questRewardFoodBundleT4Desc,items,item,,A medium bundle of [DECEA3]«Home Cooking Weekly»[-] magazines. It also includes food and water.,[DECEA3]<Home Cooking Weekly>[-] 잡지의 중간 묶음입니다. 여기에는 음식과 물도 포함됩니다.
questRewardFoodBundleT5Desc,items,item,,A large bundle of [DECEA3]«Home Cooking Weekly»[-] magazines. It also includes food and water.,[DECEA3]<Home Cooking Weekly>[-] 잡지의 큰 묶음입니다. 음식과 물도 포함됩니다.
questRewardFoodBundleT6Desc,items,item,,A huge bundle of [DECEA3]«Home Cooking Weekly»[-] magazines. It also includes food and water.,[DECEA3]<Home Cooking Weekly>[-] 잡지의 거대한 묶음입니다. 음식과 물도 포함됩니다.
questRewardVehicleBundleT3Desc,items,item,,One of the parts of the minibike.,미니바이크의 부품 중 하나입니다.
questRewardVehicleBundleT4Desc,items,item,,One of the parts of the motorcycle.,오토바이의 부품 중 하나입니다.
questRewardVehicleBundleT5Desc,items,item,,One of the parts of the 4x4 truck.,4x4 트럭의 부품 중 하나입니다.
questRewardVehicleBundleT6Desc,items,item,,One of the parts of the gyrocopter.,자이로콥터의 부품 중 하나입니다.

===
=== Z_Bosses ===
===


BuffBossAOEName,buffs,buff,,The boss is nearby,The boss is nearby
BuffMiniBossAOEName,buffs,buff,,The miniboss is nearby,The miniboss is nearby
BuffSmallBossAOEName,buffs,buff,,The small boss is nearby,The small boss is nearby
buffPoisoningWorseName,buffs,buff,,Poisoning,Poisoning
buffPoisoningWorseTooltip,buffs,buff,,You are poisoned,You are poisoned
buffPoisoningWorseDesc,buffs,Buff,,"Your body is wracked with terrible pain from the poison. You gradually accumulate the poisoning effect. When the poisoning reaches 100%, you will take damage and have a [DECEA3]25%[-] chance of being paralyzed. After this, you will begin to recover from the poisoning. Your mobility and jump height are reduced based on accumulated dispatch, up to [DECEA3]50%[-]. Every second, you lose [DECEA3]9[-] stamina and a moderate amount of food. Use an antidote or wait for recovery.","Your body is wracked with terrible pain from the poison. You gradually accumulate the poisoning effect. When the poisoning reaches 100%, you will take damage and have a [DECEA3]25%[-] chance of being paralyzed. After this, you will begin to recover from the poisoning. Your mobility and jump height are reduced based on accumulated dispatch, up to [DECEA3]50%[-]. Every second, you lose [DECEA3]9[-] stamina and a moderate amount of food. Use an antidote or wait for recovery."
buffPoisoningBetterName,buffs,buff,,Treatment of poisoning,Treatment of poisoning
buffPoisoningBetterTooltip,buffs,buff,,You are recovering from poisoning,You are recovering from poisoning
buffPoisoningBetterDesc,buffs,Buff,,"The pain still lingers, but you feel yourself getting better. You're gradually shedding the effects of the poisoning. Your mobility and jump height are reduced depending on the accumulated poison, up to [DECEA3]50%[-]. Every second, you lose [DECEA3]3[-] stamina and a small supply of food. Use an antidote or wait for recovery.","The pain still lingers, but you feel yourself getting better. You're gradually shedding the effects of the poisoning. Your mobility and jump height are reduced depending on the accumulated poison, up to [DECEA3]50%[-]. Every second, you lose [DECEA3]3[-] stamina and a small supply of food. Use an antidote or wait for recovery."
