Key,Source,Context,Changes,English,French
Cont_MedicineT3,items,questItem,,[71FFE7]Contract:[-] Good medicine,[71FFE7]Contrat :[-] Bonne médecine
Cont_MedicineT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Good medicine\n\nBy fulfilling the terms of the contract, you can receive first aid kits, plaster cast or antibiotics.","Lance le [71FFE7]Contrat :[-] Bon médicament\n\nEn remplissant les termes du contrat, vous pouvez recevoir des trousses de premiers secours, un plâtre ou des antibiotiques."
Cont_MedicineT4,items,questItem,,[71FFE7]Contract:[-] Best medicine,[71FFE7]Contrat :[-] Meilleur médicament
Cont_MedicineT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Best Medicine\n\nAfter completing the contract, you can get a first aid kit, rare medicine, Recog or Fort Bites.","Lance le [71FFE7]Contrat :[-] Meilleur médicament\n\nAprès avoir terminé le contrat, vous pouvez obtenir une trousse de premiers secours, un médicament rare, du Recog ou des Fort Bites."
Cont_ConstructionT1,items,questItem,,[71FFE7]Contract:[-] Construction Basics,[71FFE7]Contrat :[-] Bases de la construction
Cont_ConstructionT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Construction Basics\n\nBy fulfilling the contract conditions, you will be able to obtain resources for construction.","Lance le [71FFE7]Contrat :[-] Bases de la construction\n\nEn remplissant les conditions du contrat, vous pourrez obtenir des ressources pour la construction."
Cont_ConstructionT2,items,questItem,,[71FFE7]Contract:[-] Strong walls,[71FFE7]Contrat :[-] Murs solides
Cont_ConstructionT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Strong walls\n\nBy fulfilling the contract conditions, you will be able to obtain resources for construction.","Lance [71FFE7]Contrat :[-] Murs solides\n\nEn remplissant les conditions du contrat, vous pourrez obtenir des ressources pour la construction."
Cont_ConstructionT3,items,questItem,,[71FFE7]Contract:[-] Experienced builder,[71FFE7]Contrat :[-] Constructeur expérimenté
Cont_ConstructionT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Experienced builder\n\nBy fulfilling the contract conditions, you will be able to obtain resources for construction.","Lance [71FFE7]Contrat :[-] Constructeur expérimenté\n\nEn remplissant les conditions du contrat, vous pourrez obtenir des ressources pour la construction."
Ingredients_WorkstationT1,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Dew Collector,Ingrédients [71FFE7]Contrat :[-] Collecteur de rosée amélioré
Cont_WorkstationT1,items,questItem,,[71FFE7]Contract:[-] Improved Dew Collector,[71FFE7]Contrat :[-] Collecteur de rosée amélioré
Cont_WorkstationT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Dew Collector\n\nBy completing the contract, you will be able to obtain the Improved Dew Collector.","Lance le [71FFE7]Contrat :[-] Collecteur de rosée amélioré\n\nEn complétant le contrat, vous pourrez obtenir le collecteur de rosée amélioré."
Ingredients_WorkstationT2,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Workbench,Ingrédients [71FFE7]Contrat :[-] Établi amélioré
Cont_WorkstationT2,items,questItem,,[71FFE7]Contract:[-] Improved Workbench,[71FFE7]Contrat :[-] Établi amélioré
Cont_WorkstationT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Workbench\n\nBy completing the contract, you will be able to receive an improved workbench.","Lance le [71FFE7]Contrat :[-] Établi amélioré\n\nEn complétant le contrat, vous pourrez recevoir un établi amélioré."
Ingredients_WorkstationT3,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Cement Mixer,Ingrédients [71FFE7]Contrat :[-] Bétonnière améliorée
Cont_WorkstationT3,items,questItem,,[71FFE7]Contract:[-] Improved Cement Mixer,[71FFE7]Contrat :[-] Bétonnière améliorée
Cont_WorkstationT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Cement Mixer\n\nBy completing the contract, you will be able to obtain an improved Cement Mixer.","Lance le [71FFE7]Contrat :[-] Bétonnière améliorée\n\nEn complétant le contrat, vous pourrez obtenir une bétonnière améliorée."
Ingredients_WorkstationT4,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Forge,Ingrédients [71FFE7]Contrat :[-] Forge améliorée
Cont_WorkstationT4,items,questItem,,[71FFE7]Contract:[-] Improved Forge,[71FFE7]Contrat :[-] Forge améliorée
Cont_WorkstationT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Forge\n\nBy completing the contract, you will be able to obtain an improved forge.","Lance le [71FFE7]Contrat :[-] Forge améliorée\n\nEn complétant le contrat, vous pourrez obtenir une forge améliorée."
Ingredients_WorkstationT5,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Chemical Station,Ingrédients [71FFE7]Contrat :[-] Station chimique améliorée
Cont_WorkstationT5,items,questItem,,[71FFE7]Contract:[-] Improved Chemical Station,[71FFE7]Contrat :[-] Station chimique améliorée
Cont_WorkstationT5Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Chemical Station\n\nBy completing the contract, you will be able to obtain an improved chemical station.","Lance le [71FFE7]Contrat :[-] Station chimique améliorée\n\nEn complétant le contrat, vous pourrez obtenir une station chimique améliorée."
Cont_BooksT1,items,questItem,,[71FFE7]Contract:[-] Some information,[71FFE7]Contrat :[-] Quelques informations
Cont_BooksT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Some information\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lancements [71FFE7]Contrat :[-] Quelques informations\n\nEn remplissant les conditions du contrat, vous pourrez recevoir un ensemble de livres ou de magazines."
Cont_BooksT2,items,questItem,,[71FFE7]Contract:[-] Useful knowledge,[71FFE7]Contrat :[-] Connaissances utiles
Cont_BooksT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Useful knowledge\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lancement [71FFE7]Contrat :[-] Connaissances utiles\n\nEn remplissant les conditions du contrat, vous pourrez recevoir un ensemble de livres ou de magazines."
Cont_BooksT3,items,questItem,,[71FFE7]Contract:[-] Trove of Knowledge,[71FFE7]Contrat :[-] Trésor de connaissances
Cont_BooksT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Trove of Knowledge\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lance le [71FFE7]Contrat :[-] Trésor de connaissances\n\nEn remplissant les conditions du contrat, vous pourrez recevoir un ensemble de livres ou de magazines."
Cont_BooksT4,items,questItem,,[71FFE7]Contract:[-] Library of Knowledge,[71FFE7]Contrat :[-] Bibliothèque de connaissances
Cont_BooksT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Library of Knowledge\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lance le [71FFE7]Contrat :[-] Bibliothèque de connaissances\n\nEn remplissant les conditions du contrat, vous pourrez recevoir un ensemble de livres ou de magazines."
Ingredients_ArmorT1,items,questItem,,Ingredients [71FFE7]Contract:[-] Fine Stitching,Ingrédients [71FFE7]Contrat :[-] Coutures fines
Cont_ArmorT1,items,questItem,,[71FFE7]Contract:[-] Fine Stitching,[71FFE7]Contrat :[-] Coutures fines
Cont_ArmorT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Fine Stitching\n\nBy fulfilling the terms of the contract, you will be able to receive resources for creating armor.","Lance le [71FFE7]Contrat :[-] Coutures fines\n\nEn remplissant les termes du contrat, vous pourrez recevoir des ressources pour créer une armure."
Ingredients_ArmorT2,items,questItem,,Ingredients [71FFE7]Contract:[-] A good tailor,Ingrédients [71FFE7]Contrat :[-] Un bon tailleur
Cont_ArmorT2,items,questItem,,[71FFE7]Contract:[-] A good tailor,[71FFE7]Contrat :[-] Un bon tailleur
Cont_ArmorT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] A good tailor\n\nBy fulfilling the terms of the contract, you will be able to receive resources for creating armor.","Lance [71FFE7]Contrat :[-] Un bon tailleur\n\nEn remplissant les termes du contrat, vous pourrez recevoir des ressources pour créer une armure."
Ingredients_ArmorT3,items,questItem,,Ingredients [71FFE7]Contract:[-] The best tailor,Ingrédients [71FFE7]Contrat :[-] Le meilleur tailleur
Cont_ArmorT3,items,questItem,,[71FFE7]Contract:[-] The best tailor,[71FFE7]Contrat :[-] Le meilleur tailleur
Cont_ArmorT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] The best tailor\n\nBy fulfilling the terms of the contract, you will be able to receive resources for creating armor.","Lance [71FFE7]Contrat :[-] Le meilleur tailleur\n\nEn remplissant les termes du contrat, vous pourrez recevoir des ressources pour créer une armure."
Ingredients_RepairT1,items,questItem,,Ingredients [71FFE7]Contract:[-] Mend and Glue,Ingrédients [71FFE7]Contrat :[-] Réparation et colle
Cont_RepairT1,items,questItem,,[71FFE7]Contract:[-] Mend and Glue,[71FFE7]Contrat :[-] Réparation et collage
Cont_RepairT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Mend and Glue\n\nAfter completing the contract, you will be able to receive repair kits.","Lance [71FFE7]Contrat :[-] Réparation et colle\n\nAprès avoir terminé le contrat, vous pourrez recevoir des kits de réparation."
Ingredients_RepairT2,items,questItem,,Ingredients [71FFE7]Contract:[-] Good repair,Ingrédients [71FFE7]Contrat :[-] Bonne réparation
Cont_RepairT2,items,questItem,,[71FFE7]Contract:[-] Good repair,[71FFE7]Contrat :[-] Bonne réparation
Cont_RepairT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Good repair\n\nAfter completing the contract, you will be able to receive improved repair kits.","Lance le [71FFE7]Contrat :[-] Bonne réparation\n\nAprès avoir terminé le contrat, vous pourrez recevoir des kits de réparation améliorés."
Ingredients_RepairT3,items,questItem,,Ingredients [71FFE7]Contract:[-] Major Repairs,Ingrédients [71FFE7]Contrat :[-] Réparations majeures
Cont_RepairT3,items,questItem,,[71FFE7]Contract:[-] Major Repairs,[71FFE7]Contrat :[-] Réparations majeures
Cont_RepairT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Major Repairs\n\nBy completing the contract, you will be able to receive Legendary Repair Kits.","Lance le [71FFE7]Contrat :[-] Réparations majeures\n\nEn complétant le contrat, vous pourrez recevoir des kits de réparation légendaires."
Cont_WeaponMachineGun,items,questItem,,[71FFE7]Contract:[-] Automatic weapons Enthusiast,[71FFE7]Contrat :[-] Passionné d'armes automatiques
Cont_WeaponMachineGunDesc,items,questItem,,"Launches [71FFE7]Contract:[-] Automatic weapons Enthusiast\n\nBy completing the contract, you will be able to receive automatic weapon parts and a set of magazines.","Lance le [71FFE7]Contrat :[-] Passionné d'armes automatiques\n\nEn complétant le contrat, vous pourrez recevoir des pièces d'armes automatiques et un ensemble de chargeurs."
Cont_WeaponShotgun,items,questItem,,[71FFE7]Contract:[-] Shotgun Enthusiast,[71FFE7]Contrat :[-] Passionné de fusil de chasse
Cont_WeaponShotgunDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Shotgun Enthusiast\n\nBy completing the contract, you will be able to receive shotgun parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de fusils de chasse\n\nEn complétant le contrat, vous pourrez recevoir des pièces de fusil de chasse et un ensemble de chargeurs."
Cont_WeaponRifle,items,questItem,,[71FFE7]Contract:[-] Rifle Enthusiast,[71FFE7]Contrat :[-] Passionné de fusil
Cont_WeaponRifleDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Rifle Enthusiast\n\nBy completing the contract, you will be able to receive rifle parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de fusils\n\nEn complétant le contrat, vous pourrez recevoir des pièces de fusil et un ensemble de chargeurs."
Cont_WeaponPistol,items,questItem,,[71FFE7]Contract:[-] Pistol Enthusiast,[71FFE7]Contrat :[-] Passionné de pistolet
Cont_WeaponPistolDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Pistol Enthusiast\n\nBy completing the contract, you will be able to receive pistol parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de pistolets\n\nEn complétant le contrat, vous pourrez recevoir des pièces de pistolet et un ensemble de chargeurs."
Cont_WeaponSpear,items,questItem,,[71FFE7]Contract:[-] Spear Enthusiast,[71FFE7]Contrat :[-] Passionné de lance
Cont_WeaponSpearDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Spear Enthusiast\n\nBy completing the contract, you will be able to receive spear parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de lances\n\nEn complétant le contrat, vous pourrez recevoir des pièces de lance et un ensemble de chargeurs."
Cont_WeaponClub,items,questItem,,[71FFE7]Contract:[-] Club Enthusiast,[71FFE7]Contrat :[-] Passionné de club
Cont_WeaponClubDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Club Enthusiast\n\nBy completing the contract, you will be able to receive club parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de club\n\nEn complétant le contrat, vous pourrez recevoir des pièces de club et un ensemble de magazines."
Cont_WeaponSledgehammer,items,questItem,,[71FFE7]Contract:[-] Sledgehammer Enthusiast,[71FFE7]Contrat :[-] Passionné de Sledgehammer
Cont_WeaponSledgehammerDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Sledgehammer Enthusiast\n\nBy completing the contract, you will be able to receive sledgehammer parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de masse\n\nEn complétant le contrat, vous pourrez recevoir des pièces de masse et un ensemble de chargeurs."
Cont_WeaponKnuckle,items,questItem,,[71FFE7]Contract:[-] Knuckle Enthusiast,[71FFE7]Contrat :[-] Passionné de Knuckle
Cont_WeaponKnuckleDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Knuckle Enthusiast\n\nBy completing the contract, you will be able to receive knuckle parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné d'articulations\n\nEn complétant le contrat, vous pourrez recevoir des pièces d'articulations et un jeu de chargeurs."
Cont_WeaponKnife,items,questItem,,[71FFE7]Contract:[-] Knife Enthusiast,[71FFE7]Contrat :[-] Passionné de couteaux
Cont_WeaponKnifeDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Knife Enthusiast\n\nBy completing the contract, you will be able to receive knife parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de couteaux\n\nEn complétant le contrat, vous pourrez recevoir des pièces de couteaux et un ensemble de chargeurs."
Cont_WeaponBaton,items,questItem,,[71FFE7]Contract:[-] Stun Baton Enthusiast,[71FFE7]Contrat :[-] Passionné de bâtons étourdissants
Cont_WeaponBatonDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Stun Baton Enthusiast\n\nBy completing the contract, you will be able to receive stun baton parts and a set of magazines.","Commence le [71FFE7]Contrat :[-] Passionné de bâtons paralysants\n\nEn complétant le contrat, vous pourrez recevoir des pièces de bâtons paralysants et un ensemble de chargeurs."
Cont_AmmoT1,items,questItem,,[71FFE7]Contract:[-] Small Ammo Supply,[71FFE7]Contrat :[-] Fourniture de petites munitions
Cont_AmmoT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Small Ammo Supply\n\nBy completing the contract, you will be able to obtain a small supply of gunpowder and ready-made ammunition.","Lance le [71FFE7]Contrat :[-] Petite réserve de munitions\n\nEn complétant le contrat, vous pourrez obtenir une petite réserve de poudre à canon et de munitions prêtes à l'emploi."
Cont_AmmoT2,items,questItem,,[71FFE7]Contract:[-] Medium Ammo Supply,[71FFE7]Contrat :[-] Fourniture de munitions moyennes
Cont_AmmoT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Medium Ammo Supply\n\nBy completing the contract, you will be able to obtain a medium supply of gunpowder and ready-made ammunition.","Lance le [71FFE7]Contrat :[-] Approvisionnement en munitions moyennes\n\nEn complétant le contrat, vous pourrez obtenir une réserve moyenne de poudre à canon et de munitions prêtes à l'emploi."
Cont_AmmoT3,items,questItem,,[71FFE7]Contract:[-] Large Ammo Supply,[71FFE7]Contrat :[-] Grande réserve de munitions
Cont_AmmoT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Large Ammo Supply\n\nBy completing the contract, you will be able to obtain a large supply of gunpowder and ready-made ammunition.","Lance le [71FFE7]Contrat :[-] Grande réserve de munitions\n\nEn complétant le contrat, vous pourrez obtenir une grande quantité de poudre à canon et de munitions prêtes à l'emploi."
Cont_AmmoT4,items,questItem,,[71FFE7]Contract:[-] Special ammunition,[71FFE7]Contrat :[-] Munitions spéciales
Cont_AmmoT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Special ammunition\n\nBy fulfilling the terms of the contract, you will be able to obtain a huge supply of gunpowder and ammunition with [5AFF75](Depleted Uranium)[-].","Lance le [71FFE7]Contrat :[-] Munitions spéciales\n\nEn remplissant les termes du contrat, vous pourrez obtenir une énorme quantité de poudre à canon et de munitions avec [5AFF75](Uranium appauvri)[-]."
Quest_VehicleT1Name,Quest,Quest Info,,[71FFE7]Contract:[-] Minibike parts,[71FFE7]Contrat :[-] Pièces pour minibike
Quest_VehicleT1Offer,Quest,Quest Info,,"«Greetings survivor. There are a couple of extra parts from a minibike, but I'm not going to give them away so easily. Kill some [DECEA3]Janitors[-] and [DECEA3]Businessmen[-] and report this to any trader; he will give you a reward»\n\n[DECEA3]- Bob[-]","« Salutations survivant. Il y a quelques pièces supplémentaires d'une mini-moto, mais je ne vais pas les donner si facilement. Tuez quelques [DECEA3]Concierges[-] et [DECEA3]Hommes d'affaires[-] et signalez-le à n'importe quel commerçant ; il te donnera une récompense»\n\n[DECEA3]- Bob[-]"
Quest_VehicleT2Name,Quest,Quest Info,,[71FFE7]Contract:[-] Motorcycle parts,[71FFE7]Contrat :[-] Pièces de moto
Quest_VehicleT2Offer,Quest,Quest Info,,"«Greetings survivor. There are a couple of extra parts from a motorcycle, but I'm not going to give them away so easily. Kill some [DECEA3]Janitors[-] and [DECEA3]Bikers[-] and report this to any trader; he will give you a reward»\n\n[DECEA3]- Bob[-]","« Salutations survivant. Il y a quelques pièces supplémentaires provenant d'une moto, mais je ne vais pas les donner si facilement. Tuez quelques [DECEA3]Concierges[-] et [DECEA3]Motards[-] et signalez-le à n'importe quel commerçant ; il te donnera une récompense»\n\n[DECEA3]- Bob[-]"
Quest_VehicleT3Name,Quest,Quest Info,,[71FFE7]Contract:[-] 4x4 Truck parts,[71FFE7]Contrat :[-] Pièces détachées pour camion 4x4
Quest_VehicleT3Offer,Quest,Quest Info,,"«Greetings survivor. There are a couple of extra parts from a truck 4x4, but I'm not going to give them away so easily. Kill some [DECEA3]Janitors[-], [DECEA3]Moes[-] and [DECEA3]Tourists[-] and report this to any trader; he will give you a reward»\n\n[DECEA3]- Bob[-]","« Salutations survivant. Il y a quelques pièces supplémentaires provenant d'un camion 4x4, mais je ne vais pas les donner si facilement. Tuez quelques [DECEA3]Concierges[-], [DECEA3]Moes[-] et [DECEA3]Touristes[-] et signalez-le à n'importe quel commerçant ; il te donnera une récompense»\n\n[DECEA3]- Bob[-]"
Quest_VehicleT4Name,Quest,Quest Info,,[71FFE7]Contract:[-] Gyrocopter parts,[71FFE7]Contrat :[-] Pièces de gyrocoptère
Quest_VehicleT4Offer,Quest,Quest Info,,"«Greetings survivor. There are a couple of extra parts from a gyrocopter, but I'm not going to give them away so easily. Kill some [DECEA3]Janitors[-], [DECEA3]Soldiers[-], [DECEA3]Cops[-] and [DECEA3]Demolishers[-] and report this to any trader; he will give you a reward»\n\n[DECEA3]- Bob[-]","« Salutations survivant. Il y a quelques pièces supplémentaires provenant d'un gyrocoptère, mais je ne vais pas les donner si facilement. Tuez quelques [DECEA3]Concierges[-], [DECEA3]Soldiers[-], [DECEA3]Flics[-] et [DECEA3]Démolisseurs[-] et signalez-le à n'importe quel commerçant ; il te donnera une récompense»\n\n[DECEA3]- Bob[-]"
Quest_FoodT1Name,Quest,Quest Info,,[71FFE7]Contract:[-] Some food,[71FFE7]Contrat :[-] De la nourriture
Quest_FoodT1Offer,Quest,Quest Info,,"«If you haven't died of hunger yet, then you will soon die of disease or worse. Well, in any case, any merchant can prepare drinking water and some food, of course, not for free. Collect the necessary ingredients and come when you are ready.»\n\n[DECEA3]- Rect[-]","« Si vous n'êtes pas encore mort de faim, vous mourrez bientôt de maladie ou pire encore. Eh bien, de toute façon, n’importe quel commerçant peut préparer de l’eau potable et de la nourriture, bien sûr, moyennant des frais. Récupérez les ingrédients nécessaires et venez quand vous êtes prêt.»\n\n[DECEA3]- Rect[-]"
Quest_FoodT2Name,Quest,Quest Info,,[71FFE7]Contract:[-] Hearty Lunch,[71FFE7]Contrat :[-] Déjeuner copieux
Quest_FoodT2Offer,Quest,Quest Info,,"«If you haven't died of hunger yet, then you will soon die of disease or worse. Well, in any case, any merchant can make a tasty drink and hearty food, of course, not for free. And if you're not hungry, you can learn a few useful recipes. Collect the necessary ingredients and come when you're ready.»\n\n[DECEA3]- Rect[-]","« Si vous n'êtes pas encore mort de faim, vous mourrez bientôt de maladie ou pire encore. Eh bien, dans tous les cas, n'importe quel commerçant peut préparer une boisson savoureuse et une nourriture copieuse, bien sûr, pas gratuitement. Et si vous n'avez pas faim, vous pouvez apprendre quelques recettes utiles. Récupérez les ingrédients nécessaires et venez quand vous êtes prêt.»\n\n[DECEA3]- Rect[-]"
Quest_FoodT3Name,Quest,Quest Info,,[71FFE7]Contract:[-] Lots of Food,[71FFE7]Contrat :[-] Beaucoup de nourriture
Quest_FoodT3Offer,Quest,Quest Info,,"«If you haven't died of hunger yet, then you will soon die of disease or worse. Well, in any case, any merchant can make mineral water and a delicious soup, of course, not for free. And if you're not hungry, you can learn a few useful recipes. Collect the necessary ingredients and come when you're ready.»\n\n[DECEA3]- Rect[-]","« Si vous n'êtes pas encore mort de faim, vous mourrez bientôt de maladie ou pire encore. Eh bien, de toute façon, n'importe quel commerçant peut fabriquer de l'eau minérale et une délicieuse soupe, bien sûr, pas gratuitement. Et si vous n'avez pas faim, vous pouvez apprendre quelques recettes utiles. Récupérez les ingrédients nécessaires et venez quand vous êtes prêt.»\n\n[DECEA3]- Rect[-]"
Quest_FoodT4Name,Quest,Quest Info,,[71FFE7]Contract:[-] Glutton,[71FFE7]Contrat :[-] Gourmand
Quest_FoodT4Offer,Quest,Quest Info,,"«If you haven't died of hunger yet, then you will soon die of disease or worse. Well, in any case, any merchant can make smoothies and homemade food, of course, not for free. And if you're not hungry, you can learn a few useful recipes. Collect the necessary ingredients and come when you're ready.»\n\n[DECEA3]- Rect[-]","« Si vous n'êtes pas encore mort de faim, vous mourrez bientôt de maladie ou pire encore. Eh bien, de toute façon, n’importe quel commerçant peut préparer des smoothies et des plats faits maison, bien sûr, pas gratuitement. Et si vous n'avez pas faim, vous pouvez apprendre quelques recettes utiles. Récupérez les ingrédients nécessaires et venez quand vous êtes prêt.»\n\n[DECEA3]- Rect[-]"
Quest_MedicineT1Name,Quest,Quest Info,,[71FFE7]Contract:[-] First aid,[71FFE7]Contrat :[-] Premiers secours
Quest_MedicineT1Offer,Quest,Quest Info,,"«I'm glad your health is okay. Or is it? Either way, I know how you can improve it. If you can kill a few [DECEA3]Nurses[-], examine their bodies carefully. They may have useful medicines on them. Let me know when you've managed to sort this out.»\n\n[DECEA3]- Jen[-]","«Je suis content que ta santé soit bonne. Ou est-ce ? Quoi qu’il en soit, je sais comment vous pouvez l’améliorer. Si vous parvenez à tuer quelques [DECEA3]Infirmières[-], examinez attentivement leurs corps. Ils peuvent avoir sur eux des médicaments utiles. Faites-moi savoir quand vous aurez réussi à régler ce problème.»\n\n[DECEA3]- Jen[-]"
Quest_MedicineT2Name,Quest,Quest Info,,[71FFE7]Contract:[-] Basic medicine,[71FFE7]Contrat :[-] Médecine de base
Quest_MedicineT2Offer,Quest,Quest Info,,"«I'm glad you're healthy. Or are you? Either way, I know how you can fix it. If you can kill a few [DECEA3]Nurses[-] and [DECEA3]Hazmat[-], examine their bodies carefully. They might have useful medicines on them. Let me know when you've managed to sort this out. If you wish, I can share a couple of useful medical journals.»\n\n[DECEA3]- Jen[-]","«Je suis content que tu sois en bonne santé. Ou l'êtes-vous ? Quoi qu’il en soit, je sais comment y remédier. Si vous parvenez à tuer quelques [DECEA3]Infirmières[-] et [DECEA3]Hazmat[-], examinez attentivement leurs corps. Ils pourraient avoir sur eux des médicaments utiles. Faites-moi savoir quand vous aurez réussi à régler ce problème. Si vous le souhaitez, je peux partager quelques revues médicales utiles.»\n\n[DECEA3]- Jen[-]"
Quest_MedicineT3Name,Quest,Quest Info,,[71FFE7]Contract:[-] Good medicine,[71FFE7]Contrat :[-] Bonne médecine
Quest_MedicineT3Offer,Quest,Quest Info,,"«I'm glad you're healthy. Or are you? Either way, I know how you can improve it. If you can kill a few [DECEA3]Nurses[-], [DECEA3]Hazmat[-], and [DECEA3]Mutated[-], examine their bodies carefully. They may have useful medicines on them. Let me know when you've managed to sort this out. If you wish, I can share a couple of useful medical journals.»\n\n[DECEA3]- Jen[-]","«Je suis content que tu sois en bonne santé. Ou l'êtes-vous ? Quoi qu’il en soit, je sais comment vous pouvez l’améliorer. Si vous parvenez à tuer quelques [DECEA3]Infirmières[-], [DECEA3]Hazmat[-] et [DECEA3]Mutés[-], examinez attentivement leurs corps. Ils peuvent avoir sur eux des médicaments utiles. Faites-moi savoir quand vous aurez réussi à régler ce problème. Si vous le souhaitez, je peux partager quelques revues médicales utiles.»\n\n[DECEA3]- Jen[-]"
Quest_MedicineT4Name,Quest,Quest Info,,[71FFE7]Contract:[-] Best medicine,[71FFE7]Contrat :[-] Meilleur médicament
Quest_ConstructionT1Name,Quest,Quest Info,,[71FFE7]Contract:[-] Construction Basics,[71FFE7]Contrat :[-] Bases de la construction
Quest_ConstructionT1Offer,Quest,Quest Info,,"«A strong structure never hurt anyone. Build a frame and strengthen it with wood, and I will help you with everything you need for construction. When you are done, tell any trader that you are from me, they will give you resources. If you want, I can share notes on how to build better.»\n\n[DECEA3]- da Vinci[-]","«Une structure solide n'a jamais fait de mal à personne. Construisez une charpente et renforcez-la avec du bois, et je vous aiderai avec tout ce dont vous avez besoin pour la construction. Lorsque vous avez terminé, dites à n'importe quel commerçant que vous venez de moi, il vous donnera des ressources. Si vous le souhaitez, je peux partager des notes sur la façon de mieux construire.»\n\n[DECEA3]- da Vinci[-]"
Quest_ConstructionT2Name,Quest,Quest Info,,[71FFE7]Contract:[-] Strong walls,[71FFE7]Contrat :[-] Murs solides
Quest_ConstructionT2Offer,Quest,Quest Info,,"«This is already more like a construction. Strengthen your structure with cobblestones, and I will help you with everything you need for construction. When you finish, tell any trader that you are from me, they will give you resources. If you want, I can share notes on how to build better.»\n\n[DECEA3]- da Vinci[-]","«Cela ressemble déjà plus à une construction. Renforcez votre structure avec des pavés et je vous aiderai avec tout ce dont vous avez besoin pour la construction. Lorsque vous aurez terminé, dites à n'importe quel commerçant que vous venez de moi, il vous donnera des ressources. Si vous le souhaitez, je peux partager des notes sur la façon de mieux construire.»\n\n[DECEA3]- da Vinci[-]"
Quest_ConstructionT3Name,Quest,Quest Info,,[71FFE7]Contract:[-] Experienced builder,[71FFE7]Contrat :[-] Constructeur expérimenté
Quest_ConstructionT3Offer,Quest,Quest Info,,"«It looks solid, but there is room for improvement. Strengthen your structure with cement, and I will help you with everything you need for construction. When you are done, tell any trader that you are from me, they will give you resources. If you want, I can share notes on how to build better.»\n\n[DECEA3]- da Vinci[-]","« Cela semble solide, mais il y a place à amélioration. Renforcez votre structure avec du ciment et je vous aiderai avec tout ce dont vous avez besoin pour la construction. Lorsque vous avez terminé, dites à n'importe quel commerçant que vous venez de moi, il vous donnera des ressources. Si vous le souhaitez, je peux partager des notes sur la façon de mieux construire.»\n\n[DECEA3]- da Vinci[-]"
Quest_WorkstationT1Name,Quest,Quest Info,,[71FFE7]Contract:[-] Improved Dew Collector,[71FFE7]Contrat :[-] Collecteur de rosée amélioré
