Key,Source,Context,Changes,English,Brazilian
armorBikerGlovesDesc,items,Clothes,,Medium Armor\nDon't fight back - so what? Increases the attack speed of clubs and sledgehammers.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.,Armadura Média\nNão revide - e daí? Aumenta a velocidade de ataque de porretes e marretas.\n\nBônus de conjunto completo: experiência adicional para matar ferals e zumbis irradiados.
armorBikerBootsDesc,items,Clothes,,"Medium Armor\nWithout transportation, it's like having no hands. Reduces vehicle fuel consumption.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Armadura Média\nSem transporte, é como não ter mãos. Reduz o consumo de combustível do veículo.\n\nBônus de conjunto completo: experiência adicional para matar ferals e zumbis irradiados."
buffBikerSetBonusTooltip,buffs,Buff,,Biker Full Set Bonus Active,Bônus de conjunto completo de motociclista ativo
buffBikerSemiSetBonusTooltip,buffs,Buff,,Biker Semi Set Bonus Active,Bônus de semiconjunto de motociclista ativo
buffBikerSetBonusDesc,buffs,Buff,,Lover of stronger opponents.\n\nExperience for killing ferals and radiated zombies increased by {cvar(.armorBikerFSBDisplay:0)}%,Amante de oponentes mais fortes.\n\nExperiência para matar ferals e zumbis irradiados aumentada em {cvar(.armorBikerFSBDisplay:0)}%
buffBikerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Biker set, you are a fan of stronger opponents.\n\nExperience for killing wild and infected zombies increased by {cvar(.armorSemiBikerFSBDisplay:0)}%","Mesmo com um conjunto de motociclista incompleto, você é um fã de oponentes mais fortes.\n\nExperiência por matar zumbis selvagens e infectados aumentado em {cvar(.armorSemiBikerFSBDisplay:0)}%"
armorScavengerOutfitDesc,items,Clothes,,"Medium Armor\nYou never know what you can do till you try. Increases the salvaging speed, the number of items received, and your carrying capacity.\n\nFull Set Bonus: Find better quality loot.","Armadura Média\nVocê nunca sabe o que pode fazer até tentar. Aumenta a velocidade de recuperação, o número de itens recebidos e sua capacidade de carga.\n\nBônus de conjunto completo: encontre itens de melhor qualidade."
buffScavengerSetBonusTooltip,buffs,Buff,,Scavenger Full Set Bonus Active,Bônus de conjunto completo de Scavenger ativo
buffScavengerSemiSetBonusTooltip,buffs,Buff,,Scavenger Semi Set Bonus Active,Bônus de semiconjunto de Scavenger ativo
buffScavengerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Scavenger set, you have a keen eye for finding valuable resources that would escape the gaze of others.\n\nYou find loot that is {cvar(.armorSemiScavengerFSBDisplay:0)}% higher in quality","Mesmo com um conjunto de Scavenger incompleto, você tem um olhar atento para encontrar recursos valiosos que escapariam do olhar de outras pessoas.\n\nVocê encontra itens que são {cvar(.armorSemiScavengerFSBDisplay:0)}% superior em qualidade"
armorRangerHelmetDesc,items,Clothes,,"Medium Armor\nRangers are ruthless negotiators, especially while wearing a well crafted hat. Increases bartering.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to [DECEA3]1[-] radiation effect","Médio Armor\nRangers são negociadores implacáveis, especialmente quando usam um chapéu bem feito. Aumenta a troca.\n\nBônus de conjunto completo: Aumenta todo o dano causado e fornece resistência ao efeito de radiação [DECEA3]1[-]"
armorRangerOutfitDesc,items,Clothes,,"Medium Armor\nNature has taught strength not only of the spirit, but also of the body. Increases the number of health points.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to [DECEA3]1[-] radiation effect","Armadura Média\nA natureza ensinou força não apenas do espírito, mas também do corpo. Aumenta o número de pontos de saúde.\n\nBônus de conjunto completo: Aumenta todo o dano causado e fornece resistência ao efeito de radiação [DECEA3]1[-]"
armorRangerGlovesDesc,items,Clothes,,Medium Armor\nThese comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to [DECEA3]1[-] radiation effect,Armadura média\nEssas luvas confortáveis ​​permitem que você manuseie rapidamente qualquer arma. Aumenta a velocidade de recarga da arma.\n\nBônus de conjunto completo: Aumenta todo o dano causado e fornece resistência ao efeito de radiação [DECEA3]1[-]
armorRangerBootsDesc,items,Clothes,,Medium Armor\nEndurance is the key to successful survival in the wild. Increases stamina.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to [DECEA3]1[-] radiation effect,Armadura média\nResistência é a chave para a sobrevivência bem-sucedida na natureza. Aumenta a resistência.\n\nBônus de conjunto completo: aumenta todo o dano causado e fornece resistência ao efeito de radiação [DECEA3]1[-]
buffRangerSetBonusTooltip,buffs,Buff,,Ranger Full Set Bonus Active,Bônus de conjunto completo de Ranger ativo
buffRangerSemiSetBonusTooltip,buffs,Buff,,Ranger Semi Set Bonus Active,Bônus de semiconjunto de Ranger ativo
buffRangerSetBonusDesc,buffs,Buff,,The ability to survive in any conditions allows you to deal increased damage with any weapon and in any weather.\n\nAll ranged damage increased by {cvar(.armorRangerFSBDisplay:0)}%\nGrants resistance to one active radiation effect.,A capacidade de sobreviver em qualquer condição permite que você cause mais dano com qualquer arma e em qualquer clima.\n\nTodo o dano à distância aumentado em {cvar(.armorRangerFSBDisplay:0)}%\nConcede resistência a um efeito de radiação ativo.
buffRangerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Ranger set, you deal increased damage with any weapon and in any weather.\n\nAll ranged damage increased by {cvar(.armorSemiRangerFSBDisplay:0)}%","Mesmo com um conjunto de Ranger incompleto, você causa dano maior com qualquer arma e em qualquer clima.\n\nTodo o dano à distância aumentado em {cvar(.armorSemiRangerFSBDisplay:0)}%"
armorCommandoHelmetDesc,items,Clothes,,Medium Armor\nHard training and injuries were not in vain. Everything heals on you like it does on a dog.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.,Armadura Média\nTreinamento duro e lesões não foram em vão. Tudo cura em você como em um cachorro.\n\nBônus de conjunto completo: aumenta o dano causado por armas automáticas.
armorCommandoOutfitDesc,items,Clothes,,Medium Armor\nTrue commandos endure without flinching. Faster critical injury recovery.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.,Armadura Média\nOs comandos verdadeiros resistem sem vacilar. Recuperação mais rápida de lesões críticas.\n\nBônus de conjunto completo: Aumenta o dano causado por armas automáticas.
armorCommandoGlovesDesc,items,Clothes,,"Medium Armor\nA good shooter disassembles and reassembles his weapon with ease, and has perfected the reloading process. Increases the reload speed of automatic weapons.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.",Armadura Média\nUm bom atirador desmonta e remonta sua arma com facilidade e aperfeiçoou o processo de recarga. Aumenta a velocidade de recarga de armas automáticas.\n\nBônus de conjunto completo: Aumenta o dano causado por armas automáticas.
armorCommandoBootsDesc,items,Clothes,,Medium Armor\nThese shoes are suitable for the most challenging obstacle courses. Increases safe fall height.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.,Armadura Média\nEstes sapatos são adequados para as pistas de obstáculos mais desafiadoras. Aumenta a altura de queda segura.\n\nBônus de conjunto completo: Aumenta o dano causado por armas automáticas.
buffCommandoSetBonusTooltip,buffs,Buff,,Commando Full Set Bonus Active,Bônus de conjunto completo de comando ativo
buffCommandoSemiSetBonusTooltip,buffs,Buff,,Commando Semi Set Bonus Active,Bônus de semiconjunto de comando ativo
buffCommandoSetBonusDesc,buffs,Buff,,Your weapons are machine guns and submachine guns. You can do wonders with them.\n\nDamage dealt by automatic weapons increased by {cvar(.armorCommandoFSBDisplay:0)}%,Suas armas são metralhadoras e submetralhadoras. Você pode fazer maravilhas com eles.\n\nDano causado por armas automáticas aumentado em {cvar(.armorCommandoFSBDisplay:0)}%
buffCommandoSemiSetBonusDesc,buffs,Buff,,"Even in an incomplete Commando set, your weapons are machine guns and assault rifles. With them you can work wonders.\n\nDamage dealt by automatic weapons is increased by {cvar(.armorSemiCommandoFSBDisplay:0)}%","Mesmo em um conjunto de Comando incompleto, suas armas são metralhadoras e rifles de assalto. Com eles você pode fazer maravilhas.\n\nO dano causado por armas automáticas é aumentado em {cvar(.armorSemiCommandoFSBDisplay:0)}%"
armorAssassinHelmetDesc,items,Clothes,,Medium Armor\nThey'll never see it coming. Deal more damage when sneaking.\n\nFull Set Bonus: Increases damage dealt by sniper rifles.,Armadura Média\nEles nunca verão isso chegando. Cause mais dano ao se esgueirar.\n\nBônus de conjunto completo: aumenta o dano causado por rifles de precisão.
armorAssassinOutfitDesc,items,Clothes,,"Medium Armor\nMove unseen, unheard, and unharmed. Increases sneak effectiveness.\n\nFull Set Bonus: Increases damage dealt by sniper rifles.","Armadura Média\nMova-se sem ser visto, ouvido e ileso. Aumenta a eficácia furtiva.\n\nBônus de conjunto completo: aumenta o dano causado por rifles de precisão."
armorAssassinGlovesDesc,items,Clothes,,Medium Armor\nSilently - but very quickly. Increases the rate of fire and reload speed of sniper rifles.\n\nFull Set Bonus: Increases damage dealt by sniper rifles.,Armadura Média\nSilenciosamente - mas muito rapidamente. Aumenta a cadência de tiro e a velocidade de recarga de rifles de precisão.\n\nBônus de conjunto completo: aumenta o dano causado por rifles de precisão.
armorAssassinBootsDesc,items,Clothes,,"Medium Armor\nSilent, but deadly. Sprinting while sneaking makes no extra sound.\n\nFull Set Bonus: Increases damage dealt by sniper rifles.","Armadura Média\nSilencioso, mas mortal. Correr enquanto se esgueira não faz nenhum som extra.\n\nBônus de conjunto completo: Aumenta o dano causado por rifles de precisão."
buffAssassinSetBonusTooltip,buffs,Buff,,Assassin Full Set Bonus Active,Bônus de conjunto completo de assassino ativo
buffAssassinSemiSetBonusTooltip,buffs,Buff,,Assassin Semi Set Bonus Active,Bônus de semiconjunto de assassino ativo
buffAssassinSetBonusDesc,buffs,Buff,,The hidden killer can easily find and eliminate his target. You have no equal in this.\n\nDamage dealt by sniper rifles increased by {cvar(.armorAssassinFSBDisplay:0)}%,O assassino oculto pode facilmente encontrar e eliminar seu alvo. Você não tem igual nisso.\n\nDano causado por rifles de precisão aumentado em {cvar(.armorAssassinFSBDisplay:0)}%
buffAssassinSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete set, the assassin can easily find and eliminate his target. You have no equal in this.\n\nDamage dealt by sniper rifles is increased by {cvar(.armorSemiAssassinFSBDisplay:0)}%","Mesmo com um conjunto incompleto, o assassino pode facilmente encontrar e eliminar seu alvo. Você não tem igual nisso.\n\nO dano causado por rifles de precisão é aumentado em {cvar(.armorSemiAssassinFSBDisplay:0)}%"
armorMinerHelmetDesc,items,Clothes,,Heavy Armor\nThe main thing when you climb into a mine is to remember the way back. Increases experience gained when mining ore.\n\nFull Set Bonus: Increases the amount of ore mined.,Armadura Pesada\nA principal coisa quando você entra em uma mina é lembrar o caminho de volta. Aumenta a experiência obtida ao minerar minério.\n\nBônus de conjunto completo: aumenta a quantidade de minério extraído.
armorMinerOutfitDesc,items,Clothes,,Heavy Armor\nYou can always quickly repair the tool. That is why it does not break down so often.\n\nFull Set Bonus: Increases the amount of ore mined.,Armadura Pesada\nVocê sempre pode reparar a ferramenta rapidamente. É por isso que não quebra com tanta frequência.\n\nBônus de conjunto completo: aumenta a quantidade de minério extraído.
armorMinerGlovesDesc,items,Clothes,,"Heavy Armor\nA chip here, a chip there, and any vein will give in. Increases block damage for mining tools.\n\nFull Set Bonus: Increases the amount of ore mined.","Armadura Pesada\nUm chip aqui, um chip ali e qualquer veia cederá. Aumenta o dano de bloco para ferramentas de mineração.\n\nBônus de conjunto completo: Aumenta a quantidade de minério extraído."
armorMinerBootsDesc,items,Clothes,,"Heavy Armor\nWith such equipment, stones underfoot are not a problem. Reduces stamina consumption when using a pickaxe.\n\nFull Set Bonus: Increases the amount of ore mined.","Armadura Pesada\nCom esse tipo de equipamento, pedras sob os pés não são um problema. Reduz o consumo de resistência ao usar uma picareta.\n\nBônus de conjunto completo: aumenta a quantidade de minério extraído."
buffMinerSetBonusTooltip,buffs,Buff,,Miner Full Set Bonus Active,Miner Full Set Bonus Active
buffMinerSemiSetBonusTooltip,buffs,Buff,,Miner Semi Set Bonus Active,Miner Semi Set Bonus Active
buffMinerSetBonusDesc,buffs,Buff,,An experienced miner knows how to get a little more ore.\n\nThe amount of ore mined has been increased by {cvar(.armorMinerFSBDisplay:0)}%,Um minerador experiente sabe como obter um pouco mais de minério.\n\nA quantidade de minério extraído foi aumentada em {cvar(.armorMinerFSBDisplay:0)}%
buffMinerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Miner set, you know how to mine a little more ore.\n\nThe amount of ore mined has been increased by {cvar(.armorSemiMinerFSBDisplay:0)}%","Mesmo com um conjunto de Miner incompleto, você sabe como minerar um pouco mais minério.\n\nA quantidade de minério extraído foi aumentada em {cvar(.armorSemiMinerFSBDisplay:0)}%"
armorNomadHelmetDesc,items,Clothes,,"Heavy Armor\nGuarded against the severe conditions of the wasteland, this headgear enables the Nomad to wander further. Reduces food and water consumption.\n\nFull Set Bonus: Increases the damage dealt by shotguns and gives resistance to [DECEA3]1[-] radiation effect.","Armadura Pesada\nProtegido contra as condições severas do deserto, este capacete permite que o Nômade vague mais. Reduz o consumo de comida e água.\n\nBônus de conjunto completo: Aumenta o dano causado por espingardas e dá resistência ao efeito de radiação [DECEA3]1[-]."
armorNomadOutfitDesc,items,Clothes,,Heavy Armor\nAnything can happen on any journey. The main thing is the ability to quickly recover and move on. Faster critical injury recovery.\n\nFull Set Bonus: Increases the damage done by shotguns and gives resistance to [DECEA3]1[-] radiation effect.,Armadura Pesada\nTudo pode acontecer em qualquer jornada. O principal é a capacidade de se recuperar rapidamente e seguir em frente. Recuperação mais rápida de lesões críticas.\n\nBônus de conjunto completo: Aumenta o dano causado por espingardas e dá resistência ao efeito de radiação [DECEA3]1[-].
armorNomadGlovesDesc,items,Clothes,,"Heavy Armor\nIf you go into a house to spend the night, there is definitely someone there. Increases the rate of fire and reload speed of shotguns.\n\nFull Set Bonus: Increases the damage done by shotguns and gives resistance to [DECEA3]1[-] radiation effect.","Armadura Pesada\nSe você entrar em uma casa para passar a noite, definitivamente há alguém lá. Aumenta a cadência de tiro e a velocidade de recarga das espingardas.\n\nBônus de conjunto completo: aumenta o dano causado pelas espingardas e dá resistência ao efeito de radiação [DECEA3]1[-]."
armorNomadBootsDesc,items,Clothes,,"Heavy Armor\nWhen crawling through the mountains, it is better not to look down. Increases safe fall height.\n\nFull Set Bonus: Increases the damage done by shotguns and gives resistance to [DECEA3]1[-] radiation effect.","Armadura Pesada\nAo rastejar pelas montanhas, é melhor não olhar para baixo. Aumenta a altura de queda segura.\n\nBônus de conjunto completo: Aumenta o dano causado por espingardas e dá resistência ao efeito de radiação [DECEA3]1[-]."
buffNomadSetBonusTooltip,buffs,Buff,,Nomad Full Set Bonus Active,Nomad Full Set Bonus Active
buffNomadSemiSetBonusTooltip,buffs,Buff,,Nomad Semi Set Bonus Active,Nomad Semi Set Bonus Active
buffNomadSetBonusDesc,buffs,Buff,,This is the best that can be offered to guests outside the tent.\n\nDamage dealt by shotguns increased by {cvar(.armorNomadFSBDisplay:0)}%\nGrants resistance to one active radiation effect.,Este é o melhor que pode ser oferecido aos convidados fora da tenda.\n\nDano causado por espingardas aumentado em {cvar(.armorNomadFSBDisplay:0)}%\nConcede resistência a um efeito de radiação ativo.
buffNomadSemiSetBonusDesc,buffs,Buff,,"Even without a full set, you know what you can offer to guests outside the tent.\n\nDamage dealt by shotguns increased by {cvar(.armorSemiNomadFSBDisplay:0)}%","Mesmo sem um conjunto completo, você sabe o que pode oferecer aos convidados fora da tenda.\n\nDano causado por espingardas aumentado em {cvar(.armorSemiNomadFSBDisplay:0)}%"
armorNerdHelmetDesc,items,Clothes,,"Heavy Armor\nYou might not be invited on any dates, but you will hone your skills. Increases experience gain.\n\nFull Set Bonus: Increases damage from the [DECEA3]«Intelligence»[-] attribute.","Armadura Pesada\nVocê pode não ser convidado para nenhuma data, mas irá aprimorar suas habilidades. Aumenta o ganho de experiência.\n\nBônus de conjunto completo: Aumenta o dano do atributo [DECEA3]«Inteligência»[-]."
armorNerdOutfitDesc,items,Clothes,,Heavy Armor\nYour lack of fashion sense gives you the ability to focus on your inventions. Adds a chance to gain two crafting skill points when reading magazines.\n\nFull Set Bonus: Increases damage from the [DECEA3]«Intelligence»[-] attribute.,Armadura Pesada\nSua falta de senso de moda lhe dá a capacidade de se concentrar em suas invenções. Adiciona uma chance de ganhar dois pontos de habilidade de artesanato ao ler revistas.\n\nBônus de conjunto completo: Aumenta o dano do atributo [DECEA3]«Inteligência»[-].
armorNerdGlovesDesc,items,Clothes,,Heavy Armor\nProtect your delicate hands from the cold and become an intellectual badass. Increases attack speed with intellect-based weapons.\n\nFull Set Bonus: Increases damage from the [DECEA3]«Intelligence»[-] attribute.,Armadura Pesada\nProteja suas mãos delicadas do frio e torne-se um intelectual durão. Aumenta a velocidade de ataque com armas baseadas em intelecto.\n\nBônus de conjunto completo: Aumenta o dano do atributo [DECEA3]«Inteligência»[-].
armorNerdBootsDesc,items,Clothes,,Heavy Armor\nThose distant school years were not in vain. You definitely learned how to run away. Increases running speed.\n\nFull Set Bonus: Increases damage from the [DECEA3]«Intelligence»[-] attribute.,Armadura Pesada\nAqueles anos escolares distantes não foram em vão. Você definitivamente aprendeu a fugir. Aumenta a velocidade de corrida.\n\nBônus de conjunto completo: Aumenta o dano do atributo [DECEA3]«Inteligência»[-].
buffNerdSetBonusTooltip,buffs,Buff,,Nerd Full Set Bonus Active,Bônus de conjunto completo de Nerd ativo
buffNerdSemiSetBonusTooltip,buffs,Buff,,Nerd Semi Set Bonus Active,Bônus de semiconjunto de Nerd ativo
buffNerdSetBonusDesc,buffs,Buff,,Robots are not only valuable fur...\n\nDamage from the [DECEA3]«Intelligence»[-] attribute increased by {cvar(.armorNerdFSBDisplay:0)}%,Robôs não são apenas peles valiosas...\n\nDano do atributo [DECEA3]«Inteligência»[-] aumentado em {cvar(.armorNerdFSBDisplay:0)}%
buffNerdSemiSetBonusDesc,buffs,Buff,,"Even in an incomplete Nerd set, robots are not only valuable fur...\n\nDamage dealt by the [DECEA3]«Intelligence»[-] attribute is increased by {cvar(.armorSemiNerdFSBDisplay:0)}%","Mesmo em um conjunto de Nerd incompleto, os robôs não são apenas valiosos fur...\n\nO dano causado pelo atributo [DECEA3]«Inteligência»[-] é aumentado em {cvar(.armorSemiNerdFSBDisplay:0)}%"
armorRaiderHelmetDesc,items,Clothes,,Heavy Armor\nGrandma's ointments work wonders. Increases the speed of healing received.\n\nFull Set Bonus: Increases all melee damage.,Armadura Pesada\nAs pomadas da vovó fazem maravilhas. Aumenta a velocidade de cura recebida.\n\nBônus de conjunto completo: Aumenta todos os danos corpo a corpo.
armorRaiderOutfitDesc,items,Clothes,,Heavy Armor\nOops. I didn’t immediately notice that my arm was broken. Increases the recovery rate of critical wounds.\n\nFull Set Bonus: Increases all melee damage.,Armadura Pesada\nOps. Não percebi imediatamente que meu braço estava quebrado. Aumenta a taxa de recuperação de ferimentos críticos.\n\nBônus de conjunto completo: Aumenta todos os danos corpo a corpo.
armorRaiderGlovesDesc,items,Clothes,,"Heavy Armor\nWell, come one at a time. There's enough for everyone. Increases melee attack speed.\n\nFull Set Bonus: Increases all melee damage.","Armadura Pesada\nBem, venha um de cada vez. Há o suficiente para todos. Aumenta a velocidade de ataque corpo a corpo.\n\nBônus de conjunto completo: Aumenta todos os danos corpo a corpo."
armorRaiderBootsDesc,items,Clothes,,"Heavy Armor\nStep right, step left. You easily dodge enemy attacks and spend less stamina.\n\nFull Set Bonus: Increases all melee damage.","Armadura Pesada\nPasso para a direita, passo para a esquerda. Você evita ataques inimigos facilmente e gasta menos resistência.\n\nBônus de conjunto completo: aumenta todos os danos corpo a corpo."
buffRaiderSetBonusTooltip,buffs,Buff,,Raider Full Set Bonus Active,Raider Full Set Bonus Active
buffRaiderSemiSetBonusTooltip,buffs,Buff,,Raider Semi Set Bonus Active,Raider Semi Set Bonus Active
buffRaiderSetBonusDesc,buffs,Buff,,You are invincible in close combat.\n\nMelee damage increased by {cvar(.armorRaiderFSBDisplay:0)}%,Você é invencível em combate corpo a corpo.\n\nDano corpo a corpo aumentado em {cvar(.armorRaiderFSBDisplay:0)}%
buffRaiderSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Raider set, you are unbeatable in melee combat.\n\nMelee damage increased by {cvar(.armorSemiRaiderFSBDisplay:0)}%","Mesmo com um conjunto Raider incompleto, você é imbatível em combate corpo a corpo.\n\nDano corpo a corpo aumentado em {cvar(.armorSemiRaiderFSBDisplay:0)}%"

===
=== Z_Balance_Game ===
===


perkBarBrawling3KillerInstinctDesc,progression,perk  book,,"Gain 5% damage and attack speed with each kill, up to 15%.","Gain 5% damage and attack speed with each kill, up to 15%."
perkBarBrawling3KillerInstinctLongDesc,progression,perk  book,,"Killer Instinct: Gain 5% damage and attack speed with each kill, up to 15%. After 10 seconds without killing anything it downgrades by one level.","Killer Instinct: Gain 5% damage and attack speed with each kill, up to 15%. After 10 seconds without killing anything it downgrades by one level."
perkBarBrawling4FinishingMovesDesc,progression,perk  book,,Do extra damage to NON-stunned opponents.,Do extra damage to NON-stunned opponents.
perkBarBrawling4FinishingMovesLongDesc,progression,perk  book,,One warrior in the field:: Do 50% extra damage to NON-stunned opponents.,One warrior in the field:: Do 50% extra damage to NON-stunned opponents.
perkBarBrawling5AdrenalineHealingDesc,progression,perk  book,,Recover health and stamina in combat with every punch.,Recover health and stamina in combat with every punch.
perkBarBrawling5AdrenalineHealingLongDesc,progression,perk  book,,Adrenaline Healing: When in combat health recovers 1 hit point with every punch. Has a 35% chance to additionally restore 2 hit point and 3 stamina.,Adrenaline Healing: When in combat health recovers 1 hit point with every punch. Has a 35% chance to additionally restore 2 hit point and 3 stamina.
perkBrawlerRank1LongDesc,progression,perk For,,Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Knuckled weapons deal 10% more damage and attacks on NON-stunned enemies deal 30% more damage. Punches to the head negate infection ability. Stamina costs are reduced by 8% and 15% for power attacks. Find more knuckle weapons and parts in loot.,Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Knuckled weapons deal 10% more damage and attacks on NON-stunned enemies deal 30% more damage. Punches to the head negate infection ability. Stamina costs are reduced by 8% and 15% for power attacks. Find more knuckle weapons and parts in loot.
perkBrawlerRank2LongDesc,progression,perk For,,You've been in a few fights and can hold your own. Knuckle weapons deal 20% more damage and attacks on NON-stunned enemies deal 60% more damage. Have a 30% chance to stagger opponents with power attacks. Stamina costs are reduced by 15% and 30% for power attacks. Find more knuckle weapons and parts in loot.,You've been in a few fights and can hold your own. Knuckle weapons deal 20% more damage and attacks on NON-stunned enemies deal 60% more damage. Have a 30% chance to stagger opponents with power attacks. Stamina costs are reduced by 15% and 30% for power attacks. Find more knuckle weapons and parts in loot.
perkBrawlerRank3LongDesc,progression,perk For,,All the fighting and scrapping has added up and you're a real slugger now. Knuckle weapons deal 30% more damage and attacks on NON-stunned enemies deal 90% more damage. Power attacks to the head have a 20% chance to knock down your opponent. Stamina costs are reduced by 20% and 40% for power attacks. Killing blows grant 10 stamina. Find more knuckle weapons and parts.,All the fighting and scrapping has added up and you're a real slugger now. Knuckle weapons deal 30% more damage and attacks on NON-stunned enemies deal 90% more damage. Power attacks to the head have a 20% chance to knock down your opponent. Stamina costs are reduced by 20% and 40% for power attacks. Killing blows grant 10 stamina. Find more knuckle weapons and parts.
perkBrawlerRank4LongDesc,progression,perk For,,"You're now good enough to compete in professional boxing, but smashing zombies faces in will have to do. Knuckle weapons deal 40% more damage and attacks on NON-stunned enemies deal 120% more damage. Power attacks to the head have a 30% chance to knock down your opponent. Stamina costs are reduced by 25% and 50% for power attacks. Killing blows grant 20 stamina. Find more knuckle weapons and parts in loot.","You're now good enough to compete in professional boxing, but smashing zombies faces in will have to do. Knuckle weapons deal 40% more damage and attacks on NON-stunned enemies deal 120% more damage. Power attacks to the head have a 30% chance to knock down your opponent. Stamina costs are reduced by 25% and 50% for power attacks. Killing blows grant 20 stamina. Find more knuckle weapons and parts in loot."
perkBrawlerRank5LongDesc,progression,perk For,,You're now a complete mixed martial artist and a registered lethal weapon. Knuckle weapons deal 50% more damage and attacks on NON-stunned enemies deal 150% more damage. Have a higher chance to explode heads with punches. Killing blows grant 30 stamina. Find more knuckle weapons and parts in loot.,You're now a complete mixed martial artist and a registered lethal weapon. Knuckle weapons deal 50% more damage and attacks on NON-stunned enemies deal 150% more damage. Have a higher chance to explode heads with punches. Killing blows grant 30 stamina. Find more knuckle weapons and parts in loot.
pickupPrompt,UI,HUD,,Press {{0}} to [8692FF]pick up[-]: {0},Pressione {{0}} para [8692FF]atender[-]: {0}
lootTooltipEmpty,UI,Use Prompt,,[DECEA3]Empty[-] {1},[DECEA3]Vazio[-] {1}
lootTooltipNew,UI,Use Prompt,,{0} Search {1} [9DEF5D](Untouched)[-],{0} Pesquisar {1} [9DEF5D](intocado)[-]
buffmodActive,buffs,buff,,Active,Ativo
buffmodMeleeStunBatonRepulsorTooltip,buffs,buff,,Repulsor active,Repulsor ativo
buffmodMeleeStunBatonRepulsorIncDesc,buffs,Buff,,The repulsor in the stun baton is active,O repulsor no bastão de choque está ativo
StunBatonRepulsor,buffs,buff,,Repulsor,Repulsor
modMeleeStunBatonRepulsorDesc,item_modifiers,Mod,,Install this mod into a stun baton and send zombies flying on the charged hit.\n\nPress (hold) [DECEA3][ F ][-] to turn on or off.,Install this mod into a stun baton and send zombies flying on the charged hit.\n\nPress (hold) [DECEA3][ F ][-] to turn on or off.
perkLockPickingRank1LongDesc,progression,perk Per,,"You gain experience. You can pick locks [DECEA3]15%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]10%[-]. Damage to safes is increased by [DECEA3]10%[-].",Você ganha experiência. Você pode arrombar fechaduras [DECEA3]15%[-] mais rápido e a chance de arrombar uma fechadura é reduzida em [DECEA3]10%[-]. Os danos aos cofres aumentam em [DECEA3]10%[-].
perkLockPickingRank2LongDesc,progression,perk Per,,"You've now become a locksmith. There are few locks in the world that can hold you back. You can pick locks [DECEA3]30%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]20%[-]. If you can find lockpicks in your loot, you'll find one more. Damage to safes is increased by [DECEA3]20%[-].","Você agora se tornou um serralheiro. Existem poucos bloqueios no mundo que podem impedi-lo. Você pode arrombar fechaduras [DECEA3]30%[-] mais rápido e a chance de arrombar uma fechadura é reduzida em [DECEA3]20%[-]. Se você encontrar lockpicks em seu saque, encontrará mais um. Os danos aos cofres aumentam em [DECEA3]20%[-]."
perkLockPickingRank3LongDesc,progression,perk Per,,"You are now a professional safecracker. You can pick locks [DECEA3]45%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]30%[-]. If you can find lockpicks in your loot, you'll find two more. Damage to safes is increased by [DECEA3]30%[-].","Você agora é um arrombador de cofres profissional. Você pode arrombar fechaduras [DECEA3]45%[-] mais rápido e a chance de arrombar uma fechadura é reduzida em [DECEA3]30%[-]. Se você encontrar lockpicks em seu saque, encontrará mais dois. Os danos aos cofres aumentam em [DECEA3]30%[-]."
perkLockPickingRank4Desc,progression,perk Per,,Robber,Ladrão
perkLockPickingRank4LongDesc,progression,perk Per,,"You could rob any bank. You can pick locks [DECEA3]60%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]40%[-]. If you can find lockpicks in your loot, you'll find [DECEA3]3[-] more. Damage to safes is increased by [DECEA3]40%[-].","Você poderia roubar qualquer banco. Você pode arrombar fechaduras [DECEA3]60%[-] mais rápido e a chance de arrombar uma fechadura é reduzida em [DECEA3]40%[-]. Se você encontrar lockpicks em seu saque, encontrará [DECEA3]3[-] mais. Os danos aos cofres aumentam em [DECEA3]40%[-]."
perkLockPickingRank5Desc,progression,perk Per,,Master Safecracker,Mestre arrombador de cofres
