Key,Source,Context,Changes,English,Japanese
Quest_WeaponMachineGunName,Quest,Quest Info,,[71FFE7]Contract:[-] Automatic Weapons Enthusiast,[71FFE7]契約:[-] 自動小銃愛好家
Quest_WeaponMachineGunOffer,Quest,Quest Info,,"«I see saving ammo is not your strong point. Kill a few [DECEA3]any zombies[-] using automatic weapons. If you succeed, I will gladly share automatic weapon parts and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「弾薬の節約があなたの長所ではないようですね。自動小銃を使って[DECEA3]ゾンビ[-]を数体倒します。あなたが成功したら、喜んで自動武器の部品といくつかの興味深い雑誌を差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponShotgunName,Quest,Quest Info,,[71FFE7]Contract:[-] Shotgun Enthusiast,[71FFE7]契約:[-] ショットガン愛好家
Quest_WeaponShotgunOffer,Quest,Quest Info,,"«The sight of flying body parts probably doesn't bother you at all. Kill a few [DECEA3]any zombies[-] using shotguns. If you succeed, I'll be happy to share shotgun parts and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「体の一部が飛んでいるのを見ても、おそらくまったく気にならないでしょう。ショットガンを使って[DECEA3]ゾンビ[-]を数体倒します。成功したら、喜んでショットガンの部品を共有し、興味深い雑誌をいくつか差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponRifleName,Quest,Quest Info,,[71FFE7]Contract:[-] Rifle Enthusiast,[71FFE7]契約:[-] ライフル愛好家
Quest_WeaponRifleOffer,Quest,Quest Info,,"«Someone once said, Accuracy is the courtesy of kings. Let's see how steady your hands really are. Kill a few [DECEA3]any zombies[-] using rifles. If you succeed, I will gladly share rifle parts and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「かつて誰かが言いました、正確さは王の礼儀です。あなたの手が実際にどれだけ安定しているかを見てみましょう。ライフルを使って[DECEA3]ゾンビ[-]を数体倒します。あなたが成功したら、喜んでライフルの部品といくつかの興味深い雑誌を差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponPistolName,Quest,Quest Info,,[71FFE7]Contract:[-] Pistol Enthusiast,[71FFE7]契約:[-] ピストル愛好家
Quest_WeaponPistolOffer,Quest,Quest Info,,"«In the Wild West, a good shot was worth his weight in gold, and times haven't improved since then. Kill a few [DECEA3]any zombies[-] using pistols. If you succeed, I will gladly share pistol parts and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「西部開拓時代では、良いショットは金メダルに値したが、それ以来タイムは伸びていない。ピストルを使って[DECEA3]ゾンビ[-]を数体倒します。成功したら、喜んでピストルの部品と興味深い雑誌を差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponSpearName,Quest,Quest Info,,[71FFE7]Contract:[-] Spear Enthusiast,[71FFE7]契約:[-] 槍愛好家
Quest_WeaponSpearOffer,Quest,Quest Info,,"«Even mammoths couldn't resist the power of the spear, let alone the common undead. Kill a few [DECEA3]any zombies[-] using the spear. If you succeed, I'll be happy to share the spear parts and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「一般的なアンデッドは言うまでもなく、マンモスですら槍の力に抵抗することはできなかった。槍を使って[DECEA3]ゾンビ[-]を数体倒します。成功したら、喜んで槍のパーツを分けて、面白い雑誌をいくつか差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponClubName,Quest,Quest Info,,[71FFE7]Contract:[-] Club Enthusiast,[71FFE7]契約:[-] クラブ愛好家
Quest_WeaponClubOffer,Quest,Quest Info,,"«A good club can calm any rowdy. Kill a few [DECEA3]any zombies[-] using a club. If you succeed, I will gladly share the parts of the club and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「良いクラブはどんな乱暴者でも落ち着かせることができる。棍棒を使って[DECEA3]ゾンビ[-]を数体倒します。成功したら、喜んでクラブの一部を共有し、興味深い雑誌をお届けします。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponSledgehammerName,Quest,Quest Info,,[71FFE7]Contract:[-] Sledgehammer Enthusiast,[71FFE7]契約:[-]スレッジハンマー愛好家
Quest_WeaponSledgehammerOffer,Quest,Quest Info,,"«This weapon is scary to look at, and it takes a lot of strength to lift it. Kill a few [DECEA3]any zombies[-] using the sledgehammer. If you succeed, I will gladly share the parts of the sledgehammer and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「この武器は見るのも恐ろしく、持ち上げるのにもかなりの力が必要です。大ハンマーを使って[DECEA3]ゾンビ[-]を数体倒します。あなたが成功したら、喜んで大ハンマーの部品を分けて、興味深い雑誌をいくつか差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponKnuckleName,Quest,Quest Info,,[71FFE7]Contract:[-] Knuckle Enthusiast,[71FFE7]契約:[-] ナックル愛好家
Quest_WeaponKnuckleOffer,Quest,Quest Info,,"«It doesn't look that dangerous. Well, let the enemies tell you about it in the afterlife. Kill a few [DECEA3]any zombies[-] using brass knuckles. If you succeed, I'll be happy to share parts of the brass knuckles and give you a few interesting magazines.»\n\n[DECEA3]- Joel[-]",「そんなに危険そうには見えないよ。まあ、それについては来世で敵に教えてもらいましょう。ブラスナックルを使って[DECEA3]ゾンビ[-]を数体倒します。成功したら、ブラスナックルの一部を喜んで共有し、興味深い雑誌をいくつか差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponKnifeName,Quest,Quest Info,,[71FFE7]Contract:[-] Knife Enthusiast,[71FFE7]契約:[-] ナイフ愛好家
Quest_WeaponKnifeOffer,Quest,Quest Info,,"«A good old knife is one of the basics of survival. Kill a few [DECEA3]any zombies[-] using knives. If you succeed, I will gladly share machete parts and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「古き良きナイフは生き残るための基本の一つです。ナイフを使って[DECEA3]ゾンビ[-]を数匹殺します。成功したら、喜んでマチェーテの部品といくつかの興味深い雑誌を差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_WeaponBatonName,Quest,Quest Info,,[71FFE7]Contract:[-] Stun Baton Enthusiast,[71FFE7]契約:[-] スタンバトン愛好家
Quest_WeaponBatonOffer,Quest,Quest Info,,"«A hit from one of these batons can do more than just cauterize — it can fry too. Kill several [DECEA3]any zombies[-] using stun batons. If you succeed, I will gladly share parts of a stun baton and give you some interesting magazines.»\n\n[DECEA3]- Joel[-]",「これらの警棒の 1 つによる攻撃は、焼灼するだけでなく、揚げることもできます。スタンバトンを使って[DECEA3]ゾンビ[-]を数体倒します。あなたが成功したら、喜んでスタンバトンの一部を共有し、興味深い雑誌をいくつか差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_AmmoT1Name,Quest,Quest Info,,[71FFE7]Contract:[-] Small Ammo Supply,[71FFE7]契約:[-] 少量の弾薬供給
Quest_AmmoT1Offer,Quest,Quest Info,,"«Without ammo in the wasteland, you are not a hunter, but game. Kill some [DECEA3]Soldiers[-] and [DECEA3]Feral Zombies[-]. If you succeed, I will give you a supply of gunpowder and some ammunition of the required caliber.»\n\n[DECEA3]- Joel[-]",「荒野で弾薬がなければ、あなたはハンターではなく獲物です。 [DECEA3]兵士[-]と[DECEA3]フェラルゾンビ[-]を倒します。成功したら、火薬と必要な口径の弾薬を差し上げます。»\n\n[DECEA3]- ジョエル[-]
Quest_AmmoT2Name,Quest,Quest Info,,[71FFE7]Contract:[-] Medium Ammo Supply,[71FFE7]契約:[-] 中弾薬供給
Quest_AmmoT2Offer,Quest,Quest Info,,"«You can never have too many bullets. Kill some [DECEA3]Soldiers[-] and [DECEA3]Radioactive Zombies[-]. If you succeed, I'll give you enough gunpowder and ammunition of the right caliber.»\n\n[DECEA3]- Joel[-]",「弾丸が多すぎることはありません。 [DECEA3]兵士[-]と[DECEA3]放射性ゾンビ[-]を倒します。成功したら、十分な火薬と適切な口径の弾薬をあげます。»\n\n[DECEA3]- ジョエル[-]
Quest_AmmoT3Name,Quest,Quest Info,,[71FFE7]Contract:[-] Large Ammo Supply,[71FFE7]契約:[-] 大量の弾薬供給
Quest_AmmoT3Offer,Quest,Quest Info,,"«If you want to find a lot of useful resources, prepare for a large horde, which means a lot of ammunition. Kill some [DECEA3]Soldiers[-] and [DECEA3]Elite zombies[-]. If you succeed, I will give you a large supply of gunpowder and ammunition of the required caliber.»\n\n[DECEA3]- Joel[-]",「有用な資源をたくさん見つけたいなら、大量の弾薬を意味する大群の準備をしてください。 [DECEA3]兵士[-]と[DECEA3]エリートゾンビ[-]を倒します。成功すれば、必要な口径の火薬と弾薬を大量に提供します。»\n\n[DECEA3]- ジョエル[-]
Quest_AmmoT4Name,Quest,Quest Info,,[71FFE7]Contract:[-] Special ammunition,[71FFE7]契約:[-] 特殊弾薬
Quest_AmmoT4Offer,Quest,Quest Info,,"«Not all bullets can hurt the big beasts. I know what will definitely work for difficult targets. Kill some [DECEA3]Soldiers[-], [DECEA3]Elite Zombies[-], and [DECEA3]Demolishers[-]. If you succeed, I will give you a huge supply of gunpowder and experimental ammunition of the required caliber.»\n\n[DECEA3]- Joel[-]",「すべての弾丸が大きな獣を傷つけることができるわけではありません。難しい目標に対して何が確実に効果があるかを私は知っています。 [DECEA3]兵士[-]、[DECEA3]エリートゾンビ[-]、[DECEA3]デモリッシャー[-]を何人か倒します。成功すれば、必要な口径の火薬と実験用弾薬を大量に提供します。»\n\n[DECEA3]- ジョエル[-]
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->,,,,,
<!-- Stupid Bet -->,,,,,
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->,,,,,
StupidBet1,items,questItem,,[FF8000]Stupid Bet:[-] At grandma's in the village,[FF8000]愚かな賭け:[-] 村のおばあちゃんの家で
StupidBet1Desc,items,questItem,,"Launches [FF8000]Stupid Bet:[-] At grandma's in the village\n\nAfter completing the quest, you can get [DECEA3]1[-] skill point, a Steel Shovel, or useful magazines.",[FF8000]愚かな賭けを開始します:[-] 村のおばあちゃんのところで\n\nクエストを完了すると、[DECEA3]1[-]のスキル ポイント、スチール シャベル、または便利な雑誌を入手できます。
StupidBet2,items,questItem,,[FF8000]Stupid Bet:[-] Feathers and bones,[FF8000]愚かな賭け:[-] 羽と骨
StupidBet2Desc,items,questItem,,"Launches [FF8000]Stupid Bet:[-] Feathers and bones\n\nBy completing the quest, you can receive [DECEA3]1[-] skill point, a Compound Bow or Crossbow, or useful magazines.",[FF8000]愚かな賭け:[-] 羽と骨を開始します\n\nクエストを完了すると、[DECEA3]1[-] スキル ポイント、コンパウンド ボウまたはクロスボウ、または便利な雑誌を受け取ることができます。
StupidBet3,items,questItem,,[FF8000]Stupid Bet:[-] Search for classmates,[FF8000]愚かな賭け:[-] クラスメイトを探す
StupidBet3Desc,items,questItem,,"Launches [FF8000]Stupid Bet:[-] Search for classmates\n\nBy completing the quest, you can receive [DECEA3]1[-] skill point, a Barbarian Axe, or useful magazines.",[FF8000]愚かな賭け:[-] クラスメートの検索を開始します\n\nクエストを完了すると、[DECEA3]1[-] スキル ポイント、バーバリアン アックス、または便利な雑誌を受け取ることができます。
StupidBet4,items,questItem,,[FF8000]Stupid Bet:[-] Incident in a strip club,[FF8000]愚かな賭け:[-] ストリップクラブでの事件
StupidBet4Desc,items,questItem,,"Launches [FF8000]Stupid Bet:[-] Incident in a strip club\n\nBy completing the quest, you can receive [DECEA3]1[-] skill point, an Indiana Machete, or useful magazines.",[FF8000]愚かな賭け:[-] ストリップクラブでの事件を開始します\n\nクエストを完了すると、[DECEA3]1[-] スキル ポイント、インディアナ マチェーテ、または便利な雑誌を受け取ることができます。
StupidBet5,items,questItem,,[FF8000]Stupid Bet:[-] Traces around the bathhouse,[FF8000]愚かな賭け:[-] 浴場の周りの痕跡
StupidBet5Desc,items,questItem,,"Launches [FF8000]Stupid Bet:[-] Traces around the bathhouse\n\nBy completing the quest, you will be able to receive [DECEA3]1[-] skill point and a permanent bonus to melee damage to animals.",[FF8000]愚かな賭け:[-]浴場の周りの痕跡を開始します\n\nクエストを完了すると、[DECEA3]1[-]のスキル ポイントと、動物への近接ダメージに対する永続的なボーナスを受け取ることができます。
Quest_StupidBet1Name,Quest,Quest Info,,[FF8000]Stupid Bet:[-] At grandma's in the village,[FF8000]愚かな賭け:[-] 村のおばあちゃんの家で
Quest_StupidBet1Offer,Quest,Quest Info,,"«I remember when I was a kid, I tried some of my grandfather's moonshine. It was just awful, what happened to my head in the morning. I don't remember anything, but for some reason my grandmother was very angry. After that, they stopped taking me to them on weekends. It turned out that I spent half the night chasing chickens in her henhouse with a shovel - and caught up with almost all of them. I tell everyone, no one believes me. I bet you won't be able to catch even a couple of chickens.»\n\n[DECEA3]- Drunken Master[-]\n\n[DECEA3]Kill 6 chickens with a stone shovel. Be under the influence of Skull Crusher candies.[-]",「子供の頃、祖父が作った密造酒を試したことを覚えています。朝、私の頭に何が起きたのか、本当にひどかったです。何も覚えていないのですが、なぜか祖母はとても怒っていました。それ以来、週末に連れて行ってもらうことはなくなりました。結局、私はシャベルを使って彼女の鶏小屋の鶏を追いかけて半夜を過ごし、ほぼすべての鶏に追いつきました。みんなに言いますが、誰も信じてくれません。きっと鶏を 2 羽捕まえることもできないでしょう。»\n\n[DECEA3]- 酔っぱらいの達人[-]\n\n[DECEA3]石のシャベルで鶏を 6 羽殺します。スカルクラッシャーキャンディーの影響下にあること。[-]
Quest_StupidBet2Name,Quest,Quest Info,,[FF8000]Stupid Bet:[-] Feathers and bones,[FF8000]愚かな賭け:[-] 羽と骨
Quest_StupidBet2Offer,Quest,Quest Info,,"«When it all just started, the first problem was with food. Going into the city was not an option, and the forest seemed to be dead. But if you look up, flocks of vultures were circling around. They ate meat indiscriminately, so they themselves quickly became infected. But they did not change their habits. As they say: «There is no such thing as bad meat, only a bad cook.» It was much later, when everything had calmed down, that edible game began to appear in the forest, so now it has become much easier with food.\nI bet you won't even be able to hit a vulture with a bow. If you manage to show that you can, I am ready to reward you generously.»\n\n[DECEA3]- Drunken Master[-]\n\n[DECEA3]Kill 8 vultures with a primitive bow. Located in the forest biome.[-]",「すべてが始まったばかりのとき、最初の問題は食べ物でした。街に入るという選択肢はなく、森は死んでいるかのようでした。しかし、見上げるとハゲワシの群れが旋回していました。彼らは無差別に肉を食べたので、彼ら自身もすぐに感染してしまいました。しかし、彼らは習慣を変えませんでした。彼らは言うように、「まずい肉などというものはない。ただ、まずい料理人だけだ。」食用の獲物が森に現れるようになったのは、すべてが落ち着いてからずっと後になってからでした。そのため、今では食べ物の入手がはるかに簡単になりました。\nきっとハゲワシを弓で攻撃することさえできないでしょう。あなたがそれができることを証明できたら、私はあなたに寛大な報酬を与える準備ができています。»\n\n[DECEA3]- 酔っぱらいの達人[-]\n\n[DECEA3]原始的な弓でハゲワシを8匹倒す。森林バイオームに位置します。[-]
Quest_StupidBet3Name,Quest,Quest Info,,[FF8000]Stupid Bet:[-] Search for classmates,[FF8000]愚かな賭け:[-] クラスメイトを探す
Quest_StupidBet3Offer,Quest,Quest Info,,"«I remember when it all just started, we had a reunion of graduates in a bar. I can't say that I was happy to see them all. However, in any case, I left early. A couple of hours later, the first wave of infection began in this area. I'm sure they all continued communicating as zombies. And who among us is a «loser» now?\nAny fool can kill them all, I bet you can't kill them all with an axe.\nIn general, I am ready to generously reward you if you succeed.»\n\n[DECEA3]- Drunken Master[-]\n\n[DECEA3]Kill 2 Marlene, 2 Darlene, 2 Joe, 2 Steve, 2 Yo using an axe. Be under the influence of beer.[-]",「すべてが始まったばかりの頃、バーで卒業生の同窓会が開かれたことを覚えています。全員に会えて幸せだったとは言えません。しかし、とにかく早めに出発しました。数時間後、この地域で感染の第一波が始まりました。きっとみんなゾンビになってコミュニケーションを続けていたんだと思います。そして今、私たちの中で「敗者」は誰でしょうか?\nどんな愚か者でも全員を殺すことはできますが、斧で全員を殺すことは不可能でしょう。\n一般的に、成功したら惜しみなく報酬を与える準備ができています。»\n\n[DECEA3]- 酔っぱらいのマスター[-]\n\n[DECEA3]斧を使ってマーリーン 2 人、ダーリーン 2 人、ジョー 2 人、スティーブ 2 人、ヨー 2 人を倒す。ビールの影響下にある。[-]
Quest_StupidBet4Name,Quest,Quest Info,,[FF8000]Stupid Bet:[-] Incident in a strip club,[FF8000]愚かな賭け:[-] ストリップクラブでの事件
Quest_StupidBet4Offer,Quest,Quest Info,,"«I always said: - People need strip clubs no less than medicine or the police. I remember when I was young, I wandered into one of those. Well, the chicks there were something special. I drank a little, and decided to dance with them. And so I undress and hit on one of them, and even in the heat of the moment I notice that one of them has a huge apparatus at the ready. It turned out that these are Vietnamese «students» on an exchange, working part-time... terrible. Well, in general, the local security quickly threw me out into the street as I was.\nThat club is in the very center of the contaminated zone, but these creatures have long since dispersed around the area. In general, I bet you won't want to watch their show. Kill whoever you find, and I will not remain in debt.»\n\n[DECEA3]- Drunken Master[-]\n\n[DECEA3]Kill 8 strippers and 2 bikers with melee weapons. The character must not have any equipment.[-]",「私はいつも言ってきた： - 人々は医療や警察と同じくらいストリップクラブを必要としている。幼い頃、その中の一つに迷い込んだことを覚えています。まあ、そこのひよこは何か特別でした。私は少し飲んで、彼らと一緒に踊ることにしました。そこで私は服を脱いでそのうちの1人を訪ねました。そして、その瞬間の暑さの中でも、そのうちの1人が巨大な装置を準備していることに気づきました。彼らは交換留学中のベトナム人の「学生」であり、パートタイムで働いていることが判明しました...ひどい。まあ、一般的に、地元の警備員はすぐに私をそのまま通りに放り出しました。\nそのクラブは汚染地帯の中心にありましたが、これらの生き物はずっと前にその地域の周りに分散しました。一般的には、彼らの番組を見たくないでしょう。見つけた者は誰でも殺してください。そうすれば借金は残りません。»\n\n[DECEA3]- 酔っぱらいの達人[-]\n\n[DECEA3]ストリッパー 8 名とバイカー 2 名を近接武器で倒す。キャラクターはいかなる装備も着用してはなりません。[-]
Quest_StupidBet5Name,Quest,Quest Info,,[FF8000]Stupid Bet:[-] Traces around the bathhouse,[FF8000]愚かな賭け:[-] 浴場の周りの痕跡
Quest_StupidBet5Offer,Quest,Quest Info,,"«We went to a friend's forest house to hunt. It was winter outside, freezing. We drank a little and decided to heat up the bathhouse and warm up first. I went to the bathhouse and saw tracks around it. And in the deep snow you can't see whose they were, so I went to see what kind of guests we had. As a result, I go to the corner, and there is a huge bear rubbing against a tree. There was no point in running, they are aggressive in winter. Well, it was lucky that I took a machete with me to chop wood for shavings. We cut him up right there. No matter who I tell, no one believes me. I bet you would have immediately run away from such a guest.»\n\n[DECEA3]- Drunken Master[-]\n\n[DECEA3]Kill [DECEA3]5[-] bears in winter in the snow, with a melee weapon. The character must not have shoes.[-]",「私たちは友人の森の家に狩りに行きました。外は冬で、凍えていました。少し飲んだので、まずは銭湯を沸かして体を温めることにしました。銭湯に行くと、その周りに足跡が見えました。そして深い雪の中では誰だかわからないので、どんなゲストがいるのかを見に行きました。その結果、角に行くと、大きなクマが木にこすれています。冬は攻撃的ですから、走っても意味がありませんでした。まあ、削りくず用の木を切るためにナタを持って行ったのは幸運でした。私たちは彼をその場で切り裂いた。誰に話しても誰も信じてくれません。きっとあなたならそんな客からすぐに逃げただろう。»\n\n[DECEA3]- 酔っぱらいの達人[-]\n\n[DECEA3]冬の雪の中、近接武器を使って[DECEA3]5[-]のクマを倒す。キャラクターは靴を履いてはいけません。[-]
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->,,,,,
<!-- Rare contracts -->,,,,,
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->,,,,,
Ingredients_HealthT1,items,questItem,,[D1D5FF]Ingredients:[-] Small Health Reserve,[D1D5FF]材料:[-] 少量の体力予備力
RareCont_HealthT1,items,questItem,,[D1D5FF]Rare Contract:[-] Small Health Reserve,[D1D5FF]レア契約：[-] 少量の健康予備力
RareCont_HealthT1Desc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Low Health\n\nBy completing the contract, you will permanently receive a [DECEA3]1[-] bonus to your health.",[D1D5FF]レア契約を開始します:[-] 体力が低い\n\n契約を完了すると、健康に[DECEA3]1[-]のボーナスを永続的に受け取ることができます。
Ingredients_HealthT2,items,questItem,,[D1D5FF]Ingredients:[-] Medium Health Reserve,[D1D5FF]材料:[-] 中程度の体力の蓄え
RareCont_HealthT2,items,questItem,,[D1D5FF]Rare Contract:[-] Medium Health Reserve,[D1D5FF]レア契約：[-] 中体力予備力
RareCont_HealthT2Desc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Average Health\n\nBy completing the contract, you will permanently receive a [DECEA3]5[-] bonus to your health.",[D1D5FF]レア契約:[-] 平均体力の開始\n\n契約を完了すると、永久に体力に[DECEA3]5[-]のボーナスを受け取ります。
Ingredients_HealthT3,items,questItem,,[D1D5FF]Ingredients:[-] Large Health Reserve,[D1D5FF]材料:[-] 大量の体力の蓄え
RareCont_HealthT3,items,questItem,,[D1D5FF]Rare Contract:[-] Large Health Reserve,[D1D5FF]レア契約：[-] 大量の健康予備力
RareCont_HealthT3Desc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Large Health\n\nBy completing the contract, you will permanently receive a [DECEA3]10[-] bonus to your health.",[D1D5FF]レア契約を開始:[-] 大きな体力\n\n契約を完了すると、永久に体力に[DECEA3]10[-]のボーナスを受け取ります。
Ingredients_StaminaT1,items,questItem,,[D1D5FF]Ingredients:[-] Small Stamina Reserve,[D1D5FF]材料:[-] 少量のスタミナ蓄え
RareCont_StaminaT1,items,questItem,,[D1D5FF]Rare Contract:[-] Small Stamina Reserve,[D1D5FF]レア契約：[-] スタミナ予備量が少ない
RareCont_StaminaT1Desc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Low Stamina\n\nBy completing the contract, you will permanently receive a [DECEA3]1[-] bonus to your stamina.",[D1D5FF]レア契約の開始：[-]スタミナが低い\n\n契約を完了すると、スタミナに[DECEA3]1[-]のボーナスを永続的に受け取ることができます。
Ingredients_StaminaT2,items,questItem,,[D1D5FF]Ingredients:[-] Medium Stamina Reserve,[D1D5FF]材料:[-] 中スタミナ蓄え
RareCont_StaminaT2,items,questItem,,[D1D5FF]Rare Contract:[-] Medium Stamina Reserve,[D1D5FF]レア契約：[-]中スタミナ予備力
RareCont_StaminaT2Desc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Average Stamina\n\nBy completing the contract, you will permanently receive a [DECEA3]5[-] bonus to your stamina.",[D1D5FF]レア契約の開始:[-] 平均スタミナ\n\n契約を完了すると、スタミナに[DECEA3]5[-]のボーナスを永続的に受け取ることができます。
Ingredients_StaminaT3,items,questItem,,[D1D5FF]Ingredients:[-] Large Stamina,[D1D5FF]材料:[-] 大きなスタミナ
RareCont_StaminaT3,items,questItem,,[D1D5FF]Rare Contract:[-] Large Stamina,[D1D5FF]レア契約：[-] 大きなスタミナ
RareCont_StaminaT3Desc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Large Stamina\n\nBy completing the contract, you will permanently receive a [DECEA3]10[-] bonus to your stamina.",[D1D5FF]レア契約の開始：[-] 大きなスタミナ\n\n契約を完了すると、スタミナに[DECEA3]10[-]のボーナスを永続的に受け取ることができます。
Ingredients_JumpStrength,items,questItem,,[D1D5FF]Ingredients:[-] Jump Strength,[D1D5FF]材料:[-] ジャンプ力
RareCont_JumpStrength,items,questItem,,[D1D5FF]Rare Contract:[-] Jump Strength,[D1D5FF]レア契約：[-] ジャンプ力
RareCont_JumpStrengthDesc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Jump Strength\n\nBy completing the contract, you will permanently receive a [DECEA3]5%[-] bonus to your jump strength.",[D1D5FF]レア契約:[-]ジャンプ力を開始します\n\n契約を完了すると、ジャンプ力に[DECEA3]5%[-]のボーナスを永続的に受け取ることができます。
Ingredients_Mobility,items,questItem,,[D1D5FF]Ingredients:[-] Mobility,[D1D5FF]材料:[-] 機動性
RareCont_Mobility,items,questItem,,[D1D5FF]Rare Contract:[-] Mobility,[D1D5FF]レア契約：[-] 機動性
RareCont_MobilityDesc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Mobility\n\nBy completing the contract, you will permanently receive a [DECEA3]1%[-] bonus to your mobility.",[D1D5FF]レア契約:[-]機動力を開始します\n\n契約を完了すると、機動力に[DECEA3]1%[-]のボーナスを永続的に受け取ることができます。
Ingredients_HiddenStrike,items,questItem,,[D1D5FF]Ingredients:[-] Hidden Strike,[D1D5FF]材料:[-] ヒドゥンストライク
RareCont_HiddenStrike,items,questItem,,[D1D5FF]Rare Contract:[-] Hidden Strike,[D1D5FF]レア契約：[-] ヒドゥンストライク
RareCont_HiddenStrikeDesc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Hidden Strike\n\nBy completing the contract, you will permanently receive a [DECEA3]10%[-] stealth damage bonus.",[D1D5FF]レア契約:[-] ヒドゥン ストライクを開始します\n\n契約を完了すると、[DECEA3]10%[-]のステルス ダメージ ボーナスを永続的に受け取ることができます。
Elixir_Damage_Forest,items,questItem,,[DECEA3]Elixir:[-] Damage in the forest,[DECEA3]エリクサー：[-] 森のダメージ
Elixir_Damage_ForestDesc,items,questItem,,"When used, permanently increases damage bonus in the forest by [DECEA3]1%[-].",使用すると、森林内のダメージボーナスが永続的に[DECEA3]1%[-]増加します。
Ingredients_Damage_Forest,items,questItem,,[D1D5FF]Ingredients:[-] Damage in the forest,[D1D5FF]材料:[-] 森のダメージ
RareCont_Damage_Forest,items,questItem,,[D1D5FF]Rare Contract:[-] Damage in the forest,[D1D5FF]レア契約：[-] 森のダメージ
RareCont_Damage_ForestDesc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Damage in the forest\n\nBy completing the contract, you will permanently receive a [DECEA3]1%[-] bonus to damage in the forest.",[D1D5FF]レア契約を開始します:[-] 森でのダメージ\n\n契約を完了すると、森でのダメージに対して[DECEA3]1%[-]のボーナスを永続的に受け取ることができます。
Quest_RareCont_Damage_ForestName,Quest,Quest Info,,[D1D5FF]Rare Contract:[-] Damage in the forest,[D1D5FF]レア契約：[-] 森のダメージ
Quest_RareCont_Damage_ForestOffer,Quest,Quest Info,,"«Once you know the area well, you'll be able to deal more damage to any creature.\nKill [DECEA3]any zombies[-] while in the forest and collect the necessary ingredients. Then I can create an elixir that will increase damage in the forest by [DECEA3]1%[-].\n\nJust keep in mind that you should only hunt them in the forest.»\n\n[DECEA3]- Leshy[-]",«エリアをよく理解すると、どんな生き物にもより多くのダメージを与えることができるようになります。\n森にいる間に[DECEA3]ゾンビ[-]を倒し、必要な材料を集めてください。そうすれば、森でのダメージを [DECEA3]1%[-]増加させるエリクサーを作成できます。\n\n彼らを狩るのは森の中でだけにしてください。»\n\n[DECEA3]- レシー[-]
Elixir_Damage_BurntForest,items,questItem,,[DECEA3]Elixir:[-] Damage in the burnt forest,[DECEA3]エリクサー：[-] 焼けた森のダメージ
Elixir_Damage_BurntForestDesc,items,questItem,,"When used, permanently increases damage bonus in the burnt forest by [DECEA3]1%[-].",使用すると、焼けた森のダメージボーナスが永続的に[DECEA3]1%[-]増加します。
Ingredients_Damage_BurntForest,items,questItem,,[D1D5FF]Ingredients:[-] Damage in the burnt forest,[D1D5FF]材料:[-] 焼けた森のダメージ
RareCont_Damage_BurntForest,items,questItem,,[D1D5FF]Rare Contract:[-] Damage in the burnt forest,[D1D5FF]レア契約：[-] 焼けた森のダメージ
RareCont_Damage_BurntForestDesc,items,questItem,,"Launches [D1D5FF]Rare Contract:[-] Damage in the burnt forest\n\nBy completing the contract, you will permanently receive a [DECEA3]1%[-] bonus to damage in the burnt forest.",[D1D5FF]レア契約の開始：[-] 焼けた森のダメージ\n\n契約を完了すると、焼けた森のダメージに対して[DECEA3]1%[-]のボーナスを永続的に受け取ることができます。
