Key,Source,Context,Changes,English,Spanish
donateRogueBundleDesc,items,Item,,Contains a full set of [8692FF]«Rogue»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Rogue»[-] improved armor (tier 6).
donateEnforcerBundle,items,Item,,Armor bundle: [8692FF]«Enforcer»[-],Armor bundle: [8692FF]«Enforcer»[-]
donateEnforcerBundleDesc,items,Item,,Contains a full set of [8692FF]«Enforcer»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Enforcer»[-] improved armor (tier 6).
donateRangerBundle,items,Item,,Armor bundle: [8692FF]«Ranger»[-],Armor bundle: [8692FF]«Ranger»[-]
donateRangerBundleDesc,items,Item,,Contains a full set of [8692FF]«Ranger»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Ranger»[-] improved armor (tier 6).
donateCommandoBundle,items,Item,,Armor bundle: [8692FF]«Commando»[-],Armor bundle: [8692FF]«Commando»[-]
donateCommandoBundleDesc,items,Item,,Contains a full set of [8692FF]«Commando»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Commando»[-] improved armor (tier 6).
donateAssassinBundle,items,Item,,Armor bundle: [8692FF]«Assassin»[-],Armor bundle: [8692FF]«Assassin»[-]
donateAssassinBundleDesc,items,Item,,Contains a full set of [8692FF]«Assassin»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Assassin»[-] improved armor (tier 6).
donateGathererBundle,items,Item,,Armor bundle: [8692FF]«Gatherer»[-],Armor bundle: [8692FF]«Gatherer»[-]
donateGathererBundleDesc,items,Item,,Contains a full set of [8692FF]«Gatherer»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Gatherer»[-] improved armor (tier 6).
donateNomadBundle,items,Item,,Armor bundle: [8692FF]«Nomad»[-],Armor bundle: [8692FF]«Nomad»[-]
donateNomadBundleDesc,items,Item,,Contains a full set of [8692FF]«Nomad»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Nomad»[-] improved armor (tier 6).
donateNerdBundle,items,Item,,Armor bundle: [8692FF]«Nerd»[-],Armor bundle: [8692FF]«Nerd»[-]
donateNerdBundleDesc,items,Item,,Contains a full set of [8692FF]«Nerd»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Nerd»[-] improved armor (tier 6).
donateRaiderBundle,items,Item,,Armor bundle: [8692FF]«Raider»[-],Armor bundle: [8692FF]«Raider»[-]
donateRaiderBundleDesc,items,Item,,Contains a full set of [8692FF]«Raider»[-] improved armor (tier 6).,Contains a full set of [8692FF]«Raider»[-] improved armor (tier 6).
donateRadProtectBundle,items,Item,,Mods bundle: [FFB800]«Defender Z»[-],Mods bundle: [FFB800]«Defender Z»[-]
donateRadProtectBundleDesc,items,Item,,Contains [DECEA3]4[-] modifications of the [FFB800]«Defender Z»[-] set.,Contains [DECEA3]4[-] modifications of the [FFB800]«Defender Z»[-] set.
donateRadProtectPrimBundle,items,Item,,Mods bundle: «RadProtect»,Mods bundle: «RadProtect»
donateRadProtectPrimBundleDesc,items,Item,,Contains [DECEA3]4[-] radiation protection modifications.,Contains [DECEA3]4[-] radiation protection modifications.
donateLSSBundle,items,Item,,Mods bundle: «LSS-1»,Mods bundle: «LSS-1»
donateLSSBundleDesc,items,Item,,Contains [DECEA3]4[-] modifications of the experimental life support system.,Contains [DECEA3]4[-] modifications of the experimental life support system.
donateMotoBundle,items,Item,,Motorcycle bundle,Motorcycle bundle
donateMotoBundleDesc,items,Item,,The set includes a motorcycle and [DECEA3]5000[-] fuel reserves.,The set includes a motorcycle and [DECEA3]5000[-] fuel reserves.
donate4x4Bundle,items,Item,,4x4 truck bundle,4x4 truck bundle
donate4x4BundleDesc,items,Item,,The set includes a 4x4 truck and [DECEA3]10000[-] fuel reserves.,The set includes a 4x4 truck and [DECEA3]10000[-] fuel reserves.
donateGyrocopterBundle,items,Item,,Gyrocopter bundle,Gyrocopter bundle
donateGyrocopterBundleDesc,items,Item,,The set includes a gyrocopter and [DECEA3]15000[-] fuel reserves.,The set includes a gyrocopter and [DECEA3]15000[-] fuel reserves.
lblCategoryDonateBooks,UI,Tooltip,,Books and magazines,Books and magazines
lblCategoryDonateWeapons,UI,Tooltip,,Firearms,Firearms
lblCategoryDonateAmmo,UI,Tooltip,,Ammunition,Ammunition
lblCategoryDonateMelee,UI,Tooltip,,Melee weapons,Melee weapons
lblCategoryDonateTools,UI,Tooltip,,Tools and stations,Tools and stations
lblCategoryDonateArmor,UI,Tooltip,,Armor and protection,Armor and protection
lblCategoryDonateVehicle,UI,Tooltip,,Vehicles,Vehicles
lblCategoryDonateFood,UI,Tooltip,,Food and elixirs,Food and elixirs

===
=== Z_EliteZombies ===
===


zombieDemolitionElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Demolition,[A7FF9F]ÉLITE[-] Demoledor
zombieDemolitionInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Demolition,[FF9E7B]ÉLITE INFERNAL[-] Demoledor
zombieFemaleFatElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Big Mama,[A7FF9F]ÉLITE[-] Gran Mamá
zombieFemaleFatChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Big Mama,[71FFFF]ÉLITE CARGADA[-] Gran Mamá
zombieFemaleFatInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Big Mama,[FF9E7B]ÉLITE INFERNAL[-] Gran Mamá
zombieFatHawaiianElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Tourist,[A7FF9F]ÉLITE[-] Turista
zombieFatHawaiianChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Tourist,[71FFFF]ÉLITE CARGADA[-] Turista
zombieFatHawaiianInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Tourist,[FF9E7B]ÉLITE INFERNAL[-] Turista
zombieCopElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Cop,[A7FF9F]ÉLITE[-] Policía
zombieCopChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Cop,[71FFFF]ÉLITE CARGADA[-] Policía
zombieCopInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Cop,[FF9E7B]ÉLITE INFERNAL[-] Policía
zombieWightElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Wight,[A7FF9F]ÉLITE[-] Espectro
zombieWightChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Wight,[71FFFF]ÉLITE CARGADA[-] Espectro
zombieWightInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Wight,[FF9E7B]ÉLITE INFERNAL[-] Espectro
zombieSoldierElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Soldier,[A7FF9F]ÉLITE[-] Soldado
zombieSoldierChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Soldier,[71FFFF]ÉLITE CARGADA[-] Soldado
zombieSoldierInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Soldier,[FF9E7B]ÉLITE INFERNAL[-] Soldado
zombieSkaterElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Skater,[A7FF9F]ÉLITE[-] Patinador
zombieSkaterChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Skater,[71FFFF]ÉLITE CARGADA[-] Patinador
zombieSkaterInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Skater,[FF9E7B]ÉLITE INFERNAL[-] Patinador
zombieBikerElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Biker,[A7FF9F]ÉLITE[-] Motociclista
zombieBikerChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Biker,[71FFFF]ÉLITE CARGADA[-] Motociclista
zombieBikerInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Biker,[FF9E7B]ÉLITE INFERNAL[-] Motociclista
zombieHazmatElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Hazmat,[A7FF9F]ÉLITE[-] Hazmat
zombieHazmatChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Hazmat,[71FFFF]ÉLITE CARGADA[-] Hazmat
zombieHazmatInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Hazmat,[FF9E7B]ÉLITE INFERNAL[-] Hazmat
zombieLumberjackElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Lumberjack,[A7FF9F]ÉLITE[-] Leñador
zombieLumberjackChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Lumberjack,[71FFFF]ÉLITE CARGADA[-] Leñador
zombieLumberjackInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Lumberjack,[FF9E7B]ÉLITE INFERNAL[-] Leñador
zombieMoeElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Moe,[A7FF9F]ÉLITE[-] Moe
zombieMoeChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Moe,[71FFFF]ÉLITE CARGADA[-] Moe
zombieMoeInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Moe,[FF9E7B]ÉLITE INFERNAL[-] Moe
zombieUtilityWorkerElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Worker,[A7FF9F]ÉLITE[-] Trabajador de servicios
zombieUtilityWorkerChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Worker,[71FFFF]ÉLITE CARGADA[-] Trabajador de servicios
zombieUtilityWorkerInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Worker,[FF9E7B]ÉLITE INFERNAL[-] Trabajador de servicios
zombieMarleneElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Marlene,[A7FF9F]ÉLITE[-] Marlene
zombieMarleneChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Marlene,[71FFFF]ÉLITE CARGADA[-] Marlene
zombieMarleneInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Marlene,[FF9E7B]ÉLITE INFERNAL[-] Marlene
zombieSpiderElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Spider,[A7FF9F]ÉLITE[-] Araña
zombieSpiderChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Spider,[71FFFF]ÉLITE CARGADA[-] Araña
zombieSpiderInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Spider,[FF9E7B]ÉLITE INFERNAL[-] Araña
zombieBoeElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Boe,[A7FF9F]ÉLITE[-] Boe
zombieBoeChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Boe,[71FFFF]ÉLITE CARGADA[-] Boe
zombieBoeInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Boe,[FF9E7B]ÉLITE INFERNAL[-] Boe
zombieDarleneElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Darlene,[A7FF9F]ÉLITE[-] Darlene
zombieDarleneChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Darlene,[71FFFF]ÉLITE CARGADA[-] Darlene
zombieDarleneInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Darlene,[FF9E7B]ÉLITE INFERNAL[-] Darlene
zombieJoeElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Joe,[A7FF9F]ÉLITE[-] Joe
zombieJoeChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Joe,[71FFFF]ÉLITE CARGADA[-] Joe
zombieJoeInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Joe,[FF9E7B]ÉLITE INFERNAL[-] Joe
zombieSteveElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Steve,[A7FF9F]ÉLITE[-] Steve
zombieSteveChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Steve,[71FFFF]ÉLITE CARGADA[-] Steve
zombieSteveInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Steve,[FF9E7B]ÉLITE INFERNAL[-] Steve
zombieYoElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Yo,[A7FF9F]ÉLITE[-] Yo
zombieYoChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Yo,[71FFFF]ÉLITE CARGADA[-] Yo
zombieYoInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Yo,[FF9E7B]ÉLITE INFERNAL[-] Yo
zombieNurseElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Nurse,[A7FF9F]ÉLITE[-] Enfermera
zombieNurseChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Nurse,[71FFFF]ÉLITE CARGADA[-] Enfermera
zombieNurseInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Nurse,[FF9E7B]ÉLITE INFERNAL[-] Enfermera
zombiePartyGirlElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Party Girl,[A7FF9F]ÉLITE[-] Chica fiestera
zombiePartyGirlChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Party Girl,[71FFFF]ÉLITE CARGADA[-] Chica fiestera
zombiePartyGirlInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Party Girl,[FF9E7B]ÉLITE INFERNAL[-] Chica fiestera
zombieLabElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Lab Worker,[A7FF9F]ÉLITE[-] Trabajador de laboratorio
zombieLabChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Lab Worker,[71FFFF]ÉLITE CARGADA[-] Trabajador de laboratorio
zombieLabInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Lab Worker,[FF9E7B]ÉLITE INFERNAL[-] Trabajador de laboratorio
zombieTomClarkElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Tom Clark,[A7FF9F]ÉLITE[-] Tom Clark
zombieTomClarkChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Tom Clark,[71FFFF]ÉLITE CARGADA[-] Tom Clark
zombieTomClarkInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Tom Clark,[FF9E7B]ÉLITE INFERNAL[-] Tom Clark
zombieJanitorElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Janitor,[A7FF9F]ÉLITE[-] Conserje
zombieJanitorChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Janitor,[71FFFF]ÉLITE CARGADA[-] Conserje
zombieJanitorInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Janitor,[FF9E7B]ÉLITE INFERNAL[-] Conserje
zombieBurntElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Burnt,[A7FF9F]ÉLITE[-] Zombi quemado
zombieBurntChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Burnt,[71FFFF]ÉLITE CARGADA[-] Zombi quemado
zombieBurntInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Burnt,[FF9E7B]ÉLITE INFERNAL[-] Zombi quemado
zombieBusinessManElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Businessman,[A7FF9F]ÉLITE[-] Empresario
zombieBusinessManChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Businessman,[71FFFF]ÉLITE CARGADA[-] Empresario
zombieBusinessManInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Businessman,[FF9E7B]ÉLITE INFERNAL[-] Empresario
zombieInmateElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Inmate,[A7FF9F]ÉLITE[-] Recluso
zombieInmateChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Inmate,[71FFFF]ÉLITE CARGADA[-] Recluso
zombieInmateInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Inmate,[FF9E7B]ÉLITE INFERNAL[-] Recluso

===
=== Z_FearAndFatigue ===
===


statHygiene,ui_display,Item stat,,Hygiene,Higiene
Napkin,items,Medical,,Napkin,Servilleta
NapkinDesc,items,Medical,,This can wipe away a little dirt and blood from your face and hands. Better than nothing.\n\n[DECEA3]Interacting with a body of water allows you to create wet wipes.[-],Esto puede limpiar un poco de suciedad y sangre de la cara y las manos. Mejor que nada.\n\n[DECEA3]Interactuar con una masa de agua permite crear toallitas húmedas.[-]
WetNapkin,items,Medical,,Wet Wipe,Toallita húmeda
WetNapkinDesc,items,Medical,,"This won't replace a good shower or bath, but it will still allow you to remove dirt from your body and equipment.\n\n[DECEA3]It is possible to clean dirt from other players.[-]","Esto no sustituirá una buena ducha o baño, pero aun así te permitirá eliminar la suciedad de tu cuerpo y equipo.\n\n[DECEA3]Es posible limpiar la suciedad de otros jugadores.[-]"
drugSteroidsDesc,items,Medical,,"Steroids decrease encumbrance, allowing you to carry more items, and allow you to run faster. They also allow you to move and perform actions normally when you have a sprained or broken limb. They also reduce reserve of strength consumption by 50%.","Los esteroides reducen la sobrecarga, lo que te permite llevar más objetos y correr más rápido. También te permiten moverte y realizar tareas con normalidad, aunque tengas una torcedura o un hueso roto. Además, reducen el consumo de reservas de energía en un 50%."
Rest,buffs,Buff,,Rest,Descanso
buffSmallHomeName,buffs,buff,,Rest on a sleeping bag,Descanso en saco de dormir
buffSmallHomeTooltip,buffs,buff,,You are resting on a sleeping bag,Estás descansando en un saco de dormir.
buffSmallHomeIncDesc,buffs,Buff,,"Sure, a camp bed is not always comfortable, but it is still better than sleeping on bare asphalt.\nYou restore a small amount of Strength Reserve and Stress Resistance.","Sí, una cama de campamento no siempre es cómoda, pero aun así es mejor que dormir sobre el asfalto desnudo.\nRestauras una pequeña cantidad de Reserva de fuerza y Resistencia al estrés."
buffMediumHomeName,buffs,buff,,Rest on a mattress,Descanso en colchón
buffMediumHomeTooltip,buffs,buff,,You are resting on a comfortable mattress,Estás descansando en un colchón cómodo.
buffMediumHomeIncDesc,buffs,Buff,,"On a comfortable mattress, sleep comes much easier. Just do not sleep through the horde.\nYou restore an average amount of Strength Reserve and Stress Resistance.","En un colchón cómodo, dormir resulta mucho más fácil. Lo importante es no quedarse dormido cuando llegue la horda.\nRestauras una cantidad media de Reserva de fuerza y Resistencia al estrés."
buffBigHomeName,buffs,buff,,Rest on a comfortable bed,Descanso en cama cómoda
buffBigHomeTooltip,buffs,buff,,You are resting on a comfortable bed,Estás descansando en una cama cómoda.
buffBigHomeIncDesc,buffs,Buff,,"A good night's sleep in a comfortable bed can solve almost any problem. At the very least, it helps you forget about them for a while.\nYou restore a large amount of Strength Reserve and Stress Resistance.","Una buena noche de sueño en una cama cómoda puede resolver casi cualquier problema. Como mínimo, te ayuda a olvidarte de ellos por un rato.\nRestauras una gran cantidad de Reserva de fuerza y Resistencia al estrés."
buffNewbieCoatDesc,buffs,Buff,,"There is no XP penalty on death. Also, Strength Reserve and Stress Resistance are consumed [DECEA3]2 times[-] more slowly, while their recovery rate is increased.\n\nThis protection gradually fades and disappears at [DECEA3]10[-] level.","No hay penalización de XP al morir. Además, la Reserva de fuerza y la Resistencia al estrés se consumen [DECEA3]2 veces[-] más lentamente, mientras que su velocidad de recuperación aumenta.\n\nEsta protección se debilita gradualmente y desaparece en el nivel [DECEA3]10[-]."
buffNewbieCoatName,buffs,Buff,,Death XP Penalty Protection,Protección contra penalización de XP por muerte
buffFatigueWeakName,buffs,buff,,Slightly Fatigued,Ligeramente fatigado
buffFatigueWeakTooltip,buffs,buff,,You are feeling slightly fatigued,Te sientes ligeramente fatigado
buffFatigueWeakIncDesc,buffs,Buff,,"Your recent activities have affected your Strength Reserve. You are feeling slightly fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]5%[-]. Your carrying capacity has also been reduced by [DECEA3]3[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Strength Reserve regeneration.","Tus actividades recientes han afectado tu Reserva de fuerza. Te sientes ligeramente fatigado.\nTu regeneración de resistencia y movilidad se han reducido en un [DECEA3]5%[-]. Tu capacidad de carga también se ha reducido en [DECEA3]3[-].\n\nQuédate quieto y descansa un poco. Descansar en un saco de dormir o cama, así como los efectos de regeneración de comida y agua, aumentan significativamente la regeneración de tu Reserva de fuerza."
buffFatigueModerateName,buffs,buff,,Moderately fatigued,Fatiga moderada
buffFatigueModerateTooltip,buffs,buff,,You are feeling moderately fatigued,Te sientes moderadamente fatigado
buffFatigueModerateIncDesc,buffs,Buff,,"Your Strength Reserve has been significantly reduced. You are feeling moderately fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]10%[-]. Your carrying capacity has also been reduced by [DECEA3]6[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Strength Reserve regeneration.","Tu Reserva de fuerza se ha reducido significativamente. Te sientes moderadamente fatigado.\nTu regeneración de resistencia y movilidad se han reducido en un [DECEA3]10%[-]. Tu capacidad de carga también se ha reducido en [DECEA3]6[-].\n\nQuédate quieto y descansa un poco. Descansar en un saco de dormir o cama, así como los efectos de regeneración de comida y agua, aumentan significativamente la regeneración de tu Reserva de fuerza."
buffFatigueSevereName,buffs,buff,,Severely fatigued,Fatiga severa
buffFatigueSevereTooltip,buffs,buff,,You are feeling severely fatigued,Te sientes severamente fatigado
buffFatigueSevereIncDesc,buffs,Buff,,"There is almost no Strength Reserve left, and you are literally collapsing from exhaustion. You are feeling severely fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]20%[-]. Your carrying capacity has also been reduced by [DECEA3]9[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Strength Reserve regeneration.\n\nBe careful: if your Strength Reserve drops below [DECEA3]5%[-], jumping or trying to run can knock you off your feet.","Casi no queda Reserva de fuerza y literalmente te desplomas del cansancio. Te sientes severamente fatigado.\nTu regeneración de resistencia y movilidad se han reducido en un [DECEA3]20%[-]. Tu capacidad de carga también se ha reducido en [DECEA3]9[-].\n\nQuédate quieto y descansa un poco. Descansar en un saco de dormir o cama, así como los efectos de regeneración de comida y agua, aumentan significativamente la regeneración de tu Reserva de fuerza.\n\nTen cuidado: si tu Reserva de fuerza cae por debajo de [DECEA3]5%[-], saltar o intentar correr puede derribarte."
buffStressWeakName,buffs,buff,,Slightly stressed,Estrés leve
buffStressWeakTooltip,buffs,buff,,You are feeling slightly stressed,Te sientes ligeramente estresado
buffStressWeakIncDesc,buffs,Buff,,"The atmosphere around you affects your psyche. You experience mild stress.\nDamage dealt to enemies in melee combat and loot quality are reduced by [DECEA3]10%[-]. Also, weapon spread and food and water consumption increase by [DECEA3]10%[-].\n\nThe indicator decreases at night and is restored during the day. If there are no enemies within a radius of [DECEA3]25[-] meters, you will be able to restore your Stress Resistance. Drinking any alcohol or eating candy, as well as killing zombies, increases this indicator. Also, being on a sleeping bag or bed significantly increases the amount restored.","La atmósfera que te rodea afecta tu psique. Experimentas un estrés leve.\nEl daño a los enemigos en combate cuerpo a cuerpo y la calidad del botín se reducen en un [DECEA3]10%[-]. Además, la dispersión de cualquier arma y el consumo de comida y agua aumentan en un [DECEA3]10%[-].\n\nEl indicador disminuye por la noche y se restaura durante el día. Si no hay enemigos en un radio de [DECEA3]25[-] metros, podrás restaurar tu Resistencia al estrés. Beber cualquier alcohol o comer caramelos, así como matar zombis, aumenta este indicador. Además, estar en un saco de dormir o cama aumenta significativamente la cantidad restaurada."
buffStressModerateName,buffs,buff,,Moderate stress,Estrés moderado
buffStressModerateTooltip,buffs,buff,,You are feeling moderately stressed,Te sientes moderadamente estresado
buffStressModerateIncDesc,buffs,Buff,,"You experience moderate stress.\nDamage dealt to enemies in melee combat and loot quality are reduced by [DECEA3]25%[-]. Also, weapon spread and food and water consumption increase by [DECEA3]25%[-].\n\nThe indicator decreases at night and is restored during the day. If there are no enemies within a radius of [DECEA3]25[-] meters, you will be able to restore your Stress Resistance. Drinking any alcohol or eating candy, as well as killing zombies, increases this indicator. Also, being on a sleeping bag or bed significantly increases the amount restored.","Experimentas un estrés moderado.\nEl daño a los enemigos en combate cuerpo a cuerpo y la calidad del botín se reducen en un [DECEA3]25%[-]. Además, la dispersión de cualquier arma y el consumo de comida y agua aumentan en un [DECEA3]25%[-].\n\nEl indicador disminuye por la noche y se restaura durante el día. Si no hay enemigos en un radio de [DECEA3]25[-] metros, podrás restaurar tu Resistencia al estrés. Beber cualquier alcohol o comer caramelos, así como matar zombis, aumenta este indicador. Además, estar en un saco de dormir o cama aumenta significativamente la cantidad restaurada."
buffStressSevereName,buffs,buff,,Severe stress,Estrés severo
buffStressSevereTooltip,buffs,buff,,You are feeling severely stressed,Te sientes severamente estresado
buffStressSevereIncDesc,buffs,Buff,,"You are experiencing a panic attack and are under severe stress.\nDamage dealt to enemies in melee combat and loot quality are reduced by [DECEA3]50%[-]. Also, weapon spread and food and water consumption increase by [DECEA3]50%[-].\n\nThe indicator decreases at night and is restored during the day. If there are no enemies within a radius of [DECEA3]25[-] meters, you will be able to restore your Stress Resistance. Drinking any alcohol or eating candy, as well as killing zombies, increases this indicator. Also, being on a sleeping bag or bed significantly increases the amount restored.\n\nBe careful: if your Stress Resistance drops below [DECEA3]5%[-], there is a chance every second that you will lose control.","Estás experimentando un ataque de pánico y estás bajo un estrés severo.\nEl daño a los enemigos en combate cuerpo a cuerpo y la calidad del botín se reducen en un [DECEA3]50%[-]. Además, la dispersión de cualquier arma y el consumo de comida y agua aumentan en un [DECEA3]50%[-].\n\nEl indicador disminuye por la noche y se restaura durante el día. Si no hay enemigos en un radio de [DECEA3]25[-] metros, podrás restaurar tu Resistencia al estrés. Beber cualquier alcohol o comer caramelos, así como matar zombis, aumenta este indicador. Además, estar en un saco de dormir o cama aumenta significativamente la cantidad restaurada.\n\nTen cuidado: si tu Resistencia al estrés cae por debajo de [DECEA3]5%[-], cada segundo existe la posibilidad de que pierdas el control."
buffHygieneWeakName,buffs,buff,,Slightly unhygiene,Antihigiénico leve
buffHygieneWeakTooltip,buffs,buff,,Your hygiene is lower than usual,Tu higiene es menor de lo habitual
buffHygieneWeakIncDesc,buffs,Buff,,"You seem a little dirty. Your hygiene is lower than usual.\nThe recovery rate of critical wounds and the duration of positive effects have been reduced by [DECEA3]5%[-]. Also, the chance of becoming infected when attacked by zombies or animals has been increased by [DECEA3]15%[-]. This slightly reduces your stress tolerance.\n\n[DECEA3]Wash yourself in a body of water or take a bath. Using wipes or wet wipes will also help restore hygiene.[-]","Pareces un poco sucio. Tu higiene es menor de lo habitual.\nLa tasa de recuperación de heridas críticas y la duración de los efectos positivos se han reducido en un [DECEA3]5%[-]. Además, la probabilidad de infectarse al ser atacado por zombis o animales ha aumentado en un [DECEA3]15%[-]. Esto reduce ligeramente tu tolerancia al estrés.\n\n[DECEA3]Lávese en un cuerpo de agua o tome un baño. Usar toallitas húmedas también ayudará a restablecer la higiene.[-]"
buffHygieneModerateName,buffs,buff,,Moderate unhygiene,Antihigiénico moderado
buffHygieneModerateTooltip,buffs,buff,,Your hygiene leaves much to be desired,Tu higiene deja mucho que desear
