Key,Source,Context,Changes,English,Russian
perkLockPickingRank2LongDesc,progression,perk Per,,"You've now become a locksmith. There are few locks in the world that can hold you back. You can pick locks [DECEA3]30%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]20%[-]. If you can find lockpicks in your loot, you'll find one more. Damage to safes is increased by [DECEA3]20%[-].","Теперь вы стали взломщиком. Мало найдётся в мире замков, которые вас удержат. Вы можете на [DECEA3]30%[-] быстрее взламывать замки, а вероятность сломать отмычку снижена на [DECEA3]20%[-]. Если в добыче можно найти отмычки, то вы найдёте на [DECEA3]1[-] больше. Урон по сейфам увеличен на [DECEA3]20%[-]."
perkLockPickingRank3LongDesc,progression,perk Per,,"You are now a professional safecracker. You can pick locks [DECEA3]45%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]30%[-]. If you can find lockpicks in your loot, you'll find two more. Damage to safes is increased by [DECEA3]30%[-].","Теперь вы профессиональный взломщик сейфов. Вы можете на [DECEA3]45%[-] быстрее взламывать замки, а вероятность сломать отмычку снижена на [DECEA3]30%[-]. Если в добыче можно найти отмычки, то вы найдёте на [DECEA3]2[-] больше. Урон по сейфам увеличен на [DECEA3]30%[-]."
perkLockPickingRank4Desc,progression,perk Per,,Robber,Грабитель
perkLockPickingRank4LongDesc,progression,perk Per,,"You could rob any bank. You can pick locks [DECEA3]60%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]40%[-]. If you can find lockpicks in your loot, you'll find [DECEA3]3[-] more. Damage to safes is increased by [DECEA3]40%[-].","Вы смогли бы ограбить любой банк. Вы можете на [DECEA3]60%[-] быстрее взламывать замки, а вероятность сломать отмычку снижена на [DECEA3]40%[-]. Если в добыче можно найти отмычки, то вы найдёте на [DECEA3]3[-] больше. Урон по сейфам увеличен на [DECEA3]40%[-]."
perkLockPickingRank5Desc,progression,perk Per,,Master Safecracker,Медвежатник
perkLockPickingRank5LongDesc,progression,perk Per,,"You are now a world-class safecracker. You can pick locks [DECEA3]75%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]50%[-]. If you can find lockpicks in your loot, you'll find [DECEA3]3[-] more. Damage to safes is increased by [DECEA3]50%[-].","Теперь вы медвежатник мирового уровня. Вы можете на [DECEA3]75%[-] быстрее взламывать замки, а вероятность сломать отмычку снижена на [DECEA3]50%[-]. Если в добыче можно найти отмычки, то вы найдёте на [DECEA3]3[-] больше. Урон по сейфам увеличен на [DECEA3]50%[-]."
perkIntellectMasteryRank3LongDesc,progression,perk Int,,Adds a [DECEA3]25%[-] chance to gain [DECEA3]2[-] skill points when reading magazines.,[DECEA3]25%[-] шанс получить [DECEA3]2[-] очка навыка при чтении журналов.
MagazineBundleDesc,items,item,,"In the set, you will find [DECEA3]10[-] magazines.",В наборе вы найдёте [DECEA3]10[-] журналов.
harvestingToolsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Tools Digest»,[DECEA3]Комплект:[-] «Мир инструментов»
repairToolsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Handy Land»,[DECEA3]Комплект:[-] «На все руки мастер»
salvageToolsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Scrapping 4 Fun»,[DECEA3]Комплект:[-] «Сокровища свалки»
sledgehammersSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Get Hammered»,[DECEA3]Комплект:[-] «Молотобоец»
workstationSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Forge Ahead»,[DECEA3]Комплект:[-] «Кузнец своего счастья»
bowsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Bow Hunters»,[DECEA3]Комплект:[-] «Охотимся с луком»
spearsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Sharp Sticks»,[DECEA3]Комплект:[-] «Острые штучки»
bladesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Knife Guy»,[DECEA3]Комплект:[-] «Ножевик»
clubsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Big Hitters»,[DECEA3]Комплект:[-] «Любители бейсбола»
handgunsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Handgun Magazine»,[DECEA3]Комплект:[-] «Короткоствол»
shotgunsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Shotgun Weekly»,[DECEA3]Комплект:[-] «Еженедельная дробь»
riflesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Rifle World»,[DECEA3]Комплект:[-] «Мир винтовок»
machineGunsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Tactical Warfare»,[DECEA3]Комплект:[-] «Тактическое оружие»
explosivesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Explosive Magazine»,[DECEA3]Комплект:[-] «Всё о взрывчатке»
armorSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Armored Up»,[DECEA3]Комплект:[-] «Мастер брони»
medicalSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Medical Journal»,[DECEA3]Комплект:[-] «Медицинский вестник»
knucklesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Furious Fists»,[DECEA3]Комплект:[-] «Кулаки ярости»
foodSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Home Cooking Weekly»,[DECEA3]Комплект:[-] «Еженедельник домашней готовки»
seedSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Southern Farming»,[DECEA3]Комплект:[-] «Южное фермерство»
roboticsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Tech Planet»,[DECEA3]Комплект:[-] «Планета технологий»
vehiclesSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Vehicle Adventures»,[DECEA3]Комплект:[-] «Занимательная механика»
electricianSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Wiring 101»,[DECEA3]Комплект:[-] «Я электрик»
trapsSkillMagazineBundle,items,item,,[DECEA3]Bundle:[-] «Electrical Traps»,[DECEA3]Комплект:[-] «Электроловушки»
perkSledgeSagaSavageReaperDesc,progression,perk book,,Killing with power attacks increases your chance to dodge enemy attacks by [DECEA3]10%[-] for [DECEA3]3[-] seconds.,Убийство силовыми атаками увеличивает на [DECEA3]10%[-] шанс увернуться от атак противников на [DECEA3]3[-] секунды.
perkSledgeSagaSavageReaperLongDesc,progression,perk book,,Armadillo Defense: Killing with power attacks increases your chance to dodge enemy attacks by [DECEA3]10%[-] for [DECEA3]3[-] seconds.,Защита броненосца: Убийство силовыми атаками увеличивает на [DECEA3]10%[-] шанс увернуться от атак противников на [DECEA3]3[-] секунды.
buffBonusMissChanceName,buffs,buff,,Armadillo Defense,Защита броненосца
buffBonusMissChanceIncDesc,buffs,Buff,,Chance to dodge the enemy's next attack increased by [DECEA3]10%[-],Шанс увернуться от следующей атаки противника увеличен на [DECEA3]10%[-]
perkSledgeSagaCompleteDesc,progression,perk book,,Deadly attacks grant [DECEA3]40[-] stamina.,Смертельные атаки приносят [DECEA3]40[-] единиц выносливости.
perkSledgeSagaCompleteLongDesc,progression,perk book,,Crushing Kills: Deadly attacks grant [DECEA3]40[-] stamina.,Сокрушающие убийства: Смертельные атаки приносят [DECEA3]40[-] единиц выносливости.
perkSpearHunter8CompleteDesc,progression,perk book,,Deadly attacks grant [DECEA3]60[-] stamina.,Смертельные атаки приносят [DECEA3]60[-] единиц выносливости.
perkSpearHunter8CompleteLongDesc,progression,perk book,,Primal Kill: Deadly attacks grant [DECEA3]60[-] stamina.,Первобытное убийство: Смертельные атаки приносят [DECEA3]60[-] единиц выносливости.
perkBatterUpCompleteDesc,progression,perk book,,Deadly attacks grant [DECEA3]50[-] stamina.,Смертельные атаки приносят [DECEA3]50[-] единиц выносливости.
perkBatterUpCompleteLongDesc,progression,perk book,,Home Run: Deadly attacks grant [DECEA3]50[-] stamina.,Полный успех: Смертельные атаки приносят [DECEA3]50[-] единиц выносливости.

===
=== Z_Balance_Modifiers ===
===


statDismemberChance,ui_display,Item stat,,Dismember Chance,Шанс расчленить
statZombieDamage,ui_display,Item stat,,Damage to zombies (non-elite),Урон по зомби (не элитным)
statAttacksSpeedMelee,ui_display,Item stat,,Melee attack speed,Скорость атаки в ближнем бою
modArmorCigarDesc,item_modifiers,Mod,,Look intimidating and get a better deal from traders. Also boosts strength!\n\nThe [DECEA3]Better Barter[-] skill develops the quality of modification.,"Придает устрашающий вид, из-за чего торговцы делают вам скидку. А еще увеличивает силу!\n\nУмение [DECEA3]Выгодный бартер[-] развивает качество модификации."
modArmorBandolierDesc,item_modifiers,Mod,,Reload faster.\n\nThe [DECEA3]Armor[-] crafting skill develops the quality of modification.,Ускоренная перезарядка.\n\nНавык изготовления [DECEA3]Броня[-] развивает качество модификации.
modGunShotgunTubeExtenderMagazineDesc,item_modifiers,Mod,,Increases magazine capacity for pump shotguns.\n\nThe [DECEA3]Boomstick[-] skill develops the quality of modification.,Увеличивает емкость магазина помповых дробовиков.\n\nУмение [DECEA3]Бум-палка[-] развивает качество модификации.
modGunCrippleEmDesc,item_modifiers,Mod,,Each shot has a chance to cripple a leg on a bipedal target.\n\nThe [DECEA3]Boomstick[-] skill develops the quality of modification.,Каждый выстрел с некоторым шансом может искалечить ногу двуногой цели.\n\nУмение [DECEA3]Бум-палка[-] развивает качество модификации.
modGunDrumMagazineExtenderDesc,item_modifiers,Mod,,"This large drum magazine increases the ammo capacity on machine guns, but is a little slower to reload.\n\nThe [DECEA3]Machine Gunner[-] skill develops the quality of modification.","В большой барабанный магазин влезает больше патронов для пулемета, но перезаряжается он медленнее.\n\nУмение [DECEA3]Пулеметчик[-] развивает качество модификации."
modGunMagazineExtenderDesc,item_modifiers,Mod,,Increases magazine capacity.\n\nThe [DECEA3]Gunslinger[-] skill develops the quality of modification.,Увеличивает емкость магазина.\n\nУмение [DECEA3]Меткий стрелок[-] развивает качество модификации.
modGunBowPolymerStringDesc,item_modifiers,Mod,,Arrows and Bolts fly quicker and further with this modification.\n\nThe [DECEA3]Archery[-] skill develops the quality of modification.,С ней стрелы и болты летят быстрее и дальше.\n\nУмение [DECEA3]Стрельба из лука[-] развивает качество модификации.
modGunBowArrowRestDesc,item_modifiers,Mod,,An arrow rest improves the accuracy of a bow.\n\nThe [DECEA3]Archery[-] skill develops the quality of modification.,Полка для стрельбы увеличивает точность лука.\n\nУмение [DECEA3]Стрельба из лука[-] развивает качество модификации.
modGunMeleeRadRemoverDesc,item_modifiers,Mod,,"Temporarily disables the regeneration ability of Radiated, Charged, and Infernal zombies.\n\nThe [DECEA3]The Huntsman[-] skill develops the quality of modification.","Временно блокирует регенеративные способности облученных, заряженных и адских зомби.\n\nУмение [DECEA3]Охотник[-] развивает качество модификации."
modGunMeleeTheHunterDesc,item_modifiers,Mod,,Do more damage to all animals and non-elite zombies.\n\nThe [DECEA3]The Huntsman[-] skill develops the quality of modification.,Больше урона по всем животным и не элитным зомби.\n\nУмение [DECEA3]Охотник[-] развивает качество модификации.
modMeleeSerratedBladeDesc,item_modifiers,Mod,,Has a chance to cause a Bleeding Wound on a regular attack.\n\nThe [DECEA3]Deep Cuts[-] skill develops the quality of modification.,C некоторым шансом наносит кровоточащую рану при обычной атаке.\n\nУмение [DECEA3]Глубокие раны[-] развивает качество модификации.
modMeleeClubBarbedWireDesc,item_modifiers,Mod,,Has a chance to cause bleeding damage with primary attacks.\nCan be installed in clubs.\n\nThe [DECEA3]Pummel Pete[-] skill develops the quality of modification.,С некоторым шансом вызывает кровотечение при обычных атаках.\nМожно ставить на дубины.\n\nУмение [DECEA3]Громила Пит[-] развивает качество модификации.
modMeleeClubMetalSpikesDesc,item_modifiers,Mod,,Each successive hit lowers enemies armor rating.\nCan be installed in clubs.\n\nThe [DECEA3]Pummel Pete[-] skill develops the quality of modification.,Каждое успешное попадание снижает показатель брони противника.\nМожно ставить на дубины.\n\nУмение [DECEA3]Громила Пит[-] развивает качество модификации.
modMeleeClubMetalChainDesc,item_modifiers,Mod,,Has a chance to knock down opponents.\nCan be installed in clubs.\n\nThe [DECEA3]Pummel Pete[-] skill develops the quality of modification.,С некоторым шансом сбивает противника с ног.\nМожно ставить на дубины.\n\nУмение [DECEA3]Громила Пит[-] развивает качество модификации.
modMeleeWeightedHeadDesc,item_modifiers,Mod,,A modification for all melee weapons and tools.\nAdds a chance to stun and slow victims.\n\nKnives and machetes do not have a head that can be weighted.\n\nThe [DECEA3]Grand Slam[-] skill develops the quality of modification.,"Модификация для любого оружия ближнего боя и инструмента.\nДобавляет вероятность оглушить или замедлить жертву.\n\nУ ножей и мачете нет наконечника, который можно взвесить.\n\nУмение [DECEA3]Волшебный пендель[-] развивает качество модификации."
modMeleeClubBurningShaftDesc,item_modifiers,Mod,,"A melee item can triple as a light source, set enemies on fire, and used as a source of heat.\n\nCan be installed in melee tools and weapons that have a long shaft or blade.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of modification.","Предмет ближнего боя. Годится для освещения, поджигания врагов и обогрева.\n\nМожно установить на инструменты ближнего боя и оружие с длинным древком или клинком.\n\nУмение [DECEA3]Продвинутое проектировани[-] развивает качество модификации."
modMeleeTemperedBladeDesc,item_modifiers,Mod,,This blade modification increases block damage and lowers degradation.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of modification.,"С этой модификацией лезвия урон по блокам повышается, а само оружие приходит в негодность медленнее.\n\nУмение [DECEA3]Продвинутое проектировани[-] развивает качество модификации."
modMeleeGraveDiggerDesc,item_modifiers,Mod,,Does more damage against dirt.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,Больше урона по земле.\n\nУмение [DECEA3]Долбатель[-] развивает качество модификации.
modMeleeBunkerBusterDesc,item_modifiers,Mod,,Does more damage against stone.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,Больше урона по каменным конструкциям.\n\nУмение [DECEA3]Долбатель[-] развивает качество модификации.
modMeleeIronBreakerDesc,item_modifiers,Mod,,Does more damage against iron.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,Больше урона по железу.\n\nУмение [DECEA3]Долбатель[-] развивает качество модификации.
modMeleeWoodSplitterDesc,item_modifiers,Mod,,Does more damage against wood.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.,Больше урона по дереву.\n\nУмение [DECEA3]Долбатель[-] развивает качество модификации.
modMeleeFiremansAxeModDesc,item_modifiers,Mod,,"Deal more damage to blocks, but less damage to enemies.\n\nThe [DECEA3]Miner 69'er[-] skill develops the quality of modification.","Больше урона по блокам, но меньше урона врагам.\n\nУмение [DECEA3]Долбатель[-] развивает качество модификации."
modMeleeErgonomicGripDesc,item_modifiers,Mod,,"Decreases melee stamina usage, increases melee attack speed and increases weapon handling of bows.\n\nThe [DECEA3]Mother Lode[-] or [DECEA3]Archery[-] skill's develops the quality of modification.",Снижает расход выносливости и увеличивает скорость атаки в ближнем бою и увеличивает управляемость луков.\n\nУмения [DECEA3]Драгоценная добыча[-] или [DECEA3]Стрельба из лука[-] развивают качество модификации.
modMeleeStructuralBraceDesc,item_modifiers,Mod,,"This modification lowers degradation for melee weapons, tools, and bows.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.","С этой модификацией оружие ближнего боя, инструменты и луки приходят в негодность медленнее.\n\nУмение [DECEA3]Драгоценная добыча[-] развивает качество модификации."
modMeleeFortifyingGripDesc,item_modifiers,Mod,,"When below 50% health, regenerate health over time.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.","Когда уровень здоровья опускается ниже 50%, здоровье начинает восстанавливаться.\n\nУмение [DECEA3]Драгоценная добыча[-] развивает качество модификации."
modFuelTankSmallDesc,item_modifiers,Mod,,Moderately increases tank size for chainsaws and augers.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.,Увеличивает объем бака в бензопилах и бурах.\n\nУмение [DECEA3]Драгоценная добыча[-] развивает качество модификации.
modFuelTankLargeDesc,item_modifiers,Mod,,Greatly increases tank size for chainsaws and augers.\n\nThe [DECEA3]Mother Lode[-] skill develops the quality of modification.,Значительно увеличивает объем бака в бензопилах и бурах.\n\nУмение [DECEA3]Драгоценная добыча[-] развивает качество модификации.
modMeleeDiamondTipDesc,item_modifiers,Mod,,Any hand tool or bladed weapon degrades slower with this modification.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of modification.,Эта модификация снижает расход прочности ручного инструмента и оружия с лезвием.\n\nУмение [DECEA3]Продвинутое проектирование[-] развивает качество модификации.
modVehicleReserveFuelTankDesc,item_modifiers,Mod,,Increase your vehicle's fuel storage with this mod.\n\nThe [DECEA3]Grease Monkey[-] skill develops the quality of modification.,Модификация увеличивает вместимость бака транспортного средства.\n\nУмение [DECEA3]Механик[-] развивает качество модификации.
modVehicleFuelSaverDesc,item_modifiers,Mod,,Vehicles consume less fuel.\n\nThe [DECEA3]Grease Monkey[-] skill develops the quality of modification.,Транспортное средство потребляет меньше топлива.\n\nУмение [DECEA3]Механик[-] развивает качество модификации.
toolBellowsDesc,item_modifiers,Mod,,A tool that can be installed in the forge to allow increased airflow and faster smelting speeds.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of item.,Может быть установлена в кузнице для повышения притока воздуха и ускорения плавки.\n\nУмение [DECEA3]Продвинутое проектирование[-] развивает качество предмета.
toolAnvilDesc,item_modifiers,Mod,,A tool that can be installed in a forge. It increases the crafting speed of that forge.\n\nThe [DECEA3]Advanced Engineering[-] skill develops the quality of item.,Может быть установлена в кузнице. Увеличивает скорость изготовления кузницы.\n\nУмение [DECEA3]Продвинутое проектирование[-] развивает качество предмета.
toolCookingPotDesc,item_modifiers,Mod,,A cooking utensil used in the campfire to unlock recipes.\n\nThe [DECEA3]Master Chef[-] skill develops the quality of item.,"Кухонная утварь, используемая на костре, чтобы разблокировать некоторые рецепты.\n\nУмение [DECEA3]Шеф-повар[-] развивает качество предмета."
toolCookingGrillDesc,item_modifiers,Mod,,A cooking utensil used in the campfire to unlock recipes.\n\nThe [DECEA3]Master Chef[-] skill develops the quality of item.,"Кухонная утварь, используемая на костре, чтобы разблокировать некоторые рецепты.\n\nУмение [DECEA3]Шеф-повар[-] развивает качество предмета."

===
=== Z_Better_Quest_Reward ===
===


questRewardSkillMagazineBundleT3,items,item,,Crafting Skill Magazines [DECEA3]Small Bundle[-],Журналы по навыкам изготовления: [DECEA3]Малый набор[-]
questRewardSkillMagazineBundleT4,items,item,,Crafting Skill Magazines [DECEA3]Medium Bundle[-],Журналы по навыкам изготовления: [DECEA3]Средний набор[-]
questRewardSkillMagazineBundleT5,items,item,,Crafting Skill Magazines [DECEA3]Large Bundle[-],Журналы по навыкам изготовления: [DECEA3]Большой набор[-]
questRewardSkillMagazineBundleT6,items,item,,Crafting Skill Magazines [DECEA3]Huge Bundle[-],Журналы по навыкам изготовления: [DECEA3]Огромный набор[-]
questRewardFoodBundleT3,items,item,,Food and Water [DECEA3]Small Bundle[-],Еда и вода: [DECEA3]Малый набор[-]
questRewardFoodBundleT4,items,item,,Food and Water [DECEA3]Medium Bundle[-],Еда и вода: [DECEA3]Средний набор[-]
questRewardFoodBundleT5,items,item,,Food and Water [DECEA3]Large Bundle[-],Еда и вода: [DECEA3]Большой набор[-]
questRewardFoodBundleT6,items,item,,Food and Water [DECEA3]Huge Bundle[-],Еда и вода: [DECEA3]Огромный набор[-]
questRewardVehicleBundleT3,items,item,,Minibike Parts,Детали минибайка
questRewardVehicleBundleT4,items,item,,Motorcycle Parts,Детали мотоцикла
questRewardVehicleBundleT5,items,item,,Truck 4x4 Parts,Детали грузовика 4x4
questRewardVehicleBundleT6,items,item,,Gyrocopter Parts,Детали автожира
questRewardMagazineBundleT3Desc,items,item,,A small bundle of [DECEA3]3[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]3[-] copies.,Малый набор состоит из [DECEA3]3[-] случайных журналов по навыкам изготовления.\nКаждый выбранный журнал включен в количестве [DECEA3]3[-] экземпляров.
questRewardMagazineBundleT4Desc,items,item,,A medium bundle of [DECEA3]3[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]4[-] copies.,Средний набор состоит из [DECEA3]3[-] случайных журналов по навыкам изготовления.\nКаждый выбранный журнал включен в количестве [DECEA3]4[-] экземпляров.
questRewardMagazineBundleT5Desc,items,item,,A large bundle of [DECEA3]3[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]5[-] copies.,Большой набор состоит из [DECEA3]3[-] случайных журналов по навыкам изготовления.\nКаждый выбранный журнал включен в количестве [DECEA3]5[-] экземпляров.
questRewardMagazineBundleT6Desc,items,item,,A huge bundle of [DECEA3]4[-] random crafting skill magazines.\nEach selected magazine is included in [DECEA3]5[-] copies.,Огромный набор состоит из [DECEA3]4[-] случайных журналов по навыкам изготовления.\nКаждый выбранный журнал включен в количестве [DECEA3]5[-] экземпляров.
questRewardFoodBundleT3Desc,items,item,,A small bundle of food and water.,Малый набор еды и воды.
questRewardFoodBundleT4Desc,items,item,,A medium bundle of [DECEA3]«Home Cooking Weekly»[-] magazines. It also includes food and water.,Средний набор журналов [DECEA3]«Еженедельник домашней готовки»[-]. Он также включает еду и воду.
questRewardFoodBundleT5Desc,items,item,,A large bundle of [DECEA3]«Home Cooking Weekly»[-] magazines. It also includes food and water.,Большой набор журналов [DECEA3]«Еженедельник домашней готовки»[-]. Он также включает еду и воду.
questRewardFoodBundleT6Desc,items,item,,A huge bundle of [DECEA3]«Home Cooking Weekly»[-] magazines. It also includes food and water.,Огромный набор журналов [DECEA3]«Еженедельник домашней готовки»[-]. Он также включает еду и воду.
questRewardVehicleBundleT3Desc,items,item,,One of the parts of the minibike.,Одна из деталей минибайка.
questRewardVehicleBundleT4Desc,items,item,,One of the parts of the motorcycle.,Одна из деталей мотоцикла.
questRewardVehicleBundleT5Desc,items,item,,One of the parts of the 4x4 truck.,Одна из деталей грузовика 4x4.
questRewardVehicleBundleT6Desc,items,item,,One of the parts of the gyrocopter.,Одна из деталей автожира.

===
=== Z_Bosses ===
===


BuffBossAOEName,buffs,buff,,The boss is nearby,Рядом босс
BuffMiniBossAOEName,buffs,buff,,The miniboss is nearby,Рядом минибосс
BuffSmallBossAOEName,buffs,buff,,The small boss is nearby,Рядом малый босс
buffPoisoningWorseName,buffs,buff,,Poisoning,Отравление ядом
buffPoisoningWorseTooltip,buffs,buff,,You are poisoned,Вы отравлены ядом
buffPoisoningWorseDesc,buffs,Buff,,"Your body is wracked with terrible pain from the poison. You gradually accumulate the poisoning effect. When the poisoning reaches 100%, you will take damage and have a [DECEA3]25%[-] chance of being paralyzed. After this, you will begin to recover from the poisoning. Your mobility and jump height are reduced based on accumulated dispatch, up to [DECEA3]50%[-]. Every second, you lose [DECEA3]9[-] stamina and a moderate amount of food. Use an antidote or wait for recovery.","Ваше тело пронизывает жуткая боль от попавшего яда. Вы постепенно накапливаете эффект отравления. Когда отравление достигнет 100% вы получите урон и с шансом [DECEA3]25%[-] можете быть парализованы. После этого вы начнете восстанавливаться от отравления. Ваша мобильность и высота прыжка снижена в зависимости от накопленного отправления, вплоть до [DECEA3]50%[-]. Каждую секунду вы теряете [DECEA3]9[-] выносливости и средний запас еды.\n\nВоспользуйтесь противоядием или дождитесь восстановления."
buffPoisoningBetterName,buffs,buff,,Treatment of poisoning,Лечение отравления ядом
buffPoisoningBetterTooltip,buffs,buff,,You are recovering from poisoning,Вы восстанавливаетесь от отравления ядом
buffPoisoningBetterDesc,buffs,Buff,,"The pain still lingers, but you feel yourself getting better. You're gradually shedding the effects of the poisoning. Your mobility and jump height are reduced depending on the accumulated poison, up to [DECEA3]50%[-]. Every second, you lose [DECEA3]3[-] stamina and a small supply of food. Use an antidote or wait for recovery.","Боль все еще не утихает, но вы чувствуете что вам становиться лучше. Вы постепенно избавляетесь от эффекта отравления. Ваша мобильность и высота прыжка снижена в зависимости от накопленного отправления, вплоть до [DECEA3]50%[-]. Каждую секунду вы теряете [DECEA3]3[-] выносливости и малый запас еды.\n\nВоспользуйтесь противоядием или дождитесь восстановления."
buffdrugAntidoteName,buffs,buff,,Antidote,Противоядие
buffdrugAntidoteTooltip,buffs,buff,,You are immune to poison,Вы невосприимчивы к яду
buffdrugAntidoteDesc,buffs,Buff,,You are affected by the antidote. You are immune to all poisonings.,На вас дейтсвует противоядие. Вы невосприимчивы к любым отравлениям.
BuffMajorAOE,buffs,Buff,,Major,Майор
BuffMajorAOETooltip,buffs,buff,,Major is on the hunt,Майор вышел на охоту
BuffMajorAOEIncDesc,buffs,Buff,,"A commander is still a commander. Even after turning, he still supports his soldiers.\n\n[FFB800]SPECIAL STATE:[-]\nWhile the major is alive, damage to his squad is reduced by [DECEA3]25%[-]. When his health drops below [DECEA3]50%[-], the commander will go into a rage, increasing his subordinates' defense to [DECEA3]50%[-], and their damage and attack speed by [DECEA3]25%[-].\n\nFocus on taking him down first.","Командир есть командир. Даже после превращения он поддерживает своих солдат.\n\n[FFB800]ОСОБОЕ СОСТОЯНИЕ:[-]\nПока жив майор, урон по его отряду снижен на [DECEA3]25%[-]. При падении здоровья ниже [DECEA3]50%[-], командир впадёт в ярость, повышая защиту подчинённых до [DECEA3]50%[-], а их урон и скорость атаки — на [DECEA3]25%[-].\n\nСосредоточьте огонь на нём в первую очередь."
BuffBrigadierAOE,buffs,Buff,,Brigadier,Бригадир
BuffBrigadierAOETooltip,buffs,buff,,Brigadier is on the hunt,Бригадир вышел на охоту
BuffBrigadierAOEIncDesc,buffs,Buff,,"Everyone who loves building also loves breaking. And with a good foreman, you can break anything.\n\n[FFB800]SPECIAL STATE:[-]\nWhile the foreman is alive, his team deals [DECEA3]50%[-] more damage to blocks. If the foreman's health drops below half, he will go into a rage — and his builders' damage doubles.\n\nYour main task is to take him out first.","Все, кто любит строить, обожают и ломать. А с хорошим бригадиром можно разломать что угодно.\n\n[FFB800]ОСОБОЕ СОСТОЯНИЕ:[-]\nПока жив бригадир, его команда наносит на [DECEA3]50%[-] больше урона по блокам. Если здоровье бригадира будет меньше половины, он впадёт в ярость — и урон его строителей удваивается.\n\nВаша главная задача — устранить его первым."
BuffChiefAOE,buffs,Buff,,Chief,Шеф
BuffChiefAOETooltip,buffs,buff,,Chief is on the hunt,Шеф вышел на охоту
BuffChiefAOEIncDesc,buffs,Buff,,"Turning into a zombie is not a valid excuse for shirking work, especially when the boss is nearby. Any office worker knows that perfectly well.\n\n[FFB800]SPECIAL STATE:[-]\nWhile the boss is alive, all office workers move [DECEA3]25%[-] faster. If the boss's health drops below half, he will go into a rage and double his subordinates' mobility.\n\nYour task is to carry out unscheduled layoffs, starting with him.","Превращение в зомби не является уважительной причиной для отлынивания от работы, тем более если шеф рядом. Любой офисный работник прекрасно это знает.\n\n[FFB800]ОСОБОЕ СОСТОЯНИЕ:[-]\nПока жив шеф, все офисные работники передвигаются на [DECEA3]25%[-] быстрее. Если здоровье шефа будет меньше половины, он впадёт в ярость и увеличит мобильность подчинённых в два раза.\n\nВаша задача — провести внеплановое сокращение штата, начав с него."
BuffAuthorityAOE,buffs,Buff,,Authority,Авторитет
BuffAuthorityAOETooltip,buffs,buff,,Authority is on the hunt,Авторитет вышел на охоту
