Key,Source,Context,Changes,English,Polish
buffMBoosterRoboticsName,buffs,buff,,Magazine booster [5AFF75]«Tech Planet»[-],Wzmacniacz magazynka [5AFF75] «Tech Planet»[-]
buffMBoosterRoboticsTooltip,buffs,buff,,You have activated the «Tech Planet» magazine booster.,Aktywowałeś wzmacniacz magazynu «Tech Planet».
buffMBoosterRoboticsDesc,buffs,Buff,,"Significantly increases the chance of finding «Tech Planet» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów „Tech Planet”.\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynu. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterArmor,items,Item,,Magazine booster [5AFF75]«Armored Up»[-],Dopalacz magazynka [5AFF75] «Opancerzony»[-]
MBoosterArmorDesc,items,Item,,"Significantly increases the chance of finding «Armored Up» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów «Armored Up».\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterArmorName,buffs,buff,,Magazine booster [5AFF75]«Armored Up»[-],Dopalacz magazynka [5AFF75] «Opancerzony»[-]
buffMBoosterArmorTooltip,buffs,buff,,You have activated the «Armored Up» magazine booster.,Aktywowałeś wzmacniacz magazynka «Armored Up».
buffMBoosterArmorDesc,buffs,Buff,,"Significantly increases the chance of finding «Armored Up» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynków «Armored Up».\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterMedical,items,Item,,Magazine booster [5AFF75]«Medical Journal»[-],Wzmacniacz magazynu [5AFF75] «Dziennik medyczny»[-]
MBoosterMedicalDesc,items,Item,,"Significantly increases the chance of finding «Medical Journal» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie czasopism „Medical Journal”.\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterMedicalName,buffs,buff,,Magazine booster [5AFF75]«Medical Journal»[-],Wzmacniacz magazynu [5AFF75] «Dziennik medyczny»[-]
buffMBoosterMedicalTooltip,buffs,buff,,You have activated the «Medical Journal» magazine booster.,Aktywowałeś dodatek do magazynu «Medical Journal».
buffMBoosterMedicalDesc,buffs,Buff,,"Significantly increases the chance of finding «Medical Journal» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie czasopism „Medical Journal”.\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynu. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterFood,items,Item,,Magazine booster [5AFF75]«Home Cooking Weekly»[-],Booster magazynu [5AFF75] «Tygodnik Gotowania Domowego»[-]
MBoosterFoodDesc,items,Item,,"Significantly increases the chance of finding «Home Cooking Weekly» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie czasopisma „Tygodnik Gotowania Domowego”.\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterFoodName,buffs,buff,,Magazine booster [5AFF75]«Home Cooking Weekly»[-],Booster magazynu [5AFF75] «Tygodnik Gotowania Domowego»[-]
buffMBoosterFoodTooltip,buffs,buff,,You have activated the «Home Cooking Weekly» magazine booster.,Aktywowałeś booster magazynu «Tygodnik Gotowania Domowego».
buffMBoosterFoodDesc,buffs,Buff,,"Significantly increases the chance of finding «Home Cooking Weekly» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie czasopisma „Tydzień Gotowania w Domu”.\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynu. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterSeed,items,Item,,Magazine booster [5AFF75]«Southern Farming»[-],Dopalacz magazynu [5AFF75] «Southern Farming»[-]
MBoosterSeedDesc,items,Item,,"Significantly increases the chance of finding «Southern Farming» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie czasopism «Southern Farming».\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterSeedName,buffs,buff,,Magazine booster [5AFF75]«Southern Farming»[-],Dopalacz magazynu [5AFF75] «Southern Farming»[-]
buffMBoosterSeedTooltip,buffs,buff,,You have activated the «Southern Farming» magazine booster.,Aktywowałeś premię do magazynu «Southern Farming».
buffMBoosterSeedDesc,buffs,Buff,,"Significantly increases the chance of finding «Southern Farming» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów «Southern Farming».\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynu. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterElectrician,items,Item,,Magazine booster [5AFF75]«Wiring 101»[-],Wzmacniacz magazynka [5AFF75] «Okablowanie 101»[-]
MBoosterElectricianDesc,items,Item,,"Significantly increases the chance of finding «Wiring 101» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów «Wiring 101».\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterElectricianName,buffs,buff,,Magazine booster [5AFF75]«Wiring 101»[-],Wzmacniacz magazynka [5AFF75] «Okablowanie 101»[-]
buffMBoosterElectricianTooltip,buffs,buff,,You have activated the «Wiring 101» magazine booster.,Aktywowałeś wzmacniacz magazynka «Wiring 101».
buffMBoosterElectricianDesc,buffs,Buff,,"Significantly increases the chance of finding «Wiring 101» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynków «Wiring 101».\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterTraps,items,Item,,Magazine booster [5AFF75]«Electrical Traps»[-],Wzmacniacz magazynka [5AFF75] «Pułapki elektryczne»[-]
MBoosterTrapsDesc,items,Item,,"Significantly increases the chance of finding «Electrical Traps» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów «Pułapki elektryczne».\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterTrapsName,buffs,buff,,Magazine booster [5AFF75]«Electrical Traps»[-],Wzmacniacz magazynka [5AFF75] «Pułapki elektryczne»[-]
buffMBoosterTrapsTooltip,buffs,buff,,You have activated the «Electrical Traps» magazine booster.,Aktywowałeś wzmacniacz magazynka «Pułapki elektryczne».
buffMBoosterTrapsDesc,buffs,Buff,,"Significantly increases the chance of finding «Electrical Traps» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynków „Pułapki elektryczne”.\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterWorkstation,items,Item,,Magazine booster [5AFF75]«Forge Ahead»[-],Dopalacz magazynka [5AFF75] «Forge Ahead»[-]
MBoosterWorkstationDesc,items,Item,,"Significantly increases the chance of finding «Forge Ahead» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów «Forge Ahead».\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterWorkstationName,buffs,buff,,Magazine booster [5AFF75]«Forge Ahead»[-],Dopalacz magazynka [5AFF75] «Forge Ahead»[-]
buffMBoosterWorkstationTooltip,buffs,buff,,You have activated the «Forge Ahead» magazine booster.,Aktywowałeś wzmacniacz magazynu «Forge Ahead».
buffMBoosterWorkstationDesc,buffs,Buff,,"Significantly increases the chance of finding «Forge Ahead» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów „Forge Ahead”.\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynu. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
MBoosterVehicle,items,Item,,Magazine booster [5AFF75]«Vehicle Adventures»[-],Dopalacz magazynu [5AFF75] «Przygody w pojazdach»[-]
MBoosterVehicleDesc,items,Item,,"Significantly increases the chance of finding «Vehicle Adventures» magazines.\n\n[DECEA3]Duration: 1 hour. Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów „Vehicle Adventures”.\n\n[DECEA3]Czas trwania: 1 godzina. W danym momencie może być aktywne tylko jedno wzmocnienie magazynka. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
buffMBoosterVehicleName,buffs,buff,,Magazine booster [5AFF75]«Vehicle Adventures»[-],Dopalacz magazynu [5AFF75] «Przygody w pojazdach»[-]
buffMBoosterVehicleTooltip,buffs,buff,,You have activated the «Vehicle Adventures» magazine booster.,Aktywowałeś dodatek do magazynu «Przygody w pojazdach».
buffMBoosterVehicleDesc,buffs,Buff,,"Significantly increases the chance of finding «Vehicle Adventures» magazines.\n\n[DECEA3]Only one magazine booster can be active at a time. Does not work if all magazines are studied, including mastery.[-]","Znacząco zwiększa szansę na znalezienie magazynów „Vehicle Adventures”.\n\n[DECEA3]W danym momencie może być aktywne tylko jedno wzmocnienie magazynu. Nie działa, jeśli studiowane są wszystkie czasopisma, w tym mistrzostwo.[-]"
resourceRepairKitImp,items,Resources,,[DECEA3]Improved[-] repair kit,[DECEA3]Ulepszony[-] zestaw naprawczy
resourceRepairKitImpDesc,items,Resources,,"Improved weapons and tools have increased stats compared to their basic predecessors. However, they are also more difficult to repair.\n\nUsed to repair any improved weapons and tools.\nRepairs [DECEA3]2000[-] durability points.\n\nRequires skill: [DECEA3]Advanced Engineering Lv.3[-]",Ulepszone bronie i narzędzia mają zwiększone statystyki w porównaniu do swoich podstawowych poprzedników. Jednakże są one również trudniejsze w naprawie.\n\nSłużą do naprawy dowolnej ulepszonej broni i narzędzi.\nNaprawia [DECEA3]2000[-] punkty wytrzymałości.\n\nWymaga umiejętności: [DECEA3]Advanced Engineering Lv.3[-]
resourceRepairKitLeg,items,Resources,,[FFB800]Legendary[-] repair kit,[FFB800]Legendarny[-] zestaw naprawczy
resourceRepairKitLegDesc,items,Resources,,"Legendary weapons can cause a lot of problems for any enemy. However, repairing such weapons is not a cheap pleasure.\n\nUsed to repair any legendary weapon.\nRepairs [DECEA3]2000[-] durability points.\n\nRequires skill: [DECEA3]Advanced Engineering Lv.5[-]",Legendarna broń może sprawić wiele problemów każdemu wrogowi. Jednak naprawianie takiej broni nie jest tanią przyjemnością.\n\nUżywa się do naprawy dowolnej legendarnej broni.\nNaprawia [DECEA3]2000[-] punktów wytrzymałości.\n\nWymaga umiejętności: [DECEA3]Zaawansowana inżynieria poz.5[-]
ammo762mmBulletDU,items,Ammo,,7.62 mm [5AFF75]((Depleted Uranium)) ammo[-],"Amunicja 7,62 mm [5AFF75]((zubożony uran))[-]"
ammo762mmBulletDUDesc,items,Ammo,,"Experimental 7.62 mm [5AFF75]((Depleted Uranium))[-] rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to [DECEA3]3[-] targets. The ammunition is designed specifically to combat large mutants. When hitting bosses or elite enemies, damage is significantly increased.\n\nCannot be crafted independently. This type of ammunition can be requested from support or found in boss loot.","Eksperymentalne naboje 7,62 mm [5AFF75]((Zubożony uran))[-].\nZnacznie mocniejsze niż zwykłe i ulepszone naboje tego kalibru. Ignoruje pancerz i penetruje do [DECEA3]3[-] celów. Amunicja została zaprojektowana specjalnie do zwalczania dużych mutantów. Trafiając bossów lub elitarnych wrogów, obrażenia znacznie się zwiększają.\n\nNie można ich wytworzyć samodzielnie. Ten rodzaj amunicji można otrzymać od wsparcia lub znaleźć w łupach bossa."
ammo44MagnumBulletDU,items,Ammo,,.44 Magnum [5AFF75]((Depleted Uranium)) ammo[-],Amunicja .44 Magnum [5AFF75]((Zubożony uran))[-]
ammo44MagnumBulletDUDesc,items,Ammo,,"Experimental .44 Magnum [5AFF75]((Depleted Uranium))[-] rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to [DECEA3]3[-] targets. The ammunition is designed specifically to combat large mutants. When hitting bosses or elite enemies, damage is significantly increased.\n\nCannot be crafted independently. This type of ammunition can be requested from support or found in boss loot.","Eksperymentalne naboje .44 Magnum [5AFF75]((Zubożony uran))[-].\nZnacznie silniejsze niż zwykłe i ulepszone naboje tego kalibru. Ignoruje pancerz i penetruje do [DECEA3]3[-] celów. Amunicja została zaprojektowana specjalnie do zwalczania dużych mutantów. Trafiając bossów lub elitarnych wrogów, obrażenia znacznie się zwiększają.\n\nNie można ich wytworzyć samodzielnie. Ten rodzaj amunicji można otrzymać od wsparcia lub znaleźć w łupach bossa."
ammo9mmBulletDU,items,Ammo,,9 mm [5AFF75](Depleted Uranium) ammo[-],Amunicja 9 mm [5AFF75] (ze zubożonego uranu) [-]
ammo9mmBulletDUDesc,items,Ammo,,"Experimental 9 mm [5AFF75](Depleted Uranium)[-] rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to [DECEA3]3[-] targets. The ammunition is designed specifically to combat large mutants. When hitting bosses or elite enemies, damage is significantly increased.\n\nCannot be crafted independently. This type of ammunition can be requested from support or found in boss loot.","Eksperymentalne naboje 9 mm [5AFF75](ze zubożonego uranu)[-].\nZnacznie silniejsze niż zwykłe i ulepszone naboje tego kalibru. Ignoruje pancerz i penetruje do [DECEA3]3[-] celów. Amunicja została zaprojektowana specjalnie do zwalczania dużych mutantów. Trafiając bossów lub elitarnych wrogów, obrażenia znacznie się zwiększają.\n\nNie można ich wytworzyć samodzielnie. Ten rodzaj amunicji można otrzymać od wsparcia lub znaleźć w łupach bossa."
ammoShotgunSlugDU,items,Ammo,,Shotgun [5AFF75](Depleted Uranium) ammo[-],Strzelba [5AFF75] (ze zubożonego uranu) [-]
ammoShotgunSlugDUDesc,items,Ammo,,"Experimental shotgun [5AFF75](Depleted Uranium)[-] rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to [DECEA3]3[-] targets. The ammunition is designed specifically to combat large mutants. When hitting bosses or elite enemies, damage is significantly increased.\n\nCannot be crafted independently. This type of ammunition can be requested from support or found in boss loot.","Eksperymentalna strzelba [5AFF75] (ze zubożonego uranu) [-], naboje.\nZnacznie silniejsza niż zwykłe i ulepszone naboje tego kalibru. Ignoruje pancerz i penetruje do [DECEA3]3[-] celów. Amunicja została zaprojektowana specjalnie do zwalczania dużych mutantów. Trafiając bossów lub elitarnych wrogów, obrażenia znacznie się zwiększają.\n\nNie można ich wytworzyć samodzielnie. Ten rodzaj amunicji można otrzymać od wsparcia lub znaleźć w łupach bossa."
ammoJunkTurretDU,items,Ammo,,Turret [5AFF75](Depleted Uranium) ammo[-],Wieża [5AFF75](Zubożony Uran) Amunicja[-]
ammoJunkTurretDUDesc,items,Ammo,,"Experimental [5AFF75](Depleted Uranium)[-] automatic turret ammunition.\nSignificantly stronger than regular and improved turret ammo. Ignores [DECEA3]60%[-] of the target's armor and penetrates up to [DECEA3]2[-] targets. When used, increases turret degradation speed by [DECEA3]20%[-], and also has a chance to knock down the enemy.\n\nCannot be crafted. This type of ammunition can be requested from support.","Eksperymentalna [5AFF75](Zubożony uran)[-] amunicja do wieży automatycznej.\nZnacznie silniejsza niż zwykła i ulepszona amunicja do wieży. Ignoruje [DECEA3]60%[-] pancerza celu i penetruje do [DECEA3]2[-] celów. Po użyciu zwiększa prędkość degradacji wieży o [DECEA3]20%[-], a także ma szansę powalić wroga.\n\nNie można go wytworzyć. Ten rodzaj amunicji można zamówić w dziale wsparcia."
resourceMutationSamples,items,RareResources,,Zombie mutation samples,Próbki mutacji zombie
resourceMutationSamplesDesc,items,RareResources,,"An extremely vile-looking substance, and an even worse smelling substance. However, it is an extremely sought-after resource in the outside world. Scientists are still guessing how complex mutations occur and what exactly this is connected with. Now they will be able to significantly speed up their research.\n\nIn exchange, scientists are ready to supply you with the latest technology they have.\n\n[DECEA3]Use the Radio Station to exchange for experimental ammunition sets.[-]","Niezwykle obrzydliwie wyglądająca substancja i jeszcze gorzej pachnąca substancja. Jest to jednak niezwykle poszukiwany zasób w świecie zewnętrznym. Naukowcy wciąż zgadują, jak zachodzą złożone mutacje i z czym dokładnie jest to związane. Teraz będą mogli znacznie przyspieszyć swoje badania.\n\nW zamian naukowcy są gotowi dostarczyć Ci najnowszą technologię, jaką posiadają.\n\n[DECEA3]Korzystaj ze stacji radiowej, aby wymienić się na eksperymentalne zestawy amunicji.[-]"
resourceStakeVenom,items,RareResources,,Concentrated poison,Concentrated poison
resourceStakeVenomDesc,items,RareResources,,Used to craft items. Obtained from slain snakes.,Used to craft items. Obtained from slain snakes.
perkTheHuntsmanRank1LongDesc,progression,perk For,,You are on the path of the huntsman. Harvest 20% more resources from animals using any bladed tool or weapon. Obtaining concentrated venom from the bodies of killed snakes.,You are on the path of the huntsman. Harvest 20% more resources from animals using any bladed tool or weapon. Obtaining concentrated venom from the bodies of killed snakes.
resourcePoisonedNail,items,Item,,Poisoned nails,Poisoned nails
resourcePoisonedNailDesc,items,Item,,Nails heavily coated with poison paralyze anyone they hit. They are used as ammunition for the standard or upgraded nail gun.,Nails heavily coated with poison paralyze anyone they hit. They are used as ammunition for the standard or upgraded nail gun.
resourceMutationSamplesBundle,items,RareResources,,Mutation samples bundle,Pakiet próbek mutacji
resourceMutationSamplesBundleDesc,items,RareResources,,"If packaged well, even the most vile odors can be masked. Contains [DECEA3]100[-] units of mutation samples.\n\nRequires skill: [DECEA3]Physician Lv.3[-]",Dobrze zapakowane mogą zamaskować nawet najbardziej nieprzyjemne zapachy. Zawiera [DECEA3]100[-] jednostek próbek mutacji.\n\nWymaga umiejętności: [DECEA3]Lekarz poz. 3[-]
perkPhysicianRank3LongDesc,progression,perk Int,,"Treated critical injuries heal 50% faster.\nMedical healing items restore 100% more health over time.\nGain 500% more XP using bandages, first aid bandages, first aid kits, and splints.\nCasts instantly heal broken limbs.\n[DECEA3]Mutation sample packs are available for odor neutralization and compact storage.[-]","Leczone krytyczne obrażenia leczą się o 50% szybciej.\nPrzedmioty lecznicze przywracają z biegiem czasu o 100% więcej zdrowia.\nZdobądź o 500% więcej PD, używając bandaży, bandaży pierwszej pomocy, apteczek i szyn.\nOpatrunki natychmiastowo leczą złamane kończyny.\n[DECEA3]Pakiety próbek mutacji są dostępne do neutralizacji nieprzyjemnych zapachów i kompaktowego przechowywania.[-]"
resourceMechanicalPartsImp,items,item,,[DECEA3]Improved[-] mechanical parts,[DECEA3]Ulepszone[-] części mechaniczne
resourceMechanicalPartsImpDesc,items,item,,Improved mechanical parts allow you to create more complex items.\nOnly an advanced engineer can create these.\n\nRequires skill: [DECEA3]Advanced Engineering Lv.5[-],Ulepszone części mechaniczne pozwalają tworzyć bardziej złożone przedmioty.\nTylko zaawansowany inżynier może je stworzyć.\n\nWymaga umiejętności: [DECEA3]Advanced Engineering Lv.5[-]
resourceElectricPartsImp,items,item,,[DECEA3]Improved[-] electric parts,[DECEA3]Ulepszone[-] części elektryczne
resourceElectricPartsImpDesc,items,item,,Improved electric parts allow you to create more complex items.\nOnly an advanced engineer can create these.\n\nRequires skill: [DECEA3]Advanced Engineering Lv.5[-],Ulepszone części elektryczne pozwalają tworzyć bardziej złożone przedmioty.\nTylko zaawansowany inżynier może je stworzyć.\n\nWymaga umiejętności: [DECEA3]Advanced Engineering Lv.5[-]
waterBottleEmpty,items,item,,Empty Water Bottle,Pusta butelka na wodę
waterBottleEmptyDesc,items,item,,This is a very convenient water collection tank. You can fill it with dirty water from any body of water or use it to collect water in an improved dew collector.,Jest to bardzo wygodny zbiornik na wodę. Można go napełnić brudną wodą z dowolnego zbiornika wodnego lub wykorzystać do gromadzenia wody w ulepszonym odkraplaczu.
waterBottleDirtyBundle,items,item,,Bottle of dirty water,Butelka brudnej wody
waterBottleDirtyBundleDesc,items,item,,A huge bottle of dirty water. Unpack it to get the water.,"Ogromna butelka brudnej wody. Rozpakuj go, aby uzyskać wodę."
waterBottleCleanBundle,items,item,,Bottle of clean water,Butelka czystej wody
waterBottleCleanBundleDesc,items,item,,A huge bottle of clean water. Unpack it to get the water.,"Ogromna butelka czystej wody. Rozpakuj go, aby uzyskać wodę."
resourceReactorBattery,items,item,,Reactor battery,Bateria reaktora
resourceReactorBatteryDesc,items,item,,A small homemade battery with some charge left from a battery pack. Used to charge [FFB800]Reactor[-] tools.,"Mała, domowej roboty bateria, po której pozostało trochę ładunku z pakietu baterii. Służy do ładowania narzędzi [FFB800]Reactor[-]."
PortableReactor,items,item,,[FFB800]Reactor portable[-],[FFB800]Reaktor przenośny[-]
PortableReactorDesc,items,item,,Experimental energy technology. The most powerful and long-lasting energy source. [DECEA3]Iron Man[-] is resting.\n\nUsed to create reactor tools and operate powerful energy sources.,Eksperymentalna technologia energetyczna. Najpotężniejsze i najtrwalsze źródło energii. [DECEA3]Iron Man[-] odpoczywa.\n\nUżywany do tworzenia narzędzi reaktorowych i obsługi potężnych źródeł energii.
electricwirerelayImp,blocks,Electricity,,[DECEA3]Improved[-] Electric Wire Relay,[DECEA3]Ulepszony[-] Przekaźnik przewodu elektrycznego
electricwirerelayImpDesc,blocks,Electricity,,Used to connect and extend wires between electrical components. Improved alloys make the component significantly lighter and increase its strength.\n\nRepairable with steel.,"Służy do łączenia i przedłużania przewodów pomiędzy elementami elektrycznymi. Ulepszone stopy sprawiają, że element jest znacznie lżejszy i zwiększają jego wytrzymałość.\n\nMożna naprawić za pomocą stali."
electrictimerrelayImp,blocks,Electricity,,[DECEA3]Improved[-] Electric Timer Relay,[DECEA3]Ulepszony[-] Elektryczny przekaźnik czasowy
electrictimerrelayImpDesc,blocks,Electricity,,Wire up one of these to trigger events based on the time of day. Improved alloys make the component significantly lighter and increase its strength.\n\nRepairable with steel and electrical parts.,"Podłącz jeden z nich, aby wyzwalać zdarzenia w zależności od pory dnia. Ulepszone stopy sprawiają, że element jest znacznie lżejszy i zwiększają jego wytrzymałość.\n\nMożliwość naprawy za pomocą części stalowych i elektrycznych."
switchImp,blocks,Electricity,,[DECEA3]Improved[-] Switch,[DECEA3]Ulepszony[-] Przełącznik
switchImpDesc,blocks,Electricity,,Used to trigger electrical events when activated. Improved alloys make the component significantly lighter and increase its strength.\n\nRepairable with steel and electrical parts.,"Służy do wyzwalania zdarzeń elektrycznych po aktywacji. Ulepszone stopy sprawiają, że element jest znacznie lżejszy i zwiększają jego wytrzymałość.\n\nMożliwość naprawy za pomocą części stalowych i elektrycznych."
motionsensorImp,blocks,Electricity,,[DECEA3]Improved[-] Motion Sensor,[DECEA3]Ulepszony[-] czujnik ruchu
motionsensorImpDesc,blocks,Electricity,,Used to trigger electrical events when motion is detected. Improved alloys make the component significantly lighter and increase its strength. Improved optics also increase the detection radius and range.\n\nRepairable with steel and electrical parts.,"Służy do wyzwalania zdarzeń elektrycznych w przypadku wykrycia ruchu. Ulepszone stopy sprawiają, że element jest znacznie lżejszy i zwiększają jego wytrzymałość. Ulepszona optyka zwiększa również promień i zasięg wykrywania.\n\nMożna naprawić za pomocą części stalowych i elektrycznych."
bladeTrapImp,blocks,Electricity,,[DECEA3]Improved[-] Blade Trap,[DECEA3]Ulepszona[-] Pułapka na ostrza
bladeTrapImpDesc,blocks,Electricity,,"Now that's a real blender. Don't stand next to it, or it's going to splash. The upgrade increases the trap's durability, damage, and explosion resistance by [DECEA3]60%[-].\n\nRepairable with steel.","To jest prawdziwy blender. Nie stój obok niego, bo zacznie się rozpryskiwać. Ulepszenie zwiększa trwałość pułapki, obrażenia i odporność na eksplozję o [DECEA3]60%[-].\n\nMożna naprawić za pomocą stali."
bladeTrapExp,blocks,Electricity,,[FF6666]Experimental[-] Blade Trap,[FF6666]Eksperymentalna[-] Pułapka na ostrza
bladeTrapExpDesc,blocks,Electricity,,"It's better to look at it from the side. Turn it on — wait a minute — and see what happens! The upgrade significantly increases the trap's durability, damage, and explosion resistance by [DECEA3]90%[-]. But the energy consumption for this monster is also significant.\n\nRepairable with [E9653B]super-strong alloys[-].","Lepiej spojrzeć na to z boku. Włącz go — poczekaj chwilę — i zobacz, co się stanie! Ulepszenie znacznie zwiększa trwałość pułapki, obrażenia i odporność na eksplozję o [DECEA3]90%[-]. Ale zużycie energii przez tego potwora jest również znaczne.\n\nMożna naprawić za pomocą [E9653B]super mocnych stopów[-]."
electricfencepostImp,blocks,Electricity,,[DECEA3]Improved[-] Electric Fence Post,[DECEA3]Ulepszony[-]Elektryczny słupek ogrodzeniowy
electricfencepostImpDesc,blocks,Electricity,,"Connect [DECEA3]2[-] or more parts. High voltage supplied through the wires will throw back anyone who touches them. That's for sure — Don't touch! It will kill!\nThe upgrade increases the trap's durability, damage, and explosion resistance by [DECEA3]40%[-].\n\nRepairable with electrical parts.","Podłącz [DECEA3]2[-] lub więcej części. Wysokie napięcie podawane przez przewody odrzuci każdego, kto ich dotknie. To pewne – nie dotykaj! To zabije!\nUlepszenie zwiększa trwałość pułapki, obrażenia i odporność na eksplozję o [DECEA3]40%[-].\n\nMożna naprawić za pomocą części elektrycznych."
electricfencepostExp,blocks,Electricity,,[FF6666]Experimental[-] Electric Fence Post,[FF6666]Eksperymentalny[-] Elektryczny słupek ogrodzeniowy
