Key,Source,Context,Changes,English,Russian,Schinese
buffPlundererSetBonusDesc,buffs,Buff,,"You have equipped a full set of experimental [FFB800]Plunderer[-] armor.\nYour loot yield is increased by [DECEA3]{cvar(.armorPlundererFSBDisplay:0)}%[-].\n\n[FFB800]Anger generation[-] - Each subsequent melee strike against an enemy increases your damage and attack speed by [DECEA3]10%[-], stacking up to [DECEA3]5[-] times. Effect duration: [DECEA3]3[-] seconds.\n\n[FFB800]Fast hands[-] - Melee attack speed and reload speed for all party members (within 100m) are increased by [DECEA3]10%[-].\n\n[DECEA3]Grants resistance to 1 active radiation effect.[-]","Вы надели полный комплект экспериментальной брони [FFB800]«Расхититель»[-].\nВаша добыча увеличена на [DECEA3]{cvar(.armorPlundererFSBDisplay:0)}%[-].\n\n[FFB800]Накопление злости[-] - Каждый следующий удар в ближнем бою по противнику увеличивает ваш урон и скорость атаки на [DECEA3]10%[-], можно накопить до [DECEA3]5[-] эффектов. Длительность эффекта: [DECEA3]3[-] секунды.\n\n[FFB800]Быстрые руки[-] - Скорость атаки в ближнем бою и скорость перезарядки у всех участников вашей группы (в радиусе 100 м) увеличены на [DECEA3]10%[-].\n\n[DECEA3]Даёт сопротивление к 1 эффекту активной радиации.[-]",你已装备了全套实验型[FFB800]掠夺者[-]护甲。\n你的战利品获取量提高[DECEA3]{cvar(.armorPlundererFSBDisplay:0)}%[-]。\n\n[FFB800]愤怒产生[-] - 每次对敌人的后续近战攻击都会使你的伤害和攻击速度增加[DECEA3]10%[-]，最多叠加[DECEA3]5[-]次。效果持续时间：[DECEA3]3[-]秒。\n\n[FFB800]快手[-] - 所有队伍成员（100m内）的近战攻击速度和装填速度增加[DECEA3]10%[-]。\n\n[DECEA3]可抵抗1种主动辐射效果。[-]
buffEveryoneHuntName,buffs,buff,,Everyone to the hunt!,Все на охоту!,大家来狩猎吧！
buffEveryoneHuntTooltip,buffs,buff,,Ally armor set bonus active.,Бонус комплекта брони союзника активен.,盟友护甲套装奖励已激活。
buffEveryoneHuntIncDesc,buffs,Buff,,Ally has a full set of [FFB800]Predator[-] armor.\n\nYour damage is increased by [DECEA3]10%[-].,Союзник имеет полный комплект брони [FFB800]«Хищник»[-].\n\nВаш урон увеличен на [DECEA3]10%[-].,盟友拥有全套[FFB800]捕食者[-]护甲。\n\n你的伤害增加[DECEA3]10%[-]。
buffFastHandsName,buffs,buff,,Fast hands,Быстрые руки,快手
buffFastHandsTooltip,buffs,buff,,Ally armor set bonus active.,Бонус комплекта брони союзника активен.,盟友护甲套装奖励已激活。
buffFastHandsIncDesc,buffs,Buff,,Ally has a full set of [FFB800]Plunderer[-] armor.\n\nMelee attack speed and reload speed increased by [DECEA3]10%[-].,Союзник имеет полный комплект брони [FFB800]«Расхититель»[-].\n\nСкорость атаки в ближнем бою и скорость перезарядки увеличены на [DECEA3]10%[-].,盟友拥有全套[FFB800]掠夺者[-]护甲。\n\n近战攻击速度和装填速度增加[DECEA3]10%[-]。
buffAngerGenerationName,buffs,buff,,Anger generation,Накопление злости,愤怒的产生
buffAngerGenerationTooltip,buffs,buff,,You accumulate anger.,Вы накапливаете злость.,你积聚愤怒。
buffAngerGenerationDesc,buffs,Buff,,You are covered by a full set of [FFB800]Plunderer[-] armor.\n\nMelee attack speed and damage increased by [DECEA3]{cvar(.AngerGenerationDisplay:0)}%[-].,На вас действует полный комплект брони [FFB800]«Расхититель»[-].\n\nСкорость атаки в ближнем бою и урон увеличены на [DECEA3]{cvar(.AngerGenerationDisplay:0)}%[-].,你已装备全套[FFB800]掠夺者[-]护甲。\n\n近战攻击速度与伤害提高[DECEA3]{cvar(.AngerGenerationDisplay:0)}%[-]。
buffDefenderName,buffs,buff,,Defender,Защитник,后卫
buffDefenderTooltip,buffs,buff,,Ally armor set bonus active.,Бонус комплекта брони союзника активен.,盟友护甲套装奖励已激活。
buffDefenderIncDesc,buffs,Buff,,Ally has a full set of [FFB800]Maus[-] armor.\n\nDamage resistance increased by [DECEA3]5%[-].,Союзник имеет полный комплект брони [FFB800]«Маус»[-].\n\nСопротивление урону увеличено на [DECEA3]5%[-].,盟友拥有全套[FFB800]鼠王[-]护甲。\n\n伤害抗性增加[DECEA3]5%[-]。
buffShockTherapyName,buffs,buff,,Shock therapy,Шоковая терапия,休克疗法
buffShockTherapyTooltip,buffs,buff,,You have activated the Maus armor.,Вы активировали броню «Маус».,你已激活鼠王护甲。
buffShockTherapyDesc,buffs,Buff,,"Shock therapy activated.\n\nAll enemies within [DECEA3]10[-] meters of you are under the effect of electric shock.\nYou lose [FFB800]5[-] HP every second.\nBe careful, this can kill you!",Шоковая терапия активирована.\n\nВсе противники в радиусе [DECEA3]10[-] метров от вас под воздействием электрошока.\nВы теряете [FFB800]5[-] ОЗ каждую секунду.\nБудьте осторожны — это может вас убить!,休克疗法启动。\n\n你[DECEA3]10[-]米范围内的所有敌人都会受到电击的影响。\n你每秒都会损失[FFB800]5[-]生命值。\n小心，这会杀了你！
buffRescuerAidKitName,buffs,buff,,Rescuer protection,Защита спасателя,救援人员保护
buffRescuerAidKitTooltip,buffs,buff,,You are under the protection of the Rescuer.,Вы под защитой спасателя.,你受到救援者的保护。
buffRescuerAidKitDesc,buffs,Buff,,You have received complex healing from the Rescuer.\nYour damage resistance has been increased.,Вы получили комплексное лечение от спасателя.\nВаше сопротивление урону увеличено.,你已经从救援者那里得到了复杂的治疗。\n你的伤害抵抗力已经提高。
buffMausSetBonus,buffs,Buff,,[FFB800]Maus[-],[FFB800]Маус[-],[FFB800]鼠王[-]
buffMausSetBonusName,buffs,buff,,Armor bonus,Бонус брони,护甲加成
buffMausSetBonusTooltip,buffs,buff,,You are affected by the Maus armor bonus.,На вас действует бонус от брони [FFB800]«Маус»[-].,你会受到鼠族护甲加成的影响。
buffMausSetBonusDesc,buffs,Buff,,"You have equipped a full set of experimental [FFB800]Maus[-] armor.\nMelee damage increased by [DECEA3]{cvar(.armorMausFSBDisplay:0)}%[-].\n\n[FFB800]Chain lightning[-] - When hit by a player, electrocution effect is applied to enemies. Cooldown: [DECEA3]24[-] seconds.\n\n[FFB800]Protector[-] - Physical damage resistance for all members of your group is increased by [DECEA3]5%[-].\n\n[DECEA3]Grants resistance to 1 active radiation effect and electrocution.[-]",Вы надели полный комплект экспериментальной брони [FFB800]«Маус»[-].\nУрон в ближнем бою увеличен на [DECEA3]{cvar(.armorMausFSBDisplay:0)}%[-].\n\n[FFB800]Цепная молния[-] - При попадании по игроку на противников накладывается эффект электрошока. Перезарядка: [DECEA3]24[-] секунды.\n\n[FFB800]Защитник[-] - Защита от физического урона у всех участников вашей группы увеличена на [DECEA3]5%[-].\n\n[DECEA3]Даёт сопротивление к 1 эффекту активной радиации и электрошоку.[-],你已装备了全套实验型[FFB800]鼠王[-]护甲。\n近战伤害增加[DECEA3]{cvar(.armorMausFSBDisplay:0)}%[-]。\n\n[FFB800]连锁闪电[-] - 被玩家击中时，会使攻击者陷入触电状态。冷却时间：[DECEA3]24[-]秒。\n\n[FFB800]守护者[-] - 所有队伍成员的物理伤害抵抗力增加[DECEA3]5%[-]。\n\n[DECEA3]可抵抗1种主动辐射效果，并免疫触电。[-]
armorRescuerHelmet,items,Clothes,,[FFB800]Rescuer[-] Helmet,[FFB800]«Спасатель»[-] Шлем,[FFB800]救援者[-]头盔
armorRescuerHelmetDesc,items,Clothes,,"Experimental Light Head Armor\nNo party can do without you. You get more experience and better loot. Reduced water and food consumption\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Компонент экспериментальной легкой брони.\nБез вас не обойдётся ни одна вечеринка. Вы получаете больше опыта и более качественную добычу. Снижен расход воды и еды.\n\n[DECEA3]Бонус комплекта:[-]\nЧасть бонусов от брони распространяется на участников группы.\n[DECEA3]Особенность[-]\nПассивная способность [FFB800]«Поддержка группы»[-] - При использовании [8692FF]«Супер Эликсир»[-] или [8692FF]«Аптечка Спасателя»[-] бонусы получает каждый участник группы. Активация также снимает большинство негативных эффектов контроля и накладывает эффект [FFB800]«Защита спасателя»[-]. Даёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性轻型头甲\n任何队伍都少不了你。你可以获得更多的经验和更好的战利品。减少水和食物消耗\n\n[DECEA3]套装奖励：[-]\n部分护甲加成会作用于所有队伍成员。\n[DECEA3]特性[-]\n被动能力[FFB800]《队伍支持》[-] - 使用[8692FF]《超级灵药》[-]和[8692FF]《救援者急救箱》[-]时，所有加成都作用于每位队伍成员。使用时还会移除大多数控制类负面效果，并施加[FFB800]《救援者的保护》[-]效果。可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorRescuerOutfit,items,Clothes,,[FFB800]Rescuer[-] Chest,[FFB800]«Спасатель»[-] Корпус,[FFB800]救援者[-]胸甲
armorRescuerOutfitDesc,items,Clothes,,"Experimental Light Chest Armor\nNo party can do without you. Increases health, carrying capacity and healing speed.\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]","Компонент экспериментальной легкой брони.\nБез вас не обойдётся ни одна вечеринка. Увеличивает запас здоровья, грузоподъёмность и скорость получения лечения.\n\n[DECEA3]Бонус комплекта:[-]\nЧасть бонусов от брони распространяется на участников группы.\n[DECEA3]Особенность[-]\nПассивная способность [FFB800]«Поддержка группы»[-] - При использовании [8692FF]«Супер Эликсир»[-] или [8692FF]«Аптечка Спасателя»[-] бонусы получает каждый участник группы. Активация также снимает большинство негативных эффектов контроля и накладывает эффект [FFB800]«Защита спасателя»[-]. Даёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-]",实验性轻型胸甲\n任何队伍都少不了你。提高生命上限、负重上限和愈合速度。\n\n[DECEA3]套装奖励：[-]\n部分护甲加成会作用于所有队伍成员。\n[DECEA3]特性[-]\n被动能力[FFB800]《队伍支持》[-] - 使用[8692FF]《超级灵药》[-]和[8692FF]《救援者急救箱》[-]时，所有加成都作用于每位队伍成员。使用时还会移除大多数控制类负面效果，并施加[FFB800]《救援者的保护》[-]效果。可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorRescuerGloves,items,Clothes,,[FFB800]Rescuer[-] Hands,[FFB800]«Спасатель»[-] Руки,[FFB800]救援者[-]手套
armorRescuerGlovesDesc,items,Clothes,,"Experimental Light Hands Armor\nNo party can do without you. Increases the speed of mining and the amount of resources when salvaging. You also find more medicine and food.\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Компонент экспериментальной легкой брони.\nБез вас не обойдётся ни одна вечеринка. Увеличивает скорость поиска добычи и количество ресурсов при разборе. Вы находите больше медикаментов и еды.\n\n[DECEA3]Бонус комплекта:[-]\nЧасть бонусов от брони распространяется на участников группы.\n[DECEA3]Особенность[-]\nПассивная способность [FFB800]«Поддержка группы»[-] - При использовании [8692FF]«Супер Эликсир»[-] или [8692FF]«Аптечка Спасателя»[-] бонусы получает каждый участник группы. Активация также снимает большинство негативных эффектов контроля и накладывает эффект [FFB800]«Защита спасателя»[-]. Даёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性轻型手甲\n任何队伍都少不了你。提高采矿速度和打捞时的资源量。你还可以找到更多的药品和食物。\n\n[DECEA3]套装奖励：[-]\n部分护甲加成会作用于所有队伍成员。\n[DECEA3]特性[-]\n被动能力[FFB800]《队伍支持》[-] - 使用[8692FF]《超级灵药》[-]和[8692FF]《救援者急救箱》[-]时，所有加成都作用于每位队伍成员。使用时还会移除大多数控制类负面效果，并施加[FFB800]《救援者的保护》[-]效果。可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorRescuerBoots,items,Clothes,,[FFB800]Rescuer[-] Legs,[FFB800]«Спасатель»[-] Ноги,[FFB800]救援者[-]腿甲
armorRescuerBootsDesc,items,Clothes,,"Experimental Light Legs Armor\nNo party can do without you. Increases stamina, safe fall height and running speed\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]","Компонент экспериментальной легкой брони.\nБез вас не обойдётся ни одна вечеринка. Увеличивает запас выносливости, высоту безопасного падения и скорость бега.\n\n[DECEA3]Бонус комплекта:[-]\nЧасть бонусов от брони распространяется на участников группы.\n[DECEA3]Особенность[-]\nПассивная способность [FFB800]«Поддержка группы»[-] - При использовании [8692FF]«Супер Эликсир»[-] или [8692FF]«Аптечка Спасателя»[-] бонусы получает каждый участник группы. Активация также снимает большинство негативных эффектов контроля и накладывает эффект [FFB800]«Защита спасателя»[-]. Даёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-]",实验性轻型腿甲\n任何队伍都少不了你。增加耐力、安全坠落高度和奔跑速度\n\n[DECEA3]套装奖励：[-]\n部分护甲加成会作用于所有队伍成员。\n[DECEA3]特性[-]\n被动能力[FFB800]《队伍支持》[-] - 使用[8692FF]《超级灵药》[-]和[8692FF]《救援者急救箱》[-]时，所有加成都作用于每位队伍成员。使用时还会移除大多数控制类负面效果，并施加[FFB800]《救援者的保护》[-]效果。可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPredatorHelmet,items,Clothes,,[FFB800]Predator[-] Helmet,[FFB800]«Хищник»[-] Шлем,[FFB800]捕食者[-]头盔
armorPredatorHelmetDesc,items,Clothes,,"Experimental Medium Head Armor\nYour time to go hunting has come. You gain more experience and higher quality loot.\n\n[DECEA3]Set Bonus:[-]\nIncreases damage of firearms.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Second Chance»[-].\nFor allies, a constant passive effect [FFB800]«Everyone to the Hunt!»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Компонент экспериментальной средней брони.\nВаше время выйти на охоту пришло. Вы получаете больше опыта и более качественную добычу.\n\n[DECEA3]Бонус комплекта:[-]\nУвеличивает урон огнестрельного оружия.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Второй шанс»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Все на охоту»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性中型头甲\n你去狩猎的时间到了。你将获得更多经验和更高质量的战利品。\n\n[DECEA3]套装奖励：[-]\n增加枪支伤害。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《第二次机会》[-]。\n队伍成员持续获得被动效果[FFB800]«所有人都去狩猎！»[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPredatorOutfit,items,Clothes,,[FFB800]Predator[-] Chest,[FFB800]«Хищник»[-] Корпус,[FFB800]捕食者[-]胸甲
armorPredatorOutfitDesc,items,Clothes,,"Experimental Medium Body Armor\nYour time to go hunting has come. Increases health and critical hit recovery rate.\n\n[DECEA3]Set Bonus:[-]\nIncreases damage of firearms.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Second Chance»[-].\nFor allies, a constant passive effect [FFB800]«Everyone to the Hunt!»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Компонент экспериментальной средней брони.\nВаше время выйти на охоту пришло. Увеличивает запас здоровья и скорость восстановления критических ранений.\n\n[DECEA3]Бонус комплекта:[-]\nУвеличивает урон огнестрельного оружия.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Второй шанс»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Все на охоту»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验型中型胸甲\n你去狩猎的时间到了。提高生命值和暴击恢复率。\n\n[DECEA3]套装奖励：[-]\n增加枪支伤害。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《第二次机会》[-]。\n队伍成员持续获得被动效果[FFB800]«所有人都去狩猎！»[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPredatorGloves,items,Clothes,,[FFB800]Predator[-] Hands,[FFB800]«Хищник»[-] Руки,[FFB800]捕食者[-]手套
armorPredatorGlovesDesc,items,Clothes,,"Experimental Medium Hands Armor\nYour time to go hunting has come. Increases reload speed and weapon handling skill.\n\n[DECEA3]Set Bonus:[-]\nIncreases damage of firearms.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Second Chance»[-].\nFor allies, a constant passive effect [FFB800]«Everyone to the Hunt!»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Компонент экспериментальной средней брони.\nВаше время выйти на охоту пришло. Увеличивает скорость перезарядки и навык обращения с оружием.\n\n[DECEA3]Бонус комплекта:[-]\nУвеличивает урон огнестрельного оружия.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Второй шанс»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Все на охоту»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性中型手甲\n你去狩猎的时间到了。提高装填速度和武器处理技能。\n\n[DECEA3]套装奖励：[-]\n增加枪支伤害。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《第二次机会》[-]。\n队伍成员持续获得被动效果[FFB800]«所有人都去狩猎！»[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPredatorBoots,items,Clothes,,[FFB800]Predator[-] Legs,[FFB800]«Хищник»[-] Ноги,[FFB800]捕食者[-]腿甲
armorPredatorBootsDesc,items,Clothes,,"Experimental Medium Legs Armor\nYour time to go hunting has come. Increases stamina and safe fall height.\n\n[DECEA3]Set Bonus:[-]\nIncreases damage of firearms.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Second Chance»[-].\nFor allies, a constant passive effect [FFB800]«Everyone to the Hunt!»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Компонент экспериментальной средней брони.\nВаше время выйти на охоту пришло. Увеличивает запас выносливости и высоту безопасного падения.\n\n[DECEA3]Бонус комплекта:[-]\nУвеличивает урон огнестрельного оружия.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Второй шанс»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Все на охоту»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性中型腿甲\n你去狩猎的时间到了。增加耐力和安全坠落高度。\n\n[DECEA3]套装奖励：[-]\n增加枪支伤害。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《第二次机会》[-]。\n队伍成员持续获得被动效果[FFB800]«所有人都去狩猎！»[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPlundererHelmet,items,Clothes,,[FFB800]Plunderer[-] Helmet,[FFB800]«Расхититель»[-] Шлем,[FFB800]掠夺者[-]头盔
armorPlundererHelmetDesc,items,Clothes,,"Experimental medium head armor.\nWithout good loot, you're not getting far. You gain more experience and have a chance to obtain precious metals when looting bags, loot crates, and safes.\n\n[DECEA3]Set Bonus:[-]\nSignificantly increases loot quality.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Anger Accumulation»[-].\nFor allies, a constant passive effect [FFB800]«Fast Hands»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]","Экспериментальная средняя броня головы.\nБез хорошей добычи далеко не уйдёшь. Вы получаете больше опыта и шанс получить драгоценные металлы при луте сумок, ящиков с добычей и сейфов.\n\n[DECEA3]Бонус комплекта:[-]\nЗначительно увеличивает качество лута.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Накопление злости»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Быстрые руки»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-]",实验性中型头甲。\n没有好的战利品，你就走不了多远。当你抢劫袋子、战利品箱和保险箱时，你会获得更多的经验，并有机会获得贵金属。\n\n[DECEA3]套装奖励：[-]\n显著提高战利品品质。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《愤怒积累》[-]。\n队伍成员持续获得被动效果[FFB800]《快手》[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPlundererOutfit,items,Clothes,,[FFB800]Plunderer[-] Chest,[FFB800]«Расхититель»[-] Корпус,[FFB800]掠夺者[-]胸甲
armorPlundererOutfitDesc,items,Clothes,,"Experimental medium body armor.\nWithout good loot, you're not getting far. Increases health pool and backpack capacity.\n\n[DECEA3]Set Bonus:[-]\nSignificantly increases loot quality.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Anger Accumulation»[-].\nFor allies, a constant passive effect [FFB800]«Fast Hands»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Экспериментальная средняя броня тела.\nБез хорошей добычи далеко не уйдёшь. Увеличивает запас здоровья и вместимость рюкзака.\n\n[DECEA3]Бонус комплекта:[-]\nЗначительно увеличивает качество лута.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Накопление злости»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Быстрые руки»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性中型胸甲。\n没有好的战利品，你就走不了多远。增加生命上限和背包容量。\n\n[DECEA3]套装奖励：[-]\n显著提高战利品品质。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《愤怒积累》[-]。\n队伍成员持续获得被动效果[FFB800]《快手》[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPlundererGloves,items,Clothes,,[FFB800]Plunderer[-] Hands,[FFB800]«Расхититель»[-] Руки,[FFB800]掠夺者[-]手套
armorPlundererGlovesDesc,items,Clothes,,"Experimental medium hand armor.\nWithout good loot, you're not getting far. Increases melee weapon attack speed and reload speed.\n\n[DECEA3]Set Bonus:[-]\nSignificantly increases loot quality.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Anger Accumulation»[-].\nFor allies, a constant passive effect [FFB800]«Fast Hands»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Экспериментальная средняя броня для рук.\nБез хорошей добычи далеко не уйдёшь. Увеличивает скорость атаки оружием ближнего боя и скорость перезарядки.\n\n[DECEA3]Бонус комплекта:[-]\nЗначительно увеличивает качество лута.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Накопление злости»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Быстрые руки»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性中型手甲。\n没有好的战利品，你就走不了多远。提高近战武器的攻击速度和装填速度。\n\n[DECEA3]套装奖励：[-]\n显著提高战利品品质。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《愤怒积累》[-]。\n队伍成员持续获得被动效果[FFB800]《快手》[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
armorPlundererBoots,items,Clothes,,[FFB800]Plunderer[-] Legs,[FFB800]«Расхититель»[-] Ноги,[FFB800]掠夺者[-]腿甲
armorPlundererBootsDesc,items,Clothes,,"Experimental medium leg armor.\nWithout good loot, you're not getting far. Increases stamina pool and its recovery speed.\n\n[DECEA3]Set Bonus:[-]\nSignificantly increases loot quality.\n[DECEA3]Feature[-]\nAdds the active ability [FFB800]«Anger Accumulation»[-].\nFor allies, a constant passive effect [FFB800]«Fast Hands»[-].\nGrants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Экспериментальная средняя броня для ног.\nБез хорошей добычи далеко не уйдёшь. Увеличивает запас выносливости и скорость её восстановления.\n\n[DECEA3]Бонус комплекта:[-]\nЗначительно увеличивает качество лута.\n[DECEA3]Особенность[-]\nАктивирует способность [FFB800]«Накопление злости»[-].\nДля союзников постоянный пассивный эффект [FFB800]«Быстрые руки»[-].\nДаёт сопротивление к [DECEA3]1[-] эффекту активной радиации.\n\n[DECEA3]Для ремонта требуются принадлежности для брони (улучшенные)[-],实验性中型腿甲。\n没有好的战利品，你就走不了多远。增加耐力上限及其恢复速度。\n\n[DECEA3]套装奖励：[-]\n显著提高战利品品质。\n[DECEA3]特性：[-]\n获得主动能力[FFB800]《愤怒积累》[-]。\n队伍成员持续获得被动效果[FFB800]《快手》[-]。\n可抵抗[DECEA3]1[-]种主动辐射效果。\n\n[DECEA3]修理需要改良型护甲制作套件。[-]
buffSonnySetBonus,buffs,Buff,,[FFB800]Sonny[-],[FFB800]Сонни[-],[FFB800]桑尼[-]
buffSonnySetBonusName,buffs,buff,,Armor bonus,Бонус брони,护甲加成
buffSonnySetBonusTooltip,buffs,buff,,You are affected by the Sonny armor bonus.,На вас действует бонус от брони [FFB800]«Сонни»[-].,你受到桑尼护甲加成的影响。
